feature,mean_importance
Titre_cœur,-0.0023944904291653413
Titre_hyper,-0.0017960577157064117
Titre_chartrons,-0.0010926261119917125
Titre_appartement,-0.0010786947368017885
Titre_bel,-0.0010671803032228477
Titre_et,-0.0009691563240913137
produits_base,-0.0008458461326771527
detecteur_fumee,-0.000632057108095585
Titre_le,-0.0005825636718535199
Titre_centre,-0.0005680639310521429
Titre_pièces,-0.0005647458590984922
Titre_jardin,-0.0005186770975863508
Titre_maison,-0.0005150786203830914
Titre_gambetta,-0.0004883455206605603
Titre_charme,-0.00041235735155656925
Titre_m2,-0.0004028336996004689
Titre_bordelaise,-0.0003814555776221806
Titre_saint,-0.0003561414769323812
espace_travail_ordi,-0.0003536888663330795
Titre_avec,-0.000340203188562771
seche_cheveux,-0.00030121098961598535
Entree_24-24,-0.00028349131640929
Titre_michel,-0.0002830645602254989
monoxyde_carbone_detect,-0.0002652327102106722
Titre_ville,-0.00023171156392824964
type_propriete_Autre,-0.00022844733024079966
Titre_en,-0.00020894983873186445
Titre_duplex,-0.00020173537498688888
conditions_annulation_Flexibles,-0.00018589993834223774
accessibilite,-0.00016727326232579554
Titre_t2,-0.00015643714978542668
Titre_lumineux,-0.00013243056391576413
Titre_charmant,-0.00012866003971401252
Titre_parking,-0.0001237308419759331
Titre_échoppe,-0.00012307884664145564
Titre_bdx,-0.00010827682179261888
Titre_pour,-0.00010134225523158457
Interphone,-0.00010067263542479221
Titre_sur,-9.796729991448094e-05
adapte_evenements,-9.034904946912947e-05
porte_chambre_verrou,-7.633405300275787e-05
Titre_t1,-5.741380911447047e-05
NbLits,-3.502456056287961e-05
Titre_tout,-2.779565895971725e-05
Chauffage,-2.655910689051133e-05
Titre_vue,-2.1570767695289207e-05
Titre_appt,-1.5525689445194946e-05
Titre_confort,-1.490143916684783e-05
salle_sport,-1.4492469914473283e-05
Titre_la,-1.3488362020963595e-05
Titre_jolie,-1.3333023360495578e-05
Titre_gare,-4.312659433269861e-06
Titre_personnes,-4.256549354508809e-06
Titre_spacieux,-2.468664266830345e-06
Titre_des,-2.0296488379423216e-06
Titre_jean,0.0
Titre_les,0.0
Titre_une,0.0
Titre_salle,0.0
Titre_rue,0.0
Titre_quais,0.0
Titre_neuf,0.0
Titre_rénové,0.0
Titre_superbe,0.0
Titre_piscine,0.0
Titre_tram,0.0
type_propriete_Appartement en résidence,0.0
type_propriete_Dortoir,0.0
Titre_agréable,0.0
type_propriete_Inconnue,0.0
Titre_apt,0.0
Titre_bordelais,0.0
type_propriete_Loft,0.0
type_propriete_Maison écologique,0.0
type_propriete_Cabane,0.0
type_propriete_Villa,0.0
type_lit_Canapé,0.0
Titre_bis,0.0
type_propriete_Bungalow,0.0
Titre_balcon,0.0
Titre_ancien,1.9551694612984783e-06
Titre_center,2.0019528787718067e-06
Titre_victoire,1.5029449649006654e-05
Titre_pierre,1.6605572231931376e-05
type_lit_Canapé convertible,1.6805747181702912e-05
Titre_joli,2.3301979401668672e-05
Titre_petit,2.3476439499325873e-05
Titre_au,3.120359211263857e-05
Titre_confortable,3.141073578418752e-05
Titre_public,3.154610103657251e-05
Titre_très,3.261926166472362e-05
Titre_t4,3.4626298858553285e-05
cheminee_interieur,3.8763788822915314e-05
Titre_calme,4.182591702874827e-05
Cintres,4.579479307732503e-05
Titre_historique,4.614803867217798e-05
fer_repasser,4.752298999164406e-05
Titre_beau,6.458551992845063e-05
Titre_privée,6.473424711921361e-05
Titre_belle,6.492672667355315e-05
Titre_plein,6.870943359200687e-05
Titre_2016,7.789095089218989e-05
Titre_grand,8.9971775354436e-05
Titre_place,9.131114945850615e-05
Titre_quartier,9.178226796578981e-05
Titre_hypercentre,9.211489086400349e-05
Titre_du,0.00010417638398665385
Titre_appart,0.00010897227751656135
Titre_t3,0.00011944090818769571
Titre_dans,0.00012846575464393607
Internet,0.00014062933068825778
Titre_st,0.00015892349353604506
Titre_sdb,0.00016654499606768569
Titre_flat,0.00016788554095703567
kit_secours,0.00018079725037458693
Portier,0.0002091558204118993
Titre_triangle,0.00021189179938917445
extincteur,0.00022836648711295205
animaux_acceptes,0.00022878276151401257
Titre_coeur,0.00025058359771860104
Titre_aux,0.00026185584058862065
pourEnfants_famille,0.000274340075611057
Titre_euro,0.0002885018570663589
Titre_bordeaux,0.0003134859745469898
parking_sur-place,0.0003444023513332062
Jacuzzi,0.00038600993196908907
wifi,0.00040958412769779293
Ascenseur,0.0004109868483325507
Titre_chambres,0.0004120063424829845
Type_logement_Chambre privée,0.00043963105696507296
Titre_echoppe,0.00043983759543333447
Titre_grande,0.00047270173081322977
type_propriete_Bed & Breakfast,0.000514406686552027
Titre_terrasse,0.0005455929078403754
type_propriete_Maison,0.0006165104095304464
Titre_cosy,0.0006335482780015833
type_lit_Vrai lit,0.0006931709518677498
type_propriete_Maison de ville,0.0007014965617275992
petit_dejeuner,0.0007046549916933209
conditions_annulation_Modérées,0.0007708473120743631
conditions_annulation_Strictes,0.000825256303323807
fiche_securite,0.0009036206558966309
television_cable,0.0009501509809450526
rection_semaine,0.0016100255689025622
Type_logement_Chambre partagée,0.0016908438506371358
Titre_proche,0.0018232375786943922
Titre_double,0.0019636747010497225
machine_laver,0.0019962993435546305
Titre_chambre,0.002410122959705241
duree_minimale_sejour,0.002447197604573037
reduction_mois,0.0024480880165648976
Piscine,0.0025391678297485565
Titre_loft,0.0035591679740073377
Climatisation,0.0035593796078308925
Cuisine,0.003932489169915665
logement_fumeur,0.004423124280367785
seche_linge,0.004528259432562331
Titre_studio,0.006419271193332477
type_propriete_Appartement,0.006857108712720594
television,0.007364947672057753
Longitude,0.010123956125548084
frais_menage,0.014581270686742332
Latitude,0.026350902542773537
surcout_voyageur_supp,0.027241079664099388
NombreSdB,0.030060751886619663
Caution,0.037395428460851254
Type_logement_Logement entier,0.06367877097868335
Capacite_accueil,0.11833045733587055
NbChambres,0.20986163709627542
