feature,mean_importance
Type Variante Version (TVV)_ahxebw,-5.004919311835717e-09
Type Variante Version (TVV)_zwa10r,-1.4150892955252375e-09
Type Variante Version (TVV)_263axg1b05b,0.0
Type Variante Version (TVV)_2b,0.0
Type Variante Version (TVV)_2e,0.0
Type Variante Version (TVV)_2k,0.0
Type Variante Version (TVV)_312axa1a00r,0.0
Type Variante Version (TVV)_312pxa1ap0f,0.0
Type Variante Version (TVV)_312pxg1ap1c,0.0
Type Variante Version (TVV)_312pxg1ap1d,0.0
Type Variante Version (TVV)_312pxg1ap1e,0.0
Type Variante Version (TVV)_312pxg1ap1f,0.0
Type Variante Version (TVV)_3k,0.0
Type Variante Version (TVV)_4e,0.0
Type Variante Version (TVV)_844axa1ag00f,0.0
Type Variante Version (TVV)_906ac35khg71349emce21wa9,0.0
Type Variante Version (TVV)_906ac35khg71350emce21wa9,0.0
Type Variante Version (TVV)_906ac35khg71350nmce21wa9,0.0
Type Variante Version (TVV)_906ac35kmg71349emce21wa9,0.0
Type Variante Version (TVV)_906ac35kmg71349nmce21wa9,0.0
Type Variante Version (TVV)_906ac35kmg71350emce21wa9,0.0
Type Variante Version (TVV)_906ac35kmg71350nmce21wa9,0.0
Type Variante Version (TVV)_906ac35kng71349emce21wa9,0.0
Type Variante Version (TVV)_906ac35kng71349nmce21wa9,0.0
Type Variante Version (TVV)_225axc1a03d,0.0
Type Variante Version (TVV)_906ac35kng71350emce21wa9,0.0
Type Variante Version (TVV)_212140yzda,0.0
Type Variante Version (TVV)_1p,0.0
CNIT_m10mcdvpf16s308,0.0
CNIT_m10mcdvpf16s405,0.0
Type Variante Version (TVV)_zwa10l,0.0
CNIT_m10mcdvpf16s477,0.0
CNIT_m10mcdvpf16s502,0.0
CNIT_m10mcdvpf16s538,0.0
CNIT_m10mcdvpf16s599,0.0
CNIT_m10pelvp0954388,0.0
CNIT_m10pelvp095e628,0.0
CNIT_m10pelvp095g630,0.0
CNIT_m10pelvp118g208,0.0
CNIT_m10pelvp118j210,0.0
CNIT_m10pelvp118k212,0.0
CNIT_m10pelvp118n215,0.0
Type Variante Version (TVV)_00,0.0
Type Variante Version (TVV)_169axh1a12,0.0
Type Variante Version (TVV)_198axa1bg00e,0.0
Type Variante Version (TVV)_199axb1a02ar,0.0
Type Variante Version (TVV)_199bxb1a03ar,0.0
Type Variante Version (TVV)_1a,0.0
Type Variante Version (TVV)_1d,0.0
Type Variante Version (TVV)_1e,0.0
Type Variante Version (TVV)_1j,0.0
Type Variante Version (TVV)_1s,0.0
Type Variante Version (TVV)_906ac35kng71350nmce21wa9,0.0
Type Variante Version (TVV)_9f,0.0
Type Variante Version (TVV)_adt271l,0.0
Type Variante Version (TVV)_gws191,0.0
Type Variante Version (TVV)_gws191l,0.0
Type Variante Version (TVV)_gyl10,0.0
Type Variante Version (TVV)_hal1,0.0
Type Variante Version (TVV)_hf4,0.0
Type Variante Version (TVV)_hs19,0.0
Type Variante Version (TVV)_lfa10r,0.0
Type Variante Version (TVV)_mh,0.0
Type Variante Version (TVV)_phantom,0.0
Type Variante Version (TVV)_ps,0.0
Type Variante Version (TVV)_gwl10l,0.0
Type Variante Version (TVV)_sb,0.0
Type Variante Version (TVV)_use20,0.0
Type Variante Version (TVV)_uvf45,0.0
Type Variante Version (TVV)_uvf46,0.0
Type Variante Version (TVV)_uvf46l,0.0
Type Variante Version (TVV)_uxe2,0.0
Type Variante Version (TVV)_vh2,0.0
Type Variante Version (TVV)_xa3,0.0
Type Variante Version (TVV)_xe2,0.0
Type Variante Version (TVV)_xp13m,0.0
Type Variante Version (TVV)_zwa10,0.0
Type Variante Version (TVV)_ua9hr8,0.0
Type Variante Version (TVV)_gwl10,0.0
Type Variante Version (TVV)_gse20l,0.0
Type Variante Version (TVV)_gse20,0.0
Type Variante Version (TVV)_aexghw,0.0
Type Variante Version (TVV)_aezghw,0.0
Type Variante Version (TVV)_ahxbbw,0.0
Type Variante Version (TVV)_ala49,0.0
Type Variante Version (TVV)_ala49l,0.0
Type Variante Version (TVV)_awxgkw,0.0
Type Variante Version (TVV)_bexqbw,0.0
Type Variante Version (TVV)_dbz111aaca7k0bda5,0.0
Type Variante Version (TVV)_dkz111aacd7a9bda5,0.0
Type Variante Version (TVV)_dkz111aadd7a9bda5,0.0
Type Variante Version (TVV)_ea,0.0
Type Variante Version (TVV)_f4,0.0
Type Variante Version (TVV)_fa10lfa10,0.0
Type Variante Version (TVV)_fcrafw,0.0
Type Variante Version (TVV)_fezrhw,0.0
Type Variante Version (TVV)_gh52762w0,0.0
Type Variante Version (TVV)_gh62162w0,0.0
Type Variante Version (TVV)_gh69162w0,0.0
Type Variante Version (TVV)_gh69282w0,0.0
Type Variante Version (TVV)_ghf9180e,0.0
Type Variante Version (TVV)_ghk9760e,0.0
Type Variante Version (TVV)_ghn9260e,0.0
Type Variante Version (TVV)_ghn9280e,0.0
CNIT_m10mcdvpf16s211,0.0
CNIT_m10mcdvpf16s186,0.0
CNIT_m10mcdvpf16s441,0.0
CNIT_m10mcdvpf16s114,0.0
CNIT_m10mazvp0007407,0.0
CNIT_m10mazvp000b411,0.0
CNIT_m10mazvp000f415,0.0
CNIT_m10mazvp000h417,0.0
CNIT_m10mazvp000j419,0.0
CNIT_m10mazvp000p424,0.0
CNIT_m10mazvp000r366,0.0
CNIT_m10mcdvpf16s150,0.0
CNIT_m10mazvp000r426,0.0
CNIT_m10mazvp000s428,0.0
CNIT_m10mazvp000u430,0.0
CNIT_m10mazvp000z374,0.0
CNIT_m10mazvp000z399,0.0
CNIT_m10mazvp000z435,0.0
