feature,shap_importance
Consommation mixte (l/100km),0.3608657419681549
Consommation extra-urbaine (l/100km),0.3482038378715515
NOX (g/km),0.07659148424863815
Consommation urbaine (l/100km),0.027926262468099594
Carburant,0.02598261460661888
Puissance administrative,0.01314533967524767
masse vide euro min (kg),0.00666681258007884
Modèle dossier,0.004607330542057753
HC+NOX (g/km),0.004373542033135891
masse vide euro max (kg),0.003915691748261452
CO type I (g/km),0.0028799157589673996
HC (g/km),0.002263167640194297
Boîte de vitesse,0.0021325864363461733
Puissance maximale (kW),0.0019137876806780696
Champ V9,0.0018099936423823237
Désignation commerciale,0.0012201779754832387
Marque,0.001035928027704358
gamme,0.000919109268579632
Carrosserie,0.0007715019746683538
Modèle UTAC,0.0006926952628418803
Particules (g/km),0.00039874439244158566
Type Variante Version (TVV)_639,0.00027318645152263343
Type Variante Version (TVV)_906ac35,0.00012188943946966901
Type Variante Version (TVV)_0g,7.477419421775267e-05
CNIT_m10fatvp0008360,2.877422775782179e-05
Type Variante Version (TVV)_ukl,2.534867417125497e-05
CNIT_m10mazvp0007382,1.8190392438555136e-05
Type Variante Version (TVV)_gwl10,1.703204725345131e-05
CNIT_m10fatvp001r148,1.5122659533517435e-05
CNIT_m10mazvp0005405,1.0698887308535632e-05
CNIT_m10mazvp000z374,7.49566834201687e-06
Type Variante Version (TVV)_xe2,6.90845354256453e-06
CNIT_m10dacvp000z625,6.391816441464471e-06
Type Variante Version (TVV)_1g,5.948773832642473e-06
CNIT_m10pelvp0954388,4.2879673856077716e-06
Type Variante Version (TVV)_gse20,4.165698555880226e-06
Type Variante Version (TVV)_xp13m,3.1935439892549766e-06
Type Variante Version (TVV)_ua9hr8,3.142710511383484e-06
Type Variante Version (TVV)_4e,2.7217470233154017e-06
Type Variante Version (TVV)_263axg1b05,2.7144542400492355e-06
Type Variante Version (TVV)_xa3,2.5359229312016396e-06
Type Variante Version (TVV)_ps,2.495270791769144e-06
Type Variante Version (TVV)_00,2.3512191091867862e-06
CNIT_m10mazvp000p424,2.3234756554302294e-06
Type Variante Version (TVV)_1e,2.0201753159199143e-06
Type Variante Version (TVV)_ea,1.8635785181686515e-06
CNIT_m10fatvp004m528,1.798341031644668e-06
CNIT_m10fatvp0005418,1.6829919786687242e-06
Type Variante Version (TVV)_1j,1.5270212543327943e-06
Type Variante Version (TVV)_gws191,1.4710768709846889e-06
Type Variante Version (TVV)_hs19,1.3154401585779851e-06
CNIT_m10ladvp000t028,1.2802070159523282e-06
Type Variante Version (TVV)_bexqbw,1.2587836408783915e-06
Type Variante Version (TVV)_aezghw,1.0667652077245293e-06
Type Variante Version (TVV)_1p,1.0278242825734196e-06
Type Variante Version (TVV)_adt271l,9.69218945101602e-07
Type Variante Version (TVV)_1d,9.394484550284687e-07
Type Variante Version (TVV)_mh,7.947103313199477e-07
Hybride,7.318559482882847e-07
CNIT_m10fatvp001k565,7.091448992468941e-07
Type Variante Version (TVV)_1ps,6.071500706639199e-07
CNIT_m10mazvp0003403,5.430748615253833e-07
Type Variante Version (TVV)_1a,5.179595063964371e-07
CNIT_m10pelvp095g630,4.992997446606751e-07
CNIT_m10fatvp007r335,4.941351221532386e-07
CNIT_m10pelvp095e628,4.871632199865417e-07
CNIT_m10fatvp0012159,4.468024314974173e-07
CNIT_m10mazvp0007407,4.101334809547552e-07
CNIT_m10mazvp000j419,3.370030299265636e-07
Type Variante Version (TVV)_aexghw,3.1669554800828337e-07
CNIT_m10mazvp000x433,2.847725966148573e-07
Type Variante Version (TVV)_awxgkw,2.8149298714197357e-07
Type Variante Version (TVV)_ala49,2.5610441412027285e-07
Type Variante Version (TVV)_9f,2.5516121127111546e-07
Type Variante Version (TVV)_2k,2.3111546454401832e-07
Type Variante Version (TVV)_1s,1.9111203641841712e-07
