feature,mean_importance
Type Variante Version (TVV)_906ac35kmg71350emce21wa9,-0.009598567573875307
CNIT_m10mcdvp3243293,-0.006251547274266583
CNIT_m10mazvp000p424,-0.005271069888838057
CNIT_m10mcdvp324r061,-0.0031633437521826485
Type Variante Version (TVV)_1p,-0.0015920151927480836
CO type I (g/km),-9.460018873108655e-05
HC (g/km),-3.5249603976975076e-05
Particules (g/km),-4.133273582007657e-07
Type Variante Version (TVV)_1s,0.0
Type Variante Version (TVV)_212140yzda,0.0
Type Variante Version (TVV)_263axg1b05,0.0
Type Variante Version (TVV)_263axg1b05b,0.0
Type Variante Version (TVV)_906ac35kng71349nmce21wa9,0.0
Type Variante Version (TVV)_2b,0.0
Type Variante Version (TVV)_2e,0.0
Type Variante Version (TVV)_312pxg1ap1d,0.0
Type Variante Version (TVV)_906ac35kmg71349nmce21wa9,0.0
Type Variante Version (TVV)_3e,0.0
Type Variante Version (TVV)_1ps,0.0
Type Variante Version (TVV)_3k,0.0
Type Variante Version (TVV)_906ac35kng71349emce21wa9,0.0
Type Variante Version (TVV)_4e,0.0
Type Variante Version (TVV)_844axa1ag00f,0.0
Type Variante Version (TVV)_906ac35khg71349emce21wa9,0.0
Type Variante Version (TVV)_906ac35kmg71349emce21wa9,0.0
Type Variante Version (TVV)_906ac35kmg71350nmce21wa9,0.0
Type Variante Version (TVV)_312pxg1ap1f,0.0
CNIT_m10mcdvpf16s441,0.0
Type Variante Version (TVV)_906ac35kng71350emce21wa9,0.0
CNIT_m10mcdvpf16s211,0.0
CNIT_m10mcdvpf16s308,0.0
CNIT_m10mcdvpf16s405,0.0
Type Variante Version (TVV)_zwa10l,0.0
CNIT_m10mcdvpf16s477,0.0
CNIT_m10mcdvpf16s502,0.0
CNIT_m10mcdvpf16s538,0.0
CNIT_m10mcdvpf16s599,0.0
CNIT_m10pelvp0954388,0.0
CNIT_m10pelvp095e628,0.0
Type Variante Version (TVV)_1j,0.0
CNIT_m10pelvp095g630,0.0
CNIT_m10pelvp118k212,0.0
CNIT_m10pelvp118n215,0.0
Type Variante Version (TVV)_00,0.0
Type Variante Version (TVV)_169axh1a12,0.0
Type Variante Version (TVV)_198axa1bg00e,0.0
Type Variante Version (TVV)_199axb1a02ar,0.0
Type Variante Version (TVV)_199bxb1a03ar,0.0
Type Variante Version (TVV)_1a,0.0
Type Variante Version (TVV)_1d,0.0
Type Variante Version (TVV)_1e,0.0
CNIT_m10pelvp118j210,0.0
Type Variante Version (TVV)_1g,0.0
Type Variante Version (TVV)_9f,0.0
CNIT_m10mcdvpf16s186,0.0
Type Variante Version (TVV)_gwl10,0.0
Type Variante Version (TVV)_gwl10l,0.0
Type Variante Version (TVV)_gws191,0.0
Type Variante Version (TVV)_gws191l,0.0
Type Variante Version (TVV)_gyl10,0.0
Type Variante Version (TVV)_hal1,0.0
Type Variante Version (TVV)_hf4,0.0
Type Variante Version (TVV)_hs19,0.0
Type Variante Version (TVV)_lfa10r,0.0
Type Variante Version (TVV)_mh,0.0
Type Variante Version (TVV)_phantom,0.0
Type Variante Version (TVV)_ps,0.0
Type Variante Version (TVV)_sb,0.0
Type Variante Version (TVV)_ua9hr8,0.0
Type Variante Version (TVV)_use20,0.0
Type Variante Version (TVV)_uvf45,0.0
Type Variante Version (TVV)_uvf46,0.0
Type Variante Version (TVV)_uvf46l,0.0
Type Variante Version (TVV)_uxe2,0.0
Type Variante Version (TVV)_xp13m,0.0
Type Variante Version (TVV)_zwa10,0.0
