feature,mean_importance
CO type I (g/km),-2.3997484514184237e-05
gamme,-2.321325855237366e-05
CNIT_m10mcdvpf16s308,-3.469446951953614e-18
Type Variante Version (TVV)_312pxa1ap0f,-3.469446951953614e-18
Type Variante Version (TVV)_906ac35kng71349emce21wa9,-2.0816681711721684e-18
CNIT_m10mcdvpf16s211,-2.0816681711721684e-18
Type Variante Version (TVV)_0g,-1.3877787807814458e-18
CNIT_m10mcdvp324d533,-1.3877787807814458e-18
CNIT_m10mcdvpf16p207,-1.3877787807814458e-18
CNIT_m10fatvp007r335,-1.3877787807814458e-18
Type Variante Version (TVV)_uvf46,-1.3877787807814458e-18
Type Variante Version (TVV)_906ac35kmg71349nmce21wa9,-6.938893903907229e-19
Type Variante Version (TVV)_ghn9280e,-6.938893903907229e-19
CNIT_m10mazvp0005405,-6.938893903907229e-19
CNIT_m10mazvp000x433,-6.938893903907229e-19
CNIT_m10fatvp0008360,-6.938893903907229e-19
Type Variante Version (TVV)_ala49,-6.938893903907229e-19
Type Variante Version (TVV)_ahxebw,-6.938893903907229e-19
Type Variante Version (TVV)_312pxg1ap1d,-6.938893903907229e-19
Type Variante Version (TVV)_vh2,-6.938893903907229e-19
CNIT_m10pelvp118j210,-6.938893903907229e-19
Type Variante Version (TVV)_hal1,-6.938893903907229e-19
CNIT_m10mcdvpf16p183,-6.938893903907229e-19
Type Variante Version (TVV)_mh,-6.938893903907229e-19
Type Variante Version (TVV)_uxe2,-6.938893903907229e-19
CNIT_m10mcdvp324r062,0.0
CNIT_m10ladvp000t028,0.0
CNIT_m10mcdvpf16p182,0.0
CNIT_m10mazvp000u430,0.0
CNIT_m10mazvp000r366,0.0
Type Variante Version (TVV)_312axa1a00r,0.0
Type Variante Version (TVV)_fa10lfa10,0.0
Type Variante Version (TVV)_fcrafw,0.0
Type Variante Version (TVV)_906ac35kmg71350emce21wa9,0.0
CNIT_m10mazvp000z435,0.0
CNIT_m10dacvp000z625,0.0
CNIT_m10fatvp0012159,0.0
Type Variante Version (TVV)_ukl,0.0
Type Variante Version (TVV)_gse20l,0.0
CNIT_m10fatvp001k565,0.0
Type Variante Version (TVV)_gyl10,0.0
