,C1,C2,C3,C4,C5,nan
intercept,1.896606374667402,4.7331142042073875,0.31316760962371093,-1.8534686468491761,-2.4395714975354745,-2.649848044113807
quartier,-0.06902316978367778,-0.5204922122596267,0.28076911942739285,-0.19701095136229538,0.17558163732006465,0.3301755766581402
site,-0.5826024235245071,0.35934164133621677,0.4947248299900764,0.29718484448794796,-0.2934557237983746,-0.27519316849136155
cote_voirie,-0.05791899114035388,-0.00634577056317372,-0.2655849129300145,0.17089682803849496,-0.08156463853079768,0.24051748512584267
matricule_arbre,0.23219506643213478,-0.15250088099184425,-0.5127002416576941,0.11591168235360581,0.16713394149061206,0.14996043237318513
genre_arbre,0.22465540585967944,-0.15595111208288792,0.3540359499238803,-0.21861121799682368,-0.18503552630635,-0.019093499397495616
espece_arbre,-0.12753235248135344,-0.10698264143910434,-0.27540591916946344,0.5955064385879147,0.3308092308910327,-0.4163947563890218
situation,0.3470316884445628,-0.3089578333946849,0.33923674970474416,0.22492049911041814,-0.3116903443885351,-0.2905407594765127
type_sol,0.3342787657410899,-0.61042056116326,-1.0851058157021576,0.5326686646911658,-0.16359460876661328,0.9921735551997737
surf_permeable,0.7491154448944857,-0.1291833140345518,-0.6891158377192085,0.5789371259316871,-0.11866479094818061,-0.3910886281242368
date_plantation,0.7700187180760092,-0.242307475096995,-0.4388370635073882,0.18299208414825407,0.11844842860332314,-0.3903146922232081
classe_age,0.2694133101737011,-0.13100445482245807,0.3468018921783004,-0.231565376290509,0.03448656498696689,-0.2881319362260048
hauteur,-0.42275127149143027,0.30563996390742915,-0.13074508290707726,0.07440866255069314,-0.41051954367503246,0.5839672716154174
classe_hauteur,0.1976379280810477,0.33346643415772215,-0.06579081129817682,-0.3359883551222577,-0.41508881981014145,0.2857636239918045
diametre,-0.0013727753170212056,-0.24993875983767724,-0.049179521571523756,-0.33808509464428627,0.27788725425320876,0.3606888971173015
circonference (en cm),-0.0013727753170209767,-0.2499387598376772,-0.04917952157152418,-0.3380850946442861,0.27788725425320865,0.3606888971173015
classe_circonference,-0.600671916081715,0.06872861491424835,0.2747529073961921,-0.3638078308363088,0.2463478063247378,0.37465041828284595
port_arbre,0.14454027258758584,-0.0026384926395234907,0.5683552953608094,-0.19785319641520083,-0.12505913926404694,-0.38734473962962035
vigueur_pousse,0.7786231559762978,-0.25484015771051427,0.2018176182999201,0.1016640504109771,-0.49392644328819785,-0.3333382236884818
plaie_collet,0.6022043814558589,-0.5079099920468888,-0.19528925001523717,0.016504651648921523,-0.14193487814786732,0.2264250871052135
rejet_tronc,0.3059415199987417,-0.040235138049098604,0.5751861472112156,-0.07497855609487745,-0.33891032686222367,-0.42700364620375864
tuteurage_arbre,-0.21118298625233842,1.053747355771277,-0.3288052816713671,-0.39368785078363044,-0.10967749568081422,-0.010393741383129823
canisse_arbre,0.8725185132470211,-0.5905938447679461,-0.8765631142339427,0.6894095282325085,-0.07360113579204139,-0.0211699466856046
plaie_tronc,0.30955772768498163,0.40205598913338897,-0.382170717622166,-0.409827299701147,0.01265267845206872,0.06773162205286837
champignon_houppier,-0.03176435169384759,-0.3291016521015603,-0.08822248389640971,0.511329490187408,0.04400797588895708,-0.10624897838455051
fissure_houppier,0.00144877025213289,0.282040594822056,0.26207618703447844,-0.30308689220053714,-0.24315236823124467,0.0006737083231137186
bois_mort_houppier,0.7807599297835551,-0.06635050635133236,-0.44987766304433385,-0.42419836016339,-0.005149471341245993,0.16481607111674967
plaie_houppier,0.5094507607488308,0.3882278943974959,-0.35265119595317335,-0.45503379025052165,-0.18565113881989162,0.09565746987725825
esperance_maintien,-1.801369470998153,-0.4195742660393302,0.88696782170172,1.2100345448979564,0.8108992973589435,-0.686957926921136
contrainte,-0.09871188605258294,-0.16551004913429934,-0.07058565803039264,-0.041805945713063355,0.7690355919262888,-0.39242205299594923
date_diagnostic,-0.7392396790754319,-0.5926792339125431,0.8053660744868321,-0.023400997036371524,0.37252154593581555,0.17743228960170135
prescription_1,-0.04389735754650961,0.3479469331622252,0.42754219422426165,-0.15280444927140013,-0.8367653764015514,0.2579780558329763
prescription_2,0.35681210189529283,0.19839425186606263,-0.635026837689979,0.0896253042595648,0.034112885977618156,-0.04391770630855954
Long,-0.6245150798724179,0.8951596294872588,-0.3749525193416639,0.20667179836240457,0.118173605811683,-0.22053743444726498
Lat,0.24628164751758,-0.17662703705384275,0.6813532177492266,-0.32614656818308774,-0.06193194683490402,-0.3629293131949748
