feature,shap_importance
esperance_maintien,2.204108715057373
date_diagnostic,2.0833563804626465
plaie_tronc,1.5465823411941528
hauteur,1.2802445888519287
prescription_1,1.2394633293151855
matricule_arbre,1.1617860794067383
contrainte,1.091037631034851
Long,1.0209592580795288
diametre,0.8602811098098755
bois_mort_houppier,0.8281408548355103
date_plantation,0.7856577634811401
site,0.7112290263175964
plaie_collet,0.709952712059021
type_sol,0.7030167579650879
Lat,0.6994405388832092
canisse_arbre,0.5888177752494812
plaie_houppier,0.3706341087818146
genre_arbre,0.3610689043998718
cote_voirie,0.22047071158885956
espece_arbre,0.21105284988880157
port_arbre,0.16554714739322662
surf_permeable,0.14807286858558655
vigueur_pousse,0.1368263214826584
classe_age,0.11622541397809982
quartier,0.10721142590045929
situation,0.09927669167518616
tuteurage_arbre,0.04714902862906456
champignon_houppier,0.02694340981543064
prescription_2,0.024934744462370872
fissure_houppier,0.0
rejet_tronc,0.0
classe_circonference,0.0
circonference (en cm),0.0
classe_hauteur,0.0
