feature,mean_importance
classe_hauteur,-0.0003288259112154246
matricule_arbre,1.1102230246251566e-17
classe_circonference,1.1102230246251566e-17
tuteurage_arbre,1.1102230246251566e-17
rejet_tronc,1.1102230246251566e-17
vigueur_pousse,2.2204460492503132e-17
prescription_2,2.2204460492503132e-17
genre_arbre,3.3306690738754695e-17
bois_mort_houppier,3.3306690738754695e-17
classe_age,0.00016646634998132014
cote_voirie,0.000419156486553518
situation,0.0006127798446500688
site,0.0006391199217808397
type_sol,0.001252914258430493
champignon_houppier,0.0014155638551495264
surf_permeable,0.0024130844820593467
Lat,0.004009012806635093
quartier,0.00451043864210301
contrainte,0.004549230235812651
port_arbre,0.006325775242263965
diametre,0.006892025575726779
plaie_houppier,0.008619276464285064
circonference (en cm),0.00930385108349221
prescription_1,0.00983424203892871
fissure_houppier,0.010140619774654015
hauteur,0.012200018448369898
espece_arbre,0.014361483749624282
date_plantation,0.03264784958310024
plaie_tronc,0.045363207746952704
canisse_arbre,0.04995099009943128
plaie_collet,0.0541754226785375
Long,0.11390503767565212
esperance_maintien,0.2929972260479191
date_diagnostic,0.3028301417447964
