feature,mean_importance
Nom du Produit en Français_ou,-0.003026808161920158
Nom du Produit en Français_poisson,-0.0015054932894645657
Nom du Produit en Français_beurre,-0.0009774476267214282
Nom du Produit en Français_grillée,-0.0007236255588600304
Nom du Produit en Français_pulpe,-0.0005148164697535651
Nom du Produit en Français_non,-0.0004495673961361302
Nom du Produit en Français_sirop,-0.00037870340813560554
Nom du Produit en Français_la,-0.0002354409507006494
Nom du Produit en Français_pois,-0.00023053527401198926
Nom du Produit en Français_biscuit,-0.0001774066642330152
Nom du Produit en Français_nature,-7.795836502683118e-05
Nom du Produit en Français_agneau,-2.2595537701475267e-05
Nom du Produit en Français_tomate,-2.1325141423755854e-05
Nom du Produit en Français_sans,-1.300127161946163e-05
Nom du Produit en Français_pur,-6.588388044037607e-06
Nom du Produit en Français_légumes,-5.296044566072133e-06
Nom du Produit en Français_déshydratée,-2.6998048391901897e-06
Nom du Produit en Français_pour,-2.5290381474030177e-06
Nom du Produit en Français_cuite,-1.1308230488005222e-06
Nom du Produit en Français_jus,-6.474644742571201e-07
Code AGB_30051,0.0
Code AGB_3000,0.0
Code AGB_28917,0.0
Code AGB_30005,0.0
Code AGB_28922,0.0
Code AGB_28911,0.0
Code AGB_28925,0.0
Code AGB_28927,0.0
Code AGB_28912,0.0
Code AGB_30011,0.0
Code AGB_28900,0.0
Code AGB_28905,0.0
Code AGB_28550,0.0
Code AGB_28700,0.0
Code AGB_28720,0.0
Code AGB_28800,0.0
Code AGB_28801,0.0
Code AGB_28802,0.0
Code AGB_28907,0.0
Code AGB_28803,0.0
Code AGB_28812,0.0
Code AGB_28844,0.0
Code AGB_28845,0.0
Code AGB_30104,0.0
Code AGB_28901,0.0
Code AGB_28902,0.0
Nom du Produit en Français_noix,0.0
Code AGB_30110,0.0
Code AGB_32013,0.0
Code AGB_31091,0.0
Nom du Produit en Français_moyennement,0.0
Nom du Produit en Français_minéralisée,0.0
Nom du Produit en Français_minérale,0.0
Nom du Produit en Français_maïs,0.0
Nom du Produit en Français_matière,0.0
Nom du Produit en Français_petit,0.0
Nom du Produit en Français_gazeuse,0.0
Nom du Produit en Français_fortement,0.0
Nom du Produit en Français_filet,0.0
Nom du Produit en Français_faiblement,0.0
Nom du Produit en Français_environ,0.0
Nom du Produit en Français_embouteillée,0.0
Nom du Produit en Français_déjeuner,0.0
Nom du Produit en Français_demi,0.0
Nom du Produit en Français_poudre,0.0
Nom du Produit en Français_chou,0.0
Nom du Produit en Français_blé,0.0
Code AGB_32018,0.0
Code AGB_32017,0.0
Code AGB_28540,0.0
Code AGB_32011,0.0
Code AGB_32008,0.0
Code AGB_32000,0.0
Code AGB_31113,0.0
Code AGB_31102,0.0
Code AGB_31099,0.0
Code AGB_31098,0.0
Code AGB_30150,0.0
Code AGB_28504,0.0
Code AGB_31084,0.0
Code AGB_28478,0.0
Code AGB_26247,0.0
Code AGB_26245,0.0
Code AGB_26244,0.0
Code AGB_26243,0.0
Code AGB_26240,0.0
Code AGB_26239,0.0
Code AGB_26237,0.0
Code AGB_26236,0.0
Code AGB_26235,0.0
Code AGB_26233,0.0
Code AGB_26232,0.0
Code AGB_28480,0.0
Code AGB_26230,0.0
Code AGB_26229,0.0
Code AGB_26248,0.0
Code AGB_26214,0.0
Code AGB_26201,0.0
Code AGB_26194,0.0
Code AGB_26186,0.0
Code AGB_26177,0.0
Code AGB_26173,0.0
Code AGB_10001,0.0
Nom du Produit en Français_rôti,0.0
Nom du Produit en Français_rôtie,0.0
Nom du Produit en Français_st,0.0
Nom du Produit en Français_sucré,0.0
Nom du Produit en Français_thon,0.0
Transport par avion (1 : par avion),0.0
Nom du Produit en Français_veau,0.0
Nom du Produit en Français_vitamines,0.0
Code AGB_26206,0.0
Code AGB_26256,0.0
Code AGB_26231,0.0
Code AGB_28010,0.0
Code AGB_27030,0.0
Code AGB_28001,0.0
Code AGB_28002,0.0
Code AGB_28003,0.0
Code AGB_26259,0.0
Code AGB_28100,0.0
Code AGB_28102,0.0
Code AGB_28201,0.0
Code AGB_28202,0.0
Code AGB_28203,0.0
Code AGB_28401,0.0
Code AGB_28451,0.0
Code AGB_28460,0.0
Code AGB_28461,0.0
Code AGB_28476,0.0
Code AGB_27029,0.0
Code AGB_27017,0.0
Code AGB_28804,0.0
Code AGB_27006,0.0
Code AGB_26274,0.0
Code AGB_26270,0.0
Code AGB_27004,0.0
Code AGB_26268,0.0
Code AGB_27008,0.0
Code AGB_26267,0.0
Code AGB_26266,0.0
Code AGB_27010,0.0
Code AGB_27009,0.0
Code AGB_27015,0.0
Code AGB_27014,0.0
Code AGB_26265,0.0
Nom du Produit en Français_cuit,9.081099607433086e-06
Nom du Produit en Français_avec,9.372994464618144e-06
Nom du Produit en Français_surgelé,1.725781382591052e-05
