feature,mean_importance
Nom du Produit en Français_soupe,-0.013243699827577426
Nom du Produit en Français_noix,-0.010118306534244902
Nom du Produit en Français_grillée,-0.007800953730645354
Nom du Produit en Français_la,-0.004313689397054965
Nom du Produit en Français_légumes,-0.0032164815159290818
Nom du Produit en Français_en,-0.0030069289548906087
Nom du Produit en Français_préemballé,-0.0026709657269616605
Nom du Produit en Français_aux,-0.002064199756926133
Nom du Produit en Français_spécialité,-0.001985968824819939
Nom du Produit en Français_huile,-0.0015229387509931413
Nom du Produit en Français_nature,-0.0015091868083652704
Nom du Produit en Français_demi,-0.0013505720055352554
Nom du Produit en Français_minérale,-0.0011805263763221773
Nom du Produit en Français_minéralisée,-0.0010565912830587721
Nom du Produit en Français_faiblement,-0.0009351802082622652
Épuisement des ressources énergétiques (MJ/kg de produit),-0.0007907354436097469
Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),-0.0007452324083174089
Nom du Produit en Français_avec,-0.0007320303963622932
Nom du Produit en Français_rôti,-0.0006667628531158432
Nom du Produit en Français_matière,-0.0005530835881763397
Nom du Produit en Français_embouteillée,-0.0005207316951589602
Nom du Produit en Français_gazeuse,-0.0004713881604075931
Nom du Produit en Français_filet,-0.0004017769295163509
Nom du Produit en Français_dessert,-0.00035499576401332167
Nom du Produit en Français_ou,-0.0002425274412653833
Nom du Produit en Français_préemballée,-0.00021668326489794333
Nom du Produit en Français_poisson,-0.00017092220631766963
Nom du Produit en Français_agneau,-0.00012311497450341325
Nom du Produit en Français_grasse,-9.093300629960943e-05
Nom du Produit en Français_poulet,-4.486872366238348e-05
Code AGB_28907,0.0
Code AGB_28905,0.0
Code AGB_28902,0.0
Code AGB_28901,0.0
Code AGB_28900,0.0
Code AGB_28845,0.0
Code AGB_28844,0.0
Code AGB_28812,0.0
Code AGB_28911,0.0
Code AGB_28804,0.0
Code AGB_31084,0.0
Code AGB_28801,0.0
Code AGB_28800,0.0
Code AGB_28720,0.0
Code AGB_28700,0.0
Code AGB_28550,0.0
Code AGB_28540,0.0
Code AGB_28504,0.0
Code AGB_28912,0.0
Code AGB_28480,0.0
Code AGB_28803,0.0
Code AGB_28917,0.0
Code AGB_31113,0.0
Code AGB_28925,0.0
Nom du Produit en Français_poudre,0.0
Code AGB_32018,0.0
Code AGB_32017,0.0
Code AGB_32013,0.0
Code AGB_32011,0.0
Code AGB_32008,0.0
Code AGB_32000,0.0
Code AGB_28478,0.0
Code AGB_31102,0.0
Code AGB_28922,0.0
Code AGB_31099,0.0
Code AGB_31091,0.0
Code AGB_30150,0.0
Code AGB_30110,0.0
Code AGB_30104,0.0
Code AGB_30051,0.0
Code AGB_30011,0.0
Code AGB_30005,0.0
Code AGB_3000,0.0
Code AGB_28927,0.0
Code AGB_31098,0.0
Code AGB_28476,0.0
Code AGB_28802,0.0
Code AGB_28460,0.0
Code AGB_26256,0.0
Code AGB_26248,0.0
Code AGB_26247,0.0
Code AGB_26245,0.0
Code AGB_26244,0.0
Transport par avion (1 : par avion),0.0
Code AGB_26243,0.0
Code AGB_26240,0.0
Code AGB_26239,0.0
Code AGB_26237,0.0
Code AGB_26236,0.0
Code AGB_26259,0.0
Code AGB_26235,0.0
Code AGB_26232,0.0
Code AGB_26231,0.0
Code AGB_26230,0.0
Code AGB_26229,0.0
Code AGB_26214,0.0
Code AGB_10001,0.0
Code AGB_28461,0.0
Code AGB_26206,0.0
Code AGB_26201,0.0
Code AGB_26173,0.0
Code AGB_26177,0.0
Code AGB_26233,0.0
Code AGB_26186,0.0
Code AGB_26265,0.0
Code AGB_26267,0.0
Code AGB_28451,0.0
Code AGB_28401,0.0
Code AGB_28203,0.0
Code AGB_28202,0.0
Code AGB_28201,0.0
Code AGB_28102,0.0
Code AGB_28100,0.0
Code AGB_28010,0.0
Code AGB_28003,0.0
Code AGB_28002,0.0
Code AGB_28001,0.0
Code AGB_26266,0.0
Code AGB_27030,0.0
Code AGB_27017,0.0
Code AGB_27015,0.0
Code AGB_27014,0.0
Code AGB_27010,0.0
Code AGB_27009,0.0
Code AGB_27008,0.0
Code AGB_27006,0.0
Code AGB_27004,0.0
Code AGB_26274,0.0
Code AGB_26270,0.0
Code AGB_26268,0.0
Code AGB_27029,0.0
Code AGB_26194,0.0
Nom du Produit en Français_moyennement,2.6494671538457303e-05
Nom du Produit en Français_yaourt,0.0002611033060899937
Nom du Produit en Français_thon,0.0003800310460596146
