feature,shap_importance
Utilisation du sol (Pt/kg de produit),0.19509812941968108
Rayonnements ionisants (kBq U-235 eq/kg de produit),0.16503660690657523
Code CIQUAL,0.088317856351539
Épuisement des ressources eau (m3 depriv./kg de produit),0.06508575210652812
Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),0.05530540047927932
Groupe d'aliment,0.05313633169788252
Eutrophisation terreste (mol N eq/kg de produit),0.04141366101465757
Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),0.025945325956490593
Eutrophisation marine (E-03 kg N eq/kg de produit),0.018634858857428428
Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit),0.017724699557940357
Livraison,0.016994546975422582
Acidification terrestre et eaux douces (mol H+ eq/kg de produit),0.016404563661287345
Eutrophisation eaux douces (E-03 kg P eq/kg de produit),0.014314620090935674
Score unique EF (mPt/kg de produit),0.013374235326803699
Particules (E-06 disease inc./kg de produit),0.010134195668301007
Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),0.008743400159331501
Matériau d'emballage,0.006645575318820483
Sous-groupe d'aliment,0.005397470992036971
Épuisement des ressources énergétiques (MJ/kg de produit),0.004265281821198594
Nom du Produit en Français_minéraux,0.004054915387400738
Changement climatique (kg CO2 eq/kg de produit),0.003974818798641308
Nom du Produit en Français_ou,0.0026290896666704465
Nom du Produit en Français_lait,0.0019775949375018605
Nom du Produit en Français_au,0.001436295468782954
Nom du Produit en Français_pomme,0.0006814337941572703
Nom du Produit en Français_et,0.0006580014985596218
Nom du Produit en Français_huile,0.0004973149940547629
Nom du Produit en Français_type,0.0004557649179598066
Nom du Produit en Français_sirop,0.00036321796767322106
Nom du Produit en Français_salade,0.0003411538896232754
Saisonnalité,0.00032175539638645785
Nom du Produit en Français_la,0.0002912209084377902
Nom du Produit en Français_non,0.0002861267514698331
Nom du Produit en Français_viande,0.0002605287196066856
Nom du Produit en Français_poudre,0.00024223529458888236
Nom du Produit en Français_préemballé,0.00012394252318407133
Nom du Produit en Français_boeuf,0.00012377458468126027
Nom du Produit en Français_pâtes,0.00010483776864812274
Préparation,9.059623146319393e-05
Nom du Produit en Français_fortement,0.0
Nom du Produit en Français_fourrée,0.0
Nom du Produit en Français_beurre,0.0
Nom du Produit en Français_appertisé,0.0
Nom du Produit en Français_faiblement,0.0
Nom du Produit en Français_avec,0.0
Nom du Produit en Français_filet,0.0
Nom du Produit en Français_fromage,0.0
Nom du Produit en Français_frais,0.0
Nom du Produit en Français_base,0.0
Nom du Produit en Français_fruits,0.0
Nom du Produit en Français_gazeuse,0.0
Nom du Produit en Français_grasse,0.0
Nom du Produit en Français_grillée,0.0
Nom du Produit en Français_aux,0.0
Nom du Produit en Français_jambon,0.0
Nom du Produit en Français_jus,0.0
Nom du Produit en Français_environ,0.0
Nom du Produit en Français_eau,0.0
Nom du Produit en Français_en,0.0
Nom du Produit en Français_crue,0.0
Nom du Produit en Français_blanc,0.0
Nom du Produit en Français_blé,0.0
Nom du Produit en Français_boisson,0.0
Nom du Produit en Français_chocolat,0.0
Nom du Produit en Français_chou,0.0
Nom du Produit en Français_chèvre,0.0
Nom du Produit en Français_cru,0.0
Nom du Produit en Français_crème,0.0
Nom du Produit en Français_embouteillée,0.0
Nom du Produit en Français_cuit,0.0
Nom du Produit en Français_cuite,0.0
Nom du Produit en Français_céréales,0.0
Nom du Produit en Français_demi,0.0
Nom du Produit en Français_dessert,0.0
Nom du Produit en Français_déshydratée,0.0
Nom du Produit en Français_biscuit,0.0
Nom du Produit en Français_déjeuner,0.0
Nom du Produit en Français_petit,0.0
Nom du Produit en Français_légumes,0.0
Nom du Produit en Français_matière,0.0
Nom du Produit en Français_rôti,0.0
Nom du Produit en Français_rôtie,0.0
Nom du Produit en Français_sans,0.0
Nom du Produit en Français_sauce,0.0
Nom du Produit en Français_sec,0.0
Nom du Produit en Français_soupe,0.0
Nom du Produit en Français_spécialité,0.0
Nom du Produit en Français_st,0.0
Nom du Produit en Français_sucré,0.0
Nom du Produit en Français_sucrée,0.0
Nom du Produit en Français_surgelé,0.0
Nom du Produit en Français_surgelée,0.0
Nom du Produit en Français_sèche,0.0
Nom du Produit en Français_terre,0.0
Nom du Produit en Français_thon,0.0
Nom du Produit en Français_tomate,0.0
Nom du Produit en Français_veau,0.0
Nom du Produit en Français_vitamines,0.0
Nom du Produit en Français_yaourt,0.0
Nom du Produit en Français_riz,0.0
Nom du Produit en Français_rayon,0.0
Nom du Produit en Français_pâte,0.0
Nom du Produit en Français_peau,0.0
Nom du Produit en Français_maïs,0.0
Nom du Produit en Français_mg,0.0
Nom du Produit en Français_minérale,0.0
Nom du Produit en Français_minéralisée,0.0
Nom du Produit en Français_moyennement,0.0
Nom du Produit en Français_nature,0.0
Nom du Produit en Français_noix,0.0
Nom du Produit en Français_pain,0.0
Code AGB_32018,0.0
Nom du Produit en Français_pur,0.0
Nom du Produit en Français_pizza,0.0
Nom du Produit en Français_pois,0.0
Nom du Produit en Français_poisson,0.0
Nom du Produit en Français_porc,0.0
Nom du Produit en Français_poulet,0.0
Nom du Produit en Français_pour,0.0
Nom du Produit en Français_préemballée,0.0
Nom du Produit en Français_pulpe,0.0
Nom du Produit en Français_agneau,0.0
Code AGB_31084,0.0
Code AGB_32017,0.0
Code AGB_27009,0.0
Code AGB_26259,0.0
Code AGB_26265,0.0
Code AGB_26266,0.0
Code AGB_26267,0.0
Code AGB_26268,0.0
Code AGB_26270,0.0
Code AGB_26274,0.0
Code AGB_27004,0.0
Code AGB_27006,0.0
Code AGB_27008,0.0
Code AGB_27010,0.0
Code AGB_32013,0.0
Code AGB_27014,0.0
Code AGB_27015,0.0
Code AGB_27017,0.0
Code AGB_27029,0.0
Code AGB_27030,0.0
Code AGB_28001,0.0
Code AGB_28002,0.0
Code AGB_28003,0.0
Code AGB_28010,0.0
Code AGB_28100,0.0
Code AGB_26256,0.0
Code AGB_26248,0.0
Code AGB_26247,0.0
Code AGB_26245,0.0
Transport par avion (1 : par avion),0.0
Code AGB_10001,0.0
Code AGB_26173,0.0
Code AGB_26177,0.0
Code AGB_26186,0.0
Code AGB_26194,0.0
Code AGB_26201,0.0
Code AGB_26206,0.0
Code AGB_26214,0.0
Code AGB_26229,0.0
Code AGB_26230,0.0
Code AGB_26231,0.0
Code AGB_26232,0.0
Code AGB_26233,0.0
Code AGB_26235,0.0
Code AGB_26236,0.0
Code AGB_26237,0.0
Code AGB_26239,0.0
Code AGB_26240,0.0
Code AGB_26243,0.0
Code AGB_26244,0.0
Code AGB_28102,0.0
Code AGB_28201,0.0
Code AGB_28202,0.0
Code AGB_28905,0.0
Code AGB_28911,0.0
Code AGB_28912,0.0
Code AGB_28917,0.0
Code AGB_28922,0.0
Code AGB_28925,0.0
Code AGB_28927,0.0
Code AGB_3000,0.0
Code AGB_30005,0.0
Code AGB_30011,0.0
Code AGB_30051,0.0
Code AGB_30104,0.0
Code AGB_30110,0.0
Code AGB_30150,0.0
Code AGB_31091,0.0
Code AGB_31098,0.0
Code AGB_31099,0.0
Code AGB_31102,0.0
Code AGB_31113,0.0
Code AGB_32000,0.0
Code AGB_32008,0.0
Code AGB_32011,0.0
Code AGB_28907,0.0
Code AGB_28902,0.0
Code AGB_28203,0.0
Code AGB_28901,0.0
Code AGB_28401,0.0
Code AGB_28451,0.0
Code AGB_28460,0.0
Code AGB_28461,0.0
Code AGB_28476,0.0
Code AGB_28478,0.0
Code AGB_28480,0.0
Code AGB_28504,0.0
Code AGB_28540,0.0
Code AGB_28550,0.0
Code AGB_28700,0.0
Code AGB_28720,0.0
Code AGB_28800,0.0
Code AGB_28801,0.0
Code AGB_28802,0.0
Code AGB_28803,0.0
Code AGB_28804,0.0
Code AGB_28812,0.0
Code AGB_28844,0.0
Code AGB_28845,0.0
Code AGB_28900,0.0
Nom du Produit en Français_égoutté,0.0
