feature,mean_importance
weekday,-0.0007778848561939222
latitude,8.573343440587688e-05
dept,0.00033243272766347864
score_controls_wday,0.00036539923700529275
count_controls_wday,0.0004432818209388678
filtre,0.0008356996582379317
longitude,0.0012310559492911155
count_controls_filtre,0.0018407792882224826
has_agrement,0.005482964973974669
count_controls_dept,0.00750905168330922
month,0.007778849112806729
year,0.011364637628837326
count_controls_activite,0.03248242506487944
score_controls_activite,0.03919009285725674
score_controls_filtre,0.04336188461199799
score_controls_dept,0.07619355113070266
