feature,shap_importance
date_diagnostic,1.799708604812622
prescription_1_ab,1.7594938278198242
esperance_maintien,1.6497856378555298
plaie_tronc_TPLNC,0.8586294054985046
Lat,0.835871696472168
Long,0.8291828036308289
matricule_arbre,0.7545779943466187
classe_hauteur_H3,0.745171308517456
plaie_collet_RCPPL,0.7120617032051086
date_plantation,0.6950622797012329
diametre,0.6879236698150635
canisse_arbre_Oui,0.5314610600471497
site,0.48581284284591675
hauteur,0.4561346769332886
genre_arbre,0.44664689898490906
bois_mort_houppier_HPBM ,0.41601818799972534
plaie_houppier_HPLNC,0.40391069650650024
vigueur_pousse_P,0.36247342824935913
plaie_tronc_TPLS,0.35285684466362
plaie_tronc_TPPL,0.3034634292125702
classe_hauteur_H2,0.2998048663139343
contrainte_Oui,0.22171136736869812
cote_voirie_Pair,0.2101774364709854
plaie_collet_RCPLS,0.142135888338089
classe_age_JA,0.14204315841197968
espece_arbre,0.13596558570861816
surf_permeable,0.11619231104850769
type_sol_MA,0.09634178876876831
quartier_Quartier 3 - Lycée International,0.09623389691114426
plaie_collet_RCPLNC,0.0933188870549202
type_sol_S,0.07582318782806396
classe_circonference_C2,0.07008250802755356
prescription_1_tfo,0.06556226313114166
prescription_1_RT,0.06424359977245331
tuteurage_arbre_Non,0.060513198375701904
type_sol_Gr,0.05669332295656204
plaie_houppier_HPLS,0.0562911219894886
port_arbre_A,0.05597154051065445
classe_circonference_C3,0.05361498147249222
vigueur_pousse_PP,0.050924576818943024
bois_mort_houppier_HBMI ,0.045128077268600464
plaie_tronc_TPLC,0.03471602499485016
bois_mort_houppier_HBMU ,0.017260868102312088
classe_age_J,0.016660284250974655
vigueur_pousse_MP,0.014559419825673103
quartier_Quartier 6 - Hôpital,0.013624848797917366
port_arbre_SL,0.012420701794326305
plaie_tronc_TPLCF,0.01179987657815218
quartier_Quartier 2 - Alsace - Pereire,0.010650578886270523
situation_Bosquet,0.010456391610205173
situation_Alignement,0.008271152153611183
prescription_1_RC,0.00816507451236248
plaie_collet_RCPLC,0.005261584650725126
prescription_2_RC,0.005108973942697048
situation_Isolé,0.004487094469368458
situation_Groupe,0.0037495086435228586
plaie_houppier_HPPL,0.002733370987698436
champignon_houppier_Oui,0.0022714610677212477
quartier_Quartier 4 - Rotondes - St Léger,0.002206971636041999
vigueur_pousse_D,0.0020725971553474665
type_sol_GR,0.0016765622422099113
rejet_tronc_Oui,0.00122948014177382
type_sol_G,0.0006713892216794193
prescription_1_Tpa,0.0
prescription_1_au,0.0
prescription_2_trg,0.0
prescription_2_sl,0.0
prescription_2_au,0.0
prescription_2_Tpa,0.0
plaie_houppier_ZZ,0.0
prescription_2_RT,0.0
prescription_1_tsbm,0.0
prescription_1_trg,0.0
prescription_1_trd,0.0
prescription_1_tr,0.0
prescription_1_tdg,0.0
prescription_1_tac,0.0
plaie_houppier_HPLC,0.0
prescription_1_rg,0.0
prescription_1_sl,0.0
quartier_Quartier 7 - Debussy - Schnapper,0.0
circonference (en cm),0.0
classe_circonference_C6,0.0
type_sol_CS,0.0
type_sol_P,0.0
type_sol_TV,0.0
classe_age_A,0.0
classe_age_AM,0.0
classe_hauteur_H1,0.0
classe_hauteur_H4,0.0
classe_hauteur_H5,0.0
classe_circonference_C1,0.0
classe_circonference_C4,0.0
classe_circonference_C5,0.0
classe_circonference_C7,0.0
fissure_houppier_HPF ,0.0
port_arbre_L,0.0
port_arbre_R5,0.0
plaie_collet_AU,0.0
plaie_collet_RCPLCF,0.0
plaie_collet_RCPLNS,0.0
tuteurage_arbre_T2:Bipode,0.0
tuteurage_arbre_T3Tripode,0.0
quartier_Quartier 1 - Cœur de Ville et Quatier forestier,0.0
plaie_tronc_ZZ,0.0
fissure_houppier_HFF ,0.0
fissure_houppier_HFO ,0.0
prescription_2_tsbm,0.0
