feature,mean_importance
date_diagnostic,-0.010787864811749082
diametre,-0.005191153772025536
genre_arbre,-0.002924696411926453
classe_age,-0.0025982636258019554
hauteur,-0.002258123639206089
quartier,0.0005293084011270044
Lat,0.0015719775791985802
type_sol,0.00202067805759093
classe_hauteur,0.002575488735668763
classe_circonference,0.003520792121642369
vigueur_pousse,0.0043119670579337965
champignon_houppier,0.005555688144597537
circonference (en cm),0.005785406098319757
rejet_tronc,0.011467419528901557
plaie_houppier,0.012633660342136411
espece_arbre,0.014222054959448772
bois_mort_houppier,0.017716605679749763
contrainte,0.022963898649019765
surf_permeable,0.024198078736378647
site,0.02692410183895235
prescription_2,0.034327003926680685
plaie_tronc,0.03985643632627585
matricule_arbre,0.04909561927354115
port_arbre,0.050167612811343666
fissure_houppier,0.055098578740867946
Long,0.06680515352622643
situation,0.06958276175167746
prescription_1,0.07209429611185464
tuteurage_arbre,0.11372987744513627
date_plantation,0.12541059434245544
cote_voirie,0.13562042618004022
esperance_maintien,0.1717521420612365
plaie_collet,0.18617752697673132
canisse_arbre,0.2258897521364661
