feature,mean_importance
CNIT_m10mcdvp324r061,-0.0025807654666334047
Type Variante Version (TVV)_gwl10,-7.995124066306827e-05
Type Variante Version (TVV)_hs19,-6.582699170391281e-05
Type Variante Version (TVV)_906ac35,-1.4251821767106987e-05
Marque,-3.5168227315682256e-06
Type Variante Version (TVV)_3k,-2.2958728153277264e-06
Type Variante Version (TVV)_2e,-4.578633095227158e-07
Type Variante Version (TVV)_xe2,-4.474345624769227e-08
Type Variante Version (TVV)_906ac35khg71350nmce21wa9,-2.152231531882265e-09
Type Variante Version (TVV)_906ac35khg71349emce21wa9,-2.152231531882265e-09
Type Variante Version (TVV)_1p,-2.152231531882265e-09
Type Variante Version (TVV)_1ps,-2.152231531882265e-09
Type Variante Version (TVV)_1s,-2.152231531882265e-09
Type Variante Version (TVV)_212140yzda,-2.152231531882265e-09
Type Variante Version (TVV)_225axc1a03d,-2.152231531882265e-09
Type Variante Version (TVV)_4e,-2.152231531882265e-09
Type Variante Version (TVV)_3e,-2.152231531882265e-09
Type Variante Version (TVV)_263axg1b05b,-2.152231531882265e-09
Type Variante Version (TVV)_2b,-2.152231531882265e-09
Type Variante Version (TVV)_1j,-2.152231531882265e-09
Type Variante Version (TVV)_2k,-2.152231531882265e-09
Type Variante Version (TVV)_312axa1a00r,-2.152231531882265e-09
Type Variante Version (TVV)_312pxa1ap0f,-2.152231531882265e-09
Type Variante Version (TVV)_312pxg1ap1d,-2.152231531882265e-09
Type Variante Version (TVV)_263axg1b05,-2.152231531882265e-09
Type Variante Version (TVV)_1e,-2.152231531882265e-09
Type Variante Version (TVV)_1a,-2.152231531882265e-09
Type Variante Version (TVV)_906ac35kmg71349emce21wa9,-2.152231531882265e-09
CNIT_m10mcdvpf16r986,-2.152231531882265e-09
CNIT_m10mcdvpf16s017,-2.152231531882265e-09
CNIT_m10mcdvpf16s089,-2.152231531882265e-09
CNIT_m10mcdvpf16s114,-2.152231531882265e-09
CNIT_m10mcdvpf16s150,-2.152231531882265e-09
CNIT_m10mcdvpf16s186,-2.152231531882265e-09
CNIT_m10mcdvpf16s211,-2.152231531882265e-09
CNIT_m10mcdvpf16s308,-2.152231531882265e-09
CNIT_m10mcdvpf16s405,-2.152231531882265e-09
Type Variante Version (TVV)_1d,-2.152231531882265e-09
Type Variante Version (TVV)_zwa10l,-2.152231531882265e-09
CNIT_m10mcdvpf16s502,-2.152231531882265e-09
CNIT_m10mcdvpf16s538,-2.152231531882265e-09
CNIT_m10mcdvpf16s599,-2.152231531882265e-09
CNIT_m10pelvp118g208,-2.152231531882265e-09
CNIT_m10pelvp118j210,-2.152231531882265e-09
CNIT_m10pelvp118k212,-2.152231531882265e-09
Type Variante Version (TVV)_00,-2.152231531882265e-09
Type Variante Version (TVV)_169axh1a12,-2.152231531882265e-09
Type Variante Version (TVV)_199bxb1a03ar,-2.152231531882265e-09
CNIT_m10mcdvpf16s477,-2.152231531882265e-09
Type Variante Version (TVV)_906ac35kmg71349nmce21wa9,-2.152231531882265e-09
Type Variante Version (TVV)_906ac35kmg71350nmce21wa9,-2.152231531882265e-09
CNIT_m10mcdvpf16r985,-2.152231531882265e-09
Type Variante Version (TVV)_gse20l,-2.152231531882265e-09
Type Variante Version (TVV)_gwl10l,-2.152231531882265e-09
Type Variante Version (TVV)_gws191,-2.152231531882265e-09
Type Variante Version (TVV)_gws191l,-2.152231531882265e-09
Type Variante Version (TVV)_gyl10,-2.152231531882265e-09
Type Variante Version (TVV)_hf4,-2.152231531882265e-09
Type Variante Version (TVV)_lfa10r,-2.152231531882265e-09
Type Variante Version (TVV)_mh,-2.152231531882265e-09
Type Variante Version (TVV)_phantom,-2.152231531882265e-09
Type Variante Version (TVV)_gse20,-2.152231531882265e-09
Type Variante Version (TVV)_ps,-2.152231531882265e-09
Type Variante Version (TVV)_ua9hr8,-2.152231531882265e-09
Type Variante Version (TVV)_use20,-2.152231531882265e-09
Type Variante Version (TVV)_uvf45,-2.152231531882265e-09
Type Variante Version (TVV)_uvf46,-2.152231531882265e-09
Type Variante Version (TVV)_uvf46l,-2.152231531882265e-09
Type Variante Version (TVV)_uxe2,-2.152231531882265e-09
Type Variante Version (TVV)_xa3,-2.152231531882265e-09
Type Variante Version (TVV)_xp13m,-2.152231531882265e-09
Type Variante Version (TVV)_zwa10,-2.152231531882265e-09
Type Variante Version (TVV)_sb,-2.152231531882265e-09
Type Variante Version (TVV)_906ac35kmg71350emce21wa9,-2.152231531882265e-09
Type Variante Version (TVV)_ghn9280e,-2.152231531882265e-09
Type Variante Version (TVV)_ghf9180e,-2.152231531882265e-09
Type Variante Version (TVV)_906ac35kng71349nmce21wa9,-2.152231531882265e-09
Type Variante Version (TVV)_906ac35kng71350emce21wa9,-2.152231531882265e-09
Type Variante Version (TVV)_906ac35kng71350nmce21wa9,-2.152231531882265e-09
Type Variante Version (TVV)_9f,-2.152231531882265e-09
Type Variante Version (TVV)_a10,-2.152231531882265e-09
Type Variante Version (TVV)_adt271l,-2.152231531882265e-09
Type Variante Version (TVV)_aexghw,-2.152231531882265e-09
Type Variante Version (TVV)_aezghw,-2.152231531882265e-09
Type Variante Version (TVV)_ahxbbw,-2.152231531882265e-09
Type Variante Version (TVV)_ghk9760e,-2.152231531882265e-09
Type Variante Version (TVV)_ahxebw,-2.152231531882265e-09
Type Variante Version (TVV)_ala49l,-2.152231531882265e-09
Type Variante Version (TVV)_bexqbw,-2.152231531882265e-09
Type Variante Version (TVV)_f4,-2.152231531882265e-09
Type Variante Version (TVV)_fa10lfa10,-2.152231531882265e-09
Type Variante Version (TVV)_fcrafw,-2.152231531882265e-09
Type Variante Version (TVV)_fezrhw,-2.152231531882265e-09
Type Variante Version (TVV)_gh52762w0,-2.152231531882265e-09
Type Variante Version (TVV)_gh62162w0,-2.152231531882265e-09
Type Variante Version (TVV)_gh69162w0,-2.152231531882265e-09
Type Variante Version (TVV)_ala49,-2.152231531882265e-09
CNIT_m10mcdvpf16r961,-2.152231531882265e-09
CNIT_m10mcdvpf16s441,-2.152231531882265e-09
CNIT_m10mcdvpf16r925,-2.152231531882265e-09
CNIT_m10mcdvpf16r960,-2.152231531882265e-09
CNIT_m10mazvp000h417,-2.152231531882265e-09
CNIT_m10mazvp000p424,-2.152231531882265e-09
CNIT_m10mazvp000r366,-2.152231531882265e-09
CNIT_m10mazvp000r390,-2.152231531882265e-09
CNIT_m10mazvp000r426,-2.152231531882265e-09
CNIT_m10mazvp000b411,-2.152231531882265e-09
CNIT_m10mazvp000s428,-2.152231531882265e-09
CNIT_m10mazvp000z374,-2.152231531882265e-09
CNIT_m10mazvp000z399,-2.152231531882265e-09
CNIT_m10mazvp000z435,-2.152231531882265e-09
CNIT_m10mcdvp3241291,-2.152231531882265e-09
CNIT_m10mcdvp3242292,-2.152231531882265e-09
CNIT_m10mcdvp3243293,-2.152231531882265e-09
CNIT_m10mazvp000u430,-2.152231531882265e-09
CNIT_m10mazvp0007407,-2.152231531882265e-09
CNIT_m10mazvp0007382,-2.152231531882265e-09
CNIT_m10mazvp0005405,-2.152231531882265e-09
CNIT_m10dacvp000z625,-2.152231531882265e-09
CNIT_m10fatvp0005418,-2.152231531882265e-09
CNIT_m10fatvp0012159,-2.152231531882265e-09
CNIT_m10fatvp001j854,-2.152231531882265e-09
CNIT_m10fatvp001k565,-2.152231531882265e-09
CNIT_m10fatvp001m592,-2.152231531882265e-09
CNIT_m10fatvp001r148,-2.152231531882265e-09
CNIT_m10fatvp001z447,-2.152231531882265e-09
CNIT_m10fatvp004m528,-2.152231531882265e-09
CNIT_m10fatvp007r335,-2.152231531882265e-09
CNIT_m10fatvp008l681,-2.152231531882265e-09
CNIT_m10ladvp000t028,-2.152231531882265e-09
CNIT_m10ladvp000z034,-2.152231531882265e-09
CNIT_m10mazvp0003403,-2.152231531882265e-09
CNIT_m10mazvp0003439,-2.152231531882265e-09
CNIT_m10mcdvp3244294,-2.152231531882265e-09
CNIT_m10mcdvp324c532,-2.152231531882265e-09
CNIT_m10mazvp000f415,-2.152231531882265e-09
CNIT_m10mcdvp324e534,-2.152231531882265e-09
CNIT_m10mcdvpf16p279,-2.152231531882265e-09
CNIT_m10mcdvpf16p305,-2.152231531882265e-09
CNIT_m10mcdvpf16p376,-2.152231531882265e-09
CNIT_m10mcdvpf16p438,-2.152231531882265e-09
CNIT_m10mcdvpf16p473,-2.152231531882265e-09
CNIT_m10mcdvpf16p498,-2.152231531882265e-09
CNIT_m10mcdvp324d533,-2.152231531882265e-09
