feature,mean_importance
Men_5ind,-0.0009350059776155981
Ind_6_10,-2.606535204514593e-05
Id_carr_n_crs3035res2000mn2874000e3254000,0.0
Id_carr_n_crs3035res2000mn2874000e3394000,0.0
Id_carr_n_crs3035res2000mn2874000e3390000,0.0
Id_carr_n_crs3035res2000mn2874000e3388000,0.0
Id_carr_n_crs3035res2000mn2874000e3382000,0.0
Id_carr_n_crs3035res2000mn2874000e3378000,0.0
Id_carr_n_crs3035res2000mn2874000e3376000,0.0
Id_carr_n_crs3035res2000mn2874000e3372000,0.0
Id_carr_n_crs3035res2000mn2874000e3370000,0.0
Id_carr_n_crs3035res2000mn2874000e3368000,0.0
Id_carr_n_crs3035res2000mn2874000e3360000,0.0
Id_carr_n_crs3035res2000mn2874000e3356000,0.0
Id_carr_n_crs3035res2000mn2874000e3346000,0.0
Id_carr_n_crs3035res2000mn2874000e3344000,0.0
Id_carr_n_crs3035res2000mn2874000e3342000,0.0
Id_carr_n_crs3035res2000mn2874000e3338000,0.0
Id_carr_n_crs3035res2000mn2874000e3336000,0.0
Id_carr_n_crs3035res2000mn2874000e3318000,0.0
Id_carr_n_crs3035res2000mn2874000e3316000,0.0
Id_carr_n_crs3035res2000mn2874000e3306000,0.0
Id_carr_n_crs3035res2000mn2874000e3298000,0.0
Id_carr_n_crs3035res2000mn2874000e3296000,0.0
Id_carr_n_crs3035res2000mn2874000e3292000,0.0
Id_carr_n_crs3035res2000mn2874000e3290000,0.0
Id_carr_n_crs3035res2000mn2874000e3288000,0.0
Id_carr_n_crs3035res2000mn2874000e3280000,0.0
Id_carr_n_crs3035res2000mn2874000e3276000,0.0
Id_carr_n_crs3035res2000mn2874000e3272000,0.0
Id_carr_n_crs3035res2000mn2874000e3396000,0.0
Id_carr_n_crs3035res2000mn2874000e3402000,0.0
Id_carr_n_crs3035res2000mn2874000e3410000,0.0
Id_carr_n_crs3035res2000mn2874000e3270000,0.0
Id_carr_n_crs3035res2000mn2874000e4178000,0.0
Id_carr_n_crs3035res2000mn2874000e4174000,0.0
Id_carr_n_crs3035res2000mn2874000e4170000,0.0
Id_carr_n_crs3035res2000mn2874000e4166000,0.0
Id_carr_n_crs3035res2000mn2874000e4162000,0.0
Id_carr_n_crs3035res2000mn2874000e4124000,0.0
Id_carr_n_crs3035res2000mn2874000e4114000,0.0
Id_carr_n_crs3035res2000mn2874000e4100000,0.0
Id_carr_n_crs3035res2000mn2874000e4078000,0.0
Id_carr_n_crs3035res2000mn2874000e4076000,0.0
Id_carr_n_crs3035res2000mn2874000e4074000,0.0
Id_carr_n_crs3035res2000mn2874000e4072000,0.0
Id_carr_n_crs3035res2000mn2874000e4070000,0.0
Id_carr_n_crs3035res2000mn2874000e3404000,0.0
Id_carr_n_crs3035res2000mn2874000e4052000,0.0
Id_carr_n_crs3035res2000mn2874000e4012000,0.0
Id_carr_n_crs3035res2000mn2874000e3958000,0.0
Id_carr_n_crs3035res2000mn2874000e3954000,0.0
Id_carr_n_crs3035res2000mn2874000e3912000,0.0
Id_carr_n_crs3035res2000mn2874000e3478000,0.0
Id_carr_n_crs3035res2000mn2874000e3476000,0.0
Id_carr_n_crs3035res2000mn2874000e3468000,0.0
Id_carr_n_crs3035res2000mn2874000e3450000,0.0
Id_carr_n_crs3035res2000mn2874000e3438000,0.0
Id_carr_n_crs3035res2000mn2874000e3432000,0.0
Id_carr_n_crs3035res2000mn2874000e3424000,0.0
Id_carr_n_crs3035res2000mn2874000e3418000,0.0
Id_carr_n_crs3035res2000mn2874000e3412000,0.0
Id_carr_n_crs3035res2000mn2874000e4044000,0.0
Id_carr_n_crs3035res2000mn2874000e3264000,0.0
Id_carr_n_crs3035res2000mn2876000e3336000,0.0
Id_carr_n_crs3035res2000mn2874000e3244000,0.0
Id_carr_n_crs3035res2000mn2872000e3824000,0.0
Id_carr_n_crs3035res2000mn2872000e3814000,0.0
Id_carr_n_crs3035res2000mn2872000e3812000,0.0
Id_carr_n_crs3035res2000mn2872000e3790000,0.0
Id_carr_n_crs3035res2000mn2872000e3786000,0.0
