feature,shap_importance
Log_ap90,0.8202147890679246
Men_prop,0.7882755623634222
Log_70_90,0.7561867877196126
Ind,0.6836873219136008
Log_45_70,0.6126216654262369
Men_coll,0.5992296385505461
Log_av45,0.5929631135290465
Men,0.5827253176784896
Men_mais,0.3717594923635272
Ind_25_39,0.3017173705301616
Ind_40_54,0.18738574046687181
Men_pauv,0.10871947400548451
Ind_80p,0.10116210227988665
Ind_0_3,0.09368891634900624
Ind_18_24,0.08459258959220674
Ind_snv,0.07404751698546752
Men_surf,0.0689187723614142
Ind_65_79,0.06749785105292258
Ind_55_64,0.06590207720885609
Ind_4_5,0.039887352643918315
Men_fmp,0.031971677021693096
Ind_11_17,0.02065039063430853
Men_5ind,0.012449891859002016
t_maille,0.008974317763391942
Men_1ind,0.004584840754054607
Ind_6_10,0.00016191145214878062
Id_carr_n_crs3035res2000mn2872000e3786000,1.5154324758354843e-05
Id_carr_n_crs3035res2000mn2872000e4074000,1.2230900040932032e-05
I_pauv,1.1261152876513816e-05
Id_carr_n_crs3035res2000mn2872000e3782000,7.809654906370787e-06
Id_carr_n_crs3035res2000mn2872000e3828000,4.8606607685386315e-06
Id_carr_n_crs3035res2000mn2872000e3790000,4.623323270047702e-06
Id_carr_n_crs3035res2000mn2874000e3244000,3.361318297366663e-06
Id_carr_n_crs3035res2000mn2872000e3774000,3.2776023695895025e-06
Id_carr_n_crs3035res2000mn2872000e4108000,2.639068825297767e-06
Id_carr_n_crs3035res2000mn2874000e3270000,2.0548950101903947e-06
Id_carr_n_crs3035res2000mn2872000e3780000,2.0253351511033605e-06
Id_carr_n_crs3035res2000mn2874000e3264000,1.9278947654604574e-06
Id_carr_n_crs3035res2000mn2874000e4162000,1.9178060939745746e-06
Id_carr_n_crs3035res2000mn2874000e4124000,1.82757404661833e-06
Id_carr_n_crs3035res2000mn2872000e4146000,1.5524956733156594e-06
Id_carr_n_crs3035res2000mn2872000e4028000,1.3425896192331043e-06
Id_carr_n_crs3035res2000mn2874000e3368000,1.219471769430507e-06
Id_carr_n_crs3035res2000mn2874000e3356000,1.1226413750997605e-06
Id_carr_n_crs3035res2000mn2872000e3812000,1.1148442955758263e-06
Id_carr_n_crs3035res2000mn2874000e4076000,1.102569698018729e-06
Id_carr_n_crs3035res2000mn2872000e4162000,1.0432675465693375e-06
Id_carr_n_crs3035res2000mn2874000e4178000,9.569315035509656e-07
Id_carr_n_crs3035res2000mn2874000e4074000,9.144198522885172e-07
Id_carr_n_crs3035res2000mn2874000e4174000,8.93664006742905e-07
Id_carr_n_crs3035res2000mn2872000e4034000,8.446246516931047e-07
Id_carr_n_crs3035res2000mn2874000e4100000,8.19380324372561e-07
Id_carr_n_crs3035res2000mn2872000e4052000,8.130096150014294e-07
Id_carr_n_crs3035res2000mn2874000e3450000,8.071476397703828e-07
Id_carr_n_crs3035res2000mn2874000e3280000,7.592323042204135e-07
Id_carr_n_crs3035res2000mn2874000e4072000,7.555247418519201e-07
Id_carr_n_crs3035res2000mn2874000e3432000,6.804295621419444e-07
Id_carr_n_crs3035res2000mn2874000e3378000,6.527888048748171e-07
Id_carr_n_crs3035res2000mn2874000e3954000,6.179983318265669e-07
Id_carr_n_crs3035res2000mn2874000e3402000,6.102706004544084e-07
Id_carr_n_crs3035res2000mn2872000e4102000,5.837757201994099e-07
Id_carr_n_crs3035res2000mn2874000e3290000,5.783905167116947e-07
Id_carr_n_crs3035res2000mn2872000e3838000,5.768496206651204e-07
Id_carr_n_crs3035res2000mn2874000e4166000,5.475811216335659e-07
