feature,mean_importance
Ind_inc,-0.006448490255907468
Ind_4_5,-0.005675636669575612
Ind_18_24,-0.0033727070905363145
Men_mais,-0.00014481218297204279
I_pauv,3.4190231060954315e-05
t_maille,0.00037054857699049537
Log_inc,0.002018025650376748
Ind_25_39,0.003778187021807078
Ind_80p,0.00967691625205216
Ind_snv,0.01099381524905207
Ind_11_17,0.013761923991848491
Men_5ind,0.01430473116232132
Log_av45,0.01691350806820612
Log_ap90,0.017841769070127994
Men,0.019845753465093447
Men_fmp,0.021216553379572768
Ind_6_10,0.022073973827173465
Ind,0.022444316391465546
Ind_40_54,0.028406412894557316
Ind_0_3,0.0411823629487353
Men_1ind,0.054073354453754496
Ind_65_79,0.0670326463839491
Men_surf,0.09216685363338004
Log_45_70,0.10034391258686551
Men_pauv,0.10511177446946451
Log_70_90,0.11823919382771668
Men_coll,0.1909447413843968
Ind_55_64,0.23274829598434493
Men_prop,3.4113106063853555
