feature,shap_importance
Rayonnements ionisants (kBq U-235 eq/kg de produit),0.14258775622868827
Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),0.06952088524617407
Livraison,0.04716058921780875
LCI Name_fortified,0.02952625578826986
Épuisement des ressources eau (m3 depriv./kg de produit),0.014523613144218631
Sous-groupe d'aliment,0.006164384769320076
LCI Name_dry,0.0
LCI Name_drink,0.0
LCI Name_dried,0.0
LCI Name_drained,0.0
Groupe d'aliment,0.0
LCI Name_egg,0.0
LCI Name_dehydrated,0.0
LCI Name_dairy,0.0
LCI Name_crepe,0.0
LCI Name_cream,0.0
LCI Name_cow,0.0
LCI Name_dessert,0.0
LCI Name_filled,0.0
LCI Name_elements,0.0
LCI Name_fat,0.0
LCI Name_cookie,0.0
LCI Name_fish,0.0
LCI Name_flavoured,0.0
LCI Name_french,0.0
LCI Name_fresh,0.0
LCI Name_fried,0.0
LCI Name_frozen,0.0
LCI Name_fruit,0.0
LCI Name_fruits,0.0
LCI Name_corn,0.0
LCI Name_chicken,0.0
LCI Name_cooked,0.0
LCI Name_chocolate,0.0
Nom du Produit en Français_type,0.0
Nom du Produit en Français_veau,0.0
Nom du Produit en Français_viande,0.0
Nom du Produit en Français_vitamines,0.0
Nom du Produit en Français_yaourt,0.0
Nom du Produit en Français_égoutté,0.0
LCI Name_baby,0.0
LCI Name_baked,0.0
LCI Name_bar,0.0
LCI Name_bean,0.0
LCI Name_beef,0.0
LCI Name_biscuit,0.0
LCI Name_boiled,0.0
LCI Name_bottled,0.0
LCI Name_bread,0.0
LCI Name_breakfast,0.0
LCI Name_butter,0.0
LCI Name_cake,0.0
LCI Name_canned,0.0
LCI Name_cereals,0.0
LCI Name_cheese,0.0
LCI Name_chemical,0.0
LCI Name_green,0.0
LCI Name_goat,0.0
LCI Name_ice,0.0
LCI Name_grilled,0.0
LCI Name_sugar,0.0
LCI Name_salmon,0.0
LCI Name_sandwich,0.0
LCI Name_sauce,0.0
LCI Name_sausage,0.0
LCI Name_skin,0.0
LCI Name_soft,0.0
LCI Name_soup,0.0
LCI Name_sparkling,0.0
LCI Name_steak,0.0
LCI Name_strongly,0.0
LCI Name_style,0.0
LCI Name_syrup,0.0
LCI Name_ham,0.0
LCI Name_tomato,0.0
LCI Name_type,0.0
LCI Name_unsalted,0.0
LCI Name_veal,0.0
LCI Name_vegetable,0.0
LCI Name_vegetables,0.0
LCI Name_vitamins,0.0
LCI Name_water,0.0
LCI Name_wheat,0.0
LCI Name_white,0.0
LCI Name_wine,0.0
LCI Name_roasted,0.0
LCI Name_rice,0.0
LCI Name_refrigerated,0.0
LCI Name_reduced,0.0
Nom du Produit en Français_thon,0.0
LCI Name_juice,0.0
LCI Name_lamb,0.0
LCI Name_light,0.0
LCI Name_lightly,0.0
LCI Name_meat,0.0
LCI Name_milk,0.0
LCI Name_mineral,0.0
