feature,shap_importance
Utilisation du sol (Pt/kg de produit),0.1869143694639206
Rayonnements ionisants (kBq U-235 eq/kg de produit),0.15348432958126068
Groupe d'aliment,0.10998713970184326
Eutrophisation terreste (mol N eq/kg de produit),0.10071786493062973
Épuisement des ressources eau (m3 depriv./kg de produit),0.09142927080392838
Changement climatique (kg CO2 eq/kg de produit),0.0906757339835167
Eutrophisation marine (E-03 kg N eq/kg de produit),0.09005267173051834
Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),0.08316868543624878
Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit),0.08283712714910507
Code CIQUAL,0.056718822568655014
Matériau d'emballage,0.05097093805670738
Livraison,0.04679019749164581
Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),0.04108847677707672
Eutrophisation eaux douces (E-03 kg P eq/kg de produit),0.03840244188904762
Score unique EF (mPt/kg de produit),0.03356429934501648
Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),0.03278845548629761
Épuisement des ressources énergétiques (MJ/kg de produit),0.017787199467420578
Sous-groupe d'aliment,0.01494260411709547
Particules (E-06 disease inc./kg de produit),0.014208664186298847
Nom du Produit en Français_ou,0.009410965256392956
Nom du Produit en Français_aux,0.008802760392427444
Acidification terrestre et eaux douces (mol H+ eq/kg de produit),0.008753038942813873
Nom du Produit en Français_crème,0.008043333888053894
Nom du Produit en Français_en,0.007166677620261908
Préparation,0.006810440681874752
Nom du Produit en Français_boisson,0.006152063608169556
Nom du Produit en Français_lait,0.005922968965023756
Nom du Produit en Français_jambon,0.005364115349948406
Nom du Produit en Français_cru,0.005290042143315077
Nom du Produit en Français_fourrée,0.005009696818888187
Nom du Produit en Français_mg,0.004976329859346151
Nom du Produit en Français_boeuf,0.004959622398018837
Nom du Produit en Français_sirop,0.004717760719358921
Nom du Produit en Français_minéraux,0.004617777187377214
Nom du Produit en Français_spécialité,0.0037651970051229
Nom du Produit en Français_au,0.003629574552178383
Nom du Produit en Français_et,0.003393282415345311
Nom du Produit en Français_viande,0.003287859261035919
Nom du Produit en Français_pomme,0.003265853738412261
Saisonnalité,0.0032392365392297506
Nom du Produit en Français_poisson,0.003036412876099348
Nom du Produit en Français_frais,0.003016771748661995
Nom du Produit en Français_préemballée,0.0030067944899201393
Nom du Produit en Français_pain,0.0028460873290896416
Nom du Produit en Français_beurre,0.0027903139125555754
Nom du Produit en Français_fruits,0.002747851889580488
Nom du Produit en Français_surgelée,0.002627091947942972
Nom du Produit en Français_la,0.0024793227203190327
Nom du Produit en Français_légumes,0.0024629773106426
Nom du Produit en Français_pizza,0.0024607947561889887
Nom du Produit en Français_salade,0.002435846719890833
Nom du Produit en Français_pâtes,0.0024176775477826595
Nom du Produit en Français_pulpe,0.0023764194920659065
Nom du Produit en Français_grillée,0.0023125656880438328
Nom du Produit en Français_soupe,0.002272028708830476
Nom du Produit en Français_poudre,0.002122498583048582
Nom du Produit en Français_appertisé,0.0020729133393615484
Nom du Produit en Français_poulet,0.0019273670623078942
Nom du Produit en Français_base,0.0018558620940893888
Nom du Produit en Français_sauce,0.0018118388252332807
Nom du Produit en Français_porc,0.0018031354993581772
Nom du Produit en Français_pâte,0.001726961345411837
Nom du Produit en Français_sec,0.0016033346764743328
Nom du Produit en Français_dessert,0.0015923965256661177
Nom du Produit en Français_pois,0.0015716289635747671
Nom du Produit en Français_céréales,0.0015313128242269158
Nom du Produit en Français_non,0.0014976037200540304
Nom du Produit en Français_blanc,0.0014883328694850206
Nom du Produit en Français_type,0.0014337942702695727
Nom du Produit en Français_rayon,0.0013583601685240865
Nom du Produit en Français_grasse,0.0012278349604457617
Nom du Produit en Français_fromage,0.001191663439385593
Nom du Produit en Français_cuite,0.0011621813755482435
Nom du Produit en Français_sèche,0.0010775061091408134
Nom du Produit en Français_biscuit,0.0010620008688420057
Nom du Produit en Français_huile,0.0009864078601822257
Nom du Produit en Français_terre,0.0009655689937062562
Nom du Produit en Français_égoutté,0.0008844820549711585
Nom du Produit en Français_peau,0.000864020548760891
Nom du Produit en Français_yaourt,0.000795546977315098
Nom du Produit en Français_préemballé,0.0007574115297757089
Nom du Produit en Français_eau,0.0007119951187632978
Nom du Produit en Français_chou,0.0007031868444755673
Nom du Produit en Français_riz,0.00064565654611215
Nom du Produit en Français_sans,0.0006351086776703596
Nom du Produit en Français_agneau,0.0005677783628925681
Nom du Produit en Français_crue,0.0005639152368530631
Nom du Produit en Français_surgelé,0.0005184563342481852
Nom du Produit en Français_tomate,0.0004821060865651816
Nom du Produit en Français_maïs,0.0004612460033968091
Nom du Produit en Français_sucrée,0.00040867453208193183
Nom du Produit en Français_nature,0.0003132757847197354
Nom du Produit en Français_avec,0.00027462877915240824
Nom du Produit en Français_pour,0.0002621178573463112
Code AGB_28002,0.0002568218915257603
Nom du Produit en Français_chocolat,0.0002098737604683265
Nom du Produit en Français_pur,0.0001929991558426991
Nom du Produit en Français_cuit,0.0001589116291143
Nom du Produit en Français_petit,0.00015771987091284245
Code AGB_28476,0.00014188673230819404
Nom du Produit en Français_environ,0.00013726649922318757
Nom du Produit en Français_déshydratée,0.00011157167318742722
Nom du Produit en Français_chèvre,0.0001088441931642592
Code AGB_28801,0.0001033880325849168
Nom du Produit en Français_jus,8.551567589165643e-05
Code AGB_28504,8.246341167250648e-05
Code AGB_30110,7.372799882432446e-05
Code AGB_30011,7.13033732608892e-05
Nom du Produit en Français_sucré,7.013891445240006e-05
Code AGB_28720,5.041389158577658e-05
Nom du Produit en Français_gazeuse,4.723975507658906e-05
Nom du Produit en Français_filet,3.7347188481362537e-05
Nom du Produit en Français_demi,3.605460369726643e-05
Code AGB_28800,2.9852582883904688e-05
Code AGB_28003,2.504680560377892e-05
Code AGB_27029,1.6710913769202307e-05
Code AGB_32018,1.4487432054011151e-05
Code AGB_27009,1.3592313734989148e-05
Code AGB_32013,8.444270861218683e-06
Code AGB_26206,3.954553449148079e-06
Code AGB_26231,2.0051838873769157e-06
Code AGB_27006,1.551753825879132e-06
Code AGB_26236,0.0
Code AGB_26194,0.0
Nom du Produit en Français_moyennement,0.0
Code AGB_26265,0.0
Code AGB_26186,0.0
Code AGB_26177,0.0
Nom du Produit en Français_minéralisée,0.0
Nom du Produit en Français_minérale,0.0
Code AGB_26173,0.0
Code AGB_26266,0.0
Nom du Produit en Français_thon,0.0
Code AGB_10001,0.0
Nom du Produit en Français_matière,0.0
Code AGB_26267,0.0
Code AGB_26268,0.0
Code AGB_26270,0.0
Nom du Produit en Français_veau,0.0
Transport par avion (1 : par avion),0.0
Nom du Produit en Français_vitamines,0.0
Nom du Produit en Français_st,0.0
Code AGB_26201,0.0
Code AGB_26235,0.0
Code AGB_26274,0.0
