feature,mean_importance
Nom du Produit en Français_beurre,-0.0025443757778770616
Nom du Produit en Français_pizza,-0.002261028583786884
LCI Name_fish,-0.00198844624108484
LCI Name_bread,-0.0017199184076033603
LCI Name_white,-0.0011282556134034837
Nom du Produit en Français_poisson,-0.0005452008340804393
Nom du Produit en Français_base,-0.0005093789806385973
Nom du Produit en Français_ou,-0.00039496993983414443
LCI Name_sugar,-0.000340302450856822
Nom du Produit en Français_fourrée,-0.00033866759914384924
LCI Name_syrup,-0.00030099143367477986
Nom du Produit en Français_viande,-0.0002852203384148155
Matériau d'emballage_Papier,-0.0002663423008064214
Nom du Produit en Français_pulpe,-0.0002528179212372583
Nom du Produit en Français_sirop,-0.0002499939480252622
Nom du Produit en Français_non,-0.00024003740120576156
Nom du Produit en Français_soupe,-0.000224644502438065
Nom du Produit en Français_avec,-0.00022086175563562627
LCI Name_light,-0.00021917477186627065
Groupe d'aliment_produits sucrés,-0.00017078842854644226
LCI Name_cream,-0.00015722061775160778
Groupe d'aliment_lait et produits laitiers,-0.00011647744224018153
Nom du Produit en Français_la,-0.00010623828078083486
LCI Name_fruit,-9.979242963146229e-05
LCI Name_meat,-9.825202044930759e-05
Nom du Produit en Français_nature,-9.654618277687987e-05
Nom du Produit en Français_pâte,-8.422260516391944e-05
LCI Name_dairy,-8.151535665906762e-05
Préparation_Micro onde ,-7.039981076235602e-05
LCI Name_cow,-5.7727756423198165e-05
LCI Name_pastry,-4.160763249256849e-05
LCI Name_boiled,-4.0451704748400984e-05
Matériau d'emballage_PP,-3.724315936175504e-05
Nom du Produit en Français_pois,-3.0807873397808996e-05
Nom du Produit en Français_crue,-2.4995050565190802e-05
Nom du Produit en Français_maïs,-2.3914382385747945e-05
Nom du Produit en Français_gazeuse,-2.2041370318226504e-05
LCI Name_bean,-1.9935189515707386e-05
LCI Name_juice,-1.556004219362972e-05
LCI Name_ice,-1.4509582531907483e-05
LCI Name_prepacked,-1.2941752585204913e-05
Nom du Produit en Français_blanc,-1.2857723099746199e-05
LCI Name_pork,-1.0483602593858165e-05
LCI Name_vegetable,-9.064541341141652e-06
LCI Name_baked,-8.705412020115766e-06
Nom du Produit en Français_grillée,-7.3789279287139745e-06
Nom du Produit en Français_jus,-5.943573583078177e-06
LCI Name_cookie,-2.5916901798206383e-06
LCI Name_soup,-2.5286337055452355e-06
LCI Name_tomato,-2.34786785809904e-06
Nom du Produit en Français_poulet,-1.5348977037143995e-07
Nom du Produit en Français_surgelé,-2.2461094373316115e-08
LCI Name_goat,0.0
Nom du Produit en Français_yaourt,0.0
LCI Name_baby,0.0
Nom du Produit en Français_vitamines,0.0
LCI Name_dehydrated,0.0
LCI Name_french,0.0
Préparation_Poêle,0.0
LCI Name_fried,0.0
LCI Name_corn,0.0
LCI Name_flavoured,0.0
LCI Name_crepe,0.0
LCI Name_elements,0.0
LCI Name_dry,0.0
LCI Name_dessert,0.0
LCI Name_bottled,0.0
LCI Name_green,0.0
LCI Name_chemical,0.0
LCI Name_lamb,0.0
LCI Name_water,0.0
LCI Name_yogurt,0.0
Groupe d'aliment_aliments infantiles,0.0
Groupe d'aliment_boissons,0.0
Saisonnalité_de saison,0.0
Saisonnalité_hors saison,0.0
Matériau d'emballage_Aluminium,0.0
LCI Name_vitamins,0.0
Matériau d'emballage_Déjà emballé - LDPE,0.0
Matériau d'emballage_Déjà emballé - PP/PE,0.0
Matériau d'emballage_Déjà emballé - Verre,0.0
Matériau d'emballage_HPDE,0.0
Matériau d'emballage_PVC,0.0
Préparation_Four,0.0
Préparation_Friture,0.0
Préparation_Micro onde,0.0
Matériau d'emballage_Déjà emballé - PET,0.0
LCI Name_veal,0.0
LCI Name_type,0.0
LCI Name_style,0.0
LCI Name_lightly,0.0
LCI Name_mineral,0.0
LCI Name_mineralized,0.0
Nom du Produit en Français_tomate,0.0
LCI Name_pan,0.0
LCI Name_pasta,0.0
LCI Name_pizza,0.0
LCI Name_plain,0.0
LCI Name_powder,0.0
LCI Name_pulp,0.0
LCI Name_red,0.0
LCI Name_rice,0.0
LCI Name_sausage,0.0
LCI Name_skin,0.0
LCI Name_sparkling,0.0
LCI Name_steak,0.0
LCI Name_strongly,0.0
