feature,shap_importance
Utilisation du sol (Pt/kg de produit),0.16021870076656342
Rayonnements ionisants (kBq U-235 eq/kg de produit),0.13006046414375305
Épuisement des ressources eau (m3 depriv./kg de produit),0.08658821880817413
Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit),0.08565948903560638
Eutrophisation marine (E-03 kg N eq/kg de produit),0.07392409443855286
Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),0.06771831214427948
Groupe d'aliment_entrées et plats composés,0.053978655487298965
LCI Name_cheese,0.05372467637062073
Changement climatique (kg CO2 eq/kg de produit),0.05349722504615784
Livraison_Ambiant (long),0.046567078679800034
Eutrophisation terreste (mol N eq/kg de produit),0.03459858521819115
Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),0.034507088363170624
Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),0.03398359566926956
Groupe d'aliment_produits céréaliers,0.030820488929748535
Eutrophisation eaux douces (E-03 kg P eq/kg de produit),0.03071359172463417
Score unique EF (mPt/kg de produit),0.028404567390680313
Sous-groupe d'aliment,0.02787894383072853
"Groupe d'aliment_viandes, œufs, poissons",0.023465745151042938
Livraison_Ambiant (court),0.019269833341240883
Préparation_Four ,0.017871011048555374
Matériau d'emballage_PS,0.01754598692059517
"Groupe d'aliment_fruits, légumes, légumineuses et oléagineux",0.01714104413986206
Particules (E-06 disease inc./kg de produit),0.017047449946403503
LCI Name_beef,0.015331956557929516
LCI Name_raw,0.013704816810786724
Livraison_Ambiant (moyenne),0.01345887966454029
LCI Name_cooked,0.01292123831808567
Matériau d'emballage_Acier,0.011717665940523148
Groupe d'aliment_glaces et sorbets,0.011682498268783092
Matériau d'emballage_V (PVC),0.011537495069205761
Matériau d'emballage_PP,0.010758563876152039
Épuisement des ressources énergétiques (MJ/kg de produit),0.010492227040231228
Nom du Produit en Français_et,0.009857608005404472
Matériau d'emballage_Pas d'emballage,0.009361974895000458
LCI Name_milk,0.007662973832339048
LCI Name_fortified,0.007642190903425217
Nom du Produit en Français_aux,0.0072777182795107365
Matériau d'emballage_LPDE,0.0070966132916510105
Acidification terrestre et eaux douces (mol H+ eq/kg de produit),0.006875837687402964
Nom du Produit en Français_crème,0.006699563004076481
Nom du Produit en Français_frais,0.005918795242905617
Préparation_Pas de préparation ,0.005886027589440346
Nom du Produit en Français_boisson,0.005813239607959986
LCI Name_cookie,0.005388691555708647
Nom du Produit en Français_ou,0.005309070460498333
LCI Name_dried,0.0052114250138401985
Nom du Produit en Français_préemballée,0.005017902236431837
LCI Name_sugar,0.004901066422462463
Nom du Produit en Français_lait,0.004258451517671347
Nom du Produit en Français_salade,0.004231913480907679
Livraison_Glacé,0.0038974613416939974
Nom du Produit en Français_cru,0.003838145174086094
Nom du Produit en Français_crue,0.0038348794914782047
LCI Name_white,0.003825495019555092
LCI Name_bar,0.003656265325844288
Nom du Produit en Français_jambon,0.0036391508765518665
LCI Name_fish,0.0033969799987971783
LCI Name_breakfast,0.003373736748471856
LCI Name_prepacked,0.0032641440629959106
Nom du Produit en Français_rayon,0.0029918262735009193
LCI Name_fat,0.0029784110374748707
Nom du Produit en Français_terre,0.0029467514250427485
LCI Name_pure,0.002938497345894575
Nom du Produit en Français_fruits,0.002865958260372281
LCI Name_grilled,0.0028628220316022635
Nom du Produit en Français_en,0.0028105671517550945
LCI Name_biscuit,0.0027805049903690815
LCI Name_bread,0.002766663208603859
Nom du Produit en Français_surgelée,0.0027168262749910355
Préparation_Pas de préparation,0.0026614663656800985
LCI Name_butter,0.0025593400932848454
LCI Name_fruits,0.0025495642330497503
Nom du Produit en Français_spécialité,0.002450348576530814
Nom du Produit en Français_fromage,0.002359895734116435
Saisonnalité_mix de consommation FR,0.002295750193297863
LCI Name_chocolate,0.002294860314577818
Nom du Produit en Français_fourrée,0.0022817414719611406
Nom du Produit en Français_base,0.0022272851783782244
Nom du Produit en Français_riz,0.002200966700911522
Nom du Produit en Français_au,0.0021646092645823956
Nom du Produit en Français_pois,0.002159010386094451
LCI Name_syrup,0.0021120086312294006
Nom du Produit en Français_légumes,0.0020964464638382196
Nom du Produit en Français_pomme,0.002069218084216118
Matériau d'emballage_Carton,0.0019788872450590134
Nom du Produit en Français_poudre,0.0019763109739869833
Matériau d'emballage_Verre,0.0019282507710158825
Groupe d'aliment_aides culinaires et ingrédients divers,0.0018678336637094617
Nom du Produit en Français_beurre,0.001867425162345171
LCI Name_light,0.0018658337648957968
LCI Name_cake,0.0018233598675578833
Nom du Produit en Français_soupe,0.0017236118437722325
