feature,mean_importance
Nom du Produit en Français_huile,-0.00039770221726701525
Nom du Produit en Français_ou,-0.0002497434374129748
Nom du Produit en Français_sirop,-0.00010362902767682147
Nom du Produit en Français_salade,-4.708257472918475e-06
Code AGB_31084,0.0
Nom du Produit en Français_blé,0.0
Nom du Produit en Français_boisson,0.0
Nom du Produit en Français_chou,0.0
Nom du Produit en Français_chèvre,0.0
Nom du Produit en Français_cru,0.0
Nom du Produit en Français_crue,0.0
Nom du Produit en Français_crème,0.0
Nom du Produit en Français_cuite,0.0
Nom du Produit en Français_céréales,0.0
Nom du Produit en Français_demi,0.0
Nom du Produit en Français_dessert,0.0
Nom du Produit en Français_déjeuner,0.0
Nom du Produit en Français_déshydratée,0.0
Nom du Produit en Français_eau,0.0
Nom du Produit en Français_embouteillée,0.0
Nom du Produit en Français_en,0.0
Nom du Produit en Français_environ,0.0
Nom du Produit en Français_faiblement,0.0
Nom du Produit en Français_filet,0.0
Nom du Produit en Français_fortement,0.0
Nom du Produit en Français_blanc,0.0
Nom du Produit en Français_biscuit,0.0
Nom du Produit en Français_beurre,0.0
Nom du Produit en Français_base,0.0
Code AGB_30005,0.0
Code AGB_30011,0.0
Code AGB_30051,0.0
Code AGB_30104,0.0
Code AGB_30110,0.0
Code AGB_30150,0.0
Nom du Produit en Français_yaourt,0.0
Code AGB_31091,0.0
Code AGB_31098,0.0
Code AGB_31099,0.0
Nom du Produit en Français_fourrée,0.0
Code AGB_31102,0.0
Code AGB_32000,0.0
Code AGB_32008,0.0
Code AGB_32011,0.0
Code AGB_32013,0.0
Code AGB_32017,0.0
Code AGB_32018,0.0
Nom du Produit en Français_agneau,0.0
Nom du Produit en Français_appertisé,0.0
Nom du Produit en Français_aux,0.0
Nom du Produit en Français_avec,0.0
Code AGB_31113,0.0
Nom du Produit en Français_frais,0.0
Nom du Produit en Français_fruits,0.0
Code AGB_3000,0.0
Nom du Produit en Français_pur,0.0
Nom du Produit en Français_pâte,0.0
Nom du Produit en Français_riz,0.0
Nom du Produit en Français_rôti,0.0
Nom du Produit en Français_rôtie,0.0
Nom du Produit en Français_sans,0.0
Nom du Produit en Français_sauce,0.0
Nom du Produit en Français_sec,0.0
Nom du Produit en Français_soupe,0.0
Nom du Produit en Français_spécialité,0.0
Nom du Produit en Français_st,0.0
Nom du Produit en Français_sucré,0.0
Nom du Produit en Français_sucrée,0.0
Nom du Produit en Français_surgelé,0.0
Nom du Produit en Français_surgelée,0.0
Nom du Produit en Français_sèche,0.0
Nom du Produit en Français_terre,0.0
Nom du Produit en Français_thon,0.0
Nom du Produit en Français_tomate,0.0
Nom du Produit en Français_veau,0.0
Nom du Produit en Français_vitamines,0.0
Nom du Produit en Français_pulpe,0.0
