feature,shap_importance
count_controls_activite,1.4271407516950323
score_controls_filtre,1.2144331360372964
score_controls_dept,0.8789435500284388
count_controls_dept,0.8020291920416871
score_controls_activite,0.771556904567803
has_agrement,0.5045430165449467
count_controls_wday,0.4731218650217753
month,0.461158121658221
year,0.35049788402602977
filtre,0.2942257996217874
count_controls_filtre,0.21258408450850624
weekday,0.17753347920242904
dept,0.13470350368901807
score_controls_wday,0.07989830607304688
latitude,0.07584034498128503
longitude,0.05198355418221266
