feature,mean_importance
weekday,-0.0012334701800646552
score_controls_wday,0.0004067965422166253
count_controls_wday,0.001459682136856788
count_controls_activite,0.0031662134410897825
count_controls_filtre,0.003305958262384334
dept,0.0050742224678782975
filtre,0.005081971610218017
has_agrement,0.008516888690906188
count_controls_dept,0.010811600445465253
year,0.012733475058930854
score_controls_activite,0.016651664378782804
latitude,0.021550641043931607
month,0.02189653618816354
longitude,0.024738945739405115
score_controls_filtre,0.05914244578964385
score_controls_dept,0.10477920026621497
