feature,shap_importance
score_controls_dept,1.5218380689620972
score_controls_filtre,0.9949139952659607
latitude,0.6249672770500183
longitude,0.6021125316619873
month,0.575964629650116
dept,0.3974659740924835
score_controls_activite,0.3727736473083496
count_controls_dept,0.29552844166755676
count_controls_filtre,0.2415151447057724
weekday,0.2318895012140274
count_controls_wday,0.2312953919172287
has_agrement,0.17732074856758118
filtre,0.15343952178955078
score_controls_wday,0.1412021815776825
year,0.1401255577802658
count_controls_activite,0.1330062448978424
