feature,mean_importance
reglement_interieur_16,-0.0035436650423728787
Titre_le,-0.003168528656138636
accessibilite,-0.0017340474478162783
Titre_t2,-0.0015254346880095304
reglement_interieur_doit,-0.00139311274343048
Titre_bdx,-0.0011434139522356278
Titre_euro,-0.0010572035999263484
Ascenseur,-0.001053250436716613
reglement_interieur_voisinage,-0.0009275938751574398
Titre_cœur,-0.0008146785116178057
reglement_interieur_personnes,-0.0007897526182034431
reglement_interieur_votre,-0.0007718167876407777
Titre_en,-0.000722915865387086
parking_sur-place,-0.0006980130770961712
Titre_t4,-0.0006965750667573989
reglement_interieur_logement,-0.0006929680618474543
Titre_rénové,-0.0006922024015559968
Titre_double,-0.0006565620161897545
Titre_apt,-0.0006526566940043832
seche_cheveux,-0.0006403666911869666
reglement_interieur_je,-0.0006164590002701975
Titre_flat,-0.0005989345441236194
extincteur,-0.0005945127875129575
reglement_interieur_bien,-0.000576974590517998
reglement_interieur_cas,-0.0005159634829302151
reglement_interieur_qu,-0.0005132249954209134
Titre_m2,-0.0005021149018007654
Titre_saint,-0.0004914867209477314
Titre_pour,-0.0004662824702082125
Titre_lumineux,-0.0004545638142801067
Titre_hyper,-0.00045404256992419566
Portier,-0.0004410520098412918
Titre_bordelais,-0.0003926671317145636
Titre_capucins,-0.00035169038242833796
reglement_interieur_faire,-0.00035148504770220467
reglement_interieur_sur,-0.0003478810706938451
Titre_sur,-0.0003457246153998117
reglement_interieur_respecter,-0.00034304277939237735
Titre_belle,-0.0003417139283692361
Titre_vue,-0.00032754584563545743
adapte_evenements,-0.0003102414643446516
reglement_interieur_respect,-0.0003086953145566396
Titre_grande,-0.00030058370980160507
Titre_quartier,-0.0002894207179058417
Titre_michel,-0.00028314508222864186
reglement_interieur_qui,-0.0002736561282187022
Titre_centre,-0.00024290003300622142
reglement_interieur_propreté,-0.00023437455537229647
reglement_interieur_des,-0.0002181508535116894
NombreSdB,-0.00021217473194247162
Titre_bordelaise,-0.00020534976150137217
reglement_interieur_départ,-0.00019897126205697946
wifi,-0.00019420387420083786
reglement_interieur_et,-0.00019292396807060185
Titre_les,-0.00019123314223661313
Titre_gare,-0.0001846643312582219
reglement_interieur_est,-0.00017885105204507035
Titre_agréable,-0.00017160383179841697
reglement_interieur_donc,-0.00016667968783984355
Titre_grand,-0.0001571615736437937
Interphone,-0.00015305073460043507
reglement_interieur_ou,-0.0001309461611415874
Titre_coeur,-0.00012239910874348726
Titre_chez,-0.00011409974312855952
Titre_jolie,-0.00011258372866297383
reglement_interieur_pour,-0.00010427890955321262
Titre_place,-0.00010318637545394526
Entree_24-24,-0.00010213564378812601
porte_chambre_verrou,-9.824098983073349e-05
Titre_piscine,-9.801616898986731e-05
Longitude,-9.679359615332173e-05
reglement_interieur_12,-8.898717461284234e-05
reglement_interieur_les,-8.658313007748885e-05
Titre_et,-8.37827335727126e-05
reglement_interieur_une,-7.86978254425419e-05
Titre_quais,-7.449848720066931e-05
NbLits,-6.693958712208347e-05
Titre_jean,-6.462563477391826e-05
Titre_spacieux,-6.321741234671663e-05
reglement_interieur_dans,-5.3564989792120875e-05
reglement_interieur_que,-4.350730703284178e-05
Titre_hypercentre,-4.263251275207214e-05
Animal_sur_place,-3.4977382691459e-05
reglement_interieur_au,-3.414384748217092e-05
Titre_superbe,-2.3254293957353235e-05
reglement_interieur_location,-2.0745020430412708e-05
Titre_pièces,-1.316772349360118e-05
Titre_plein,-1.1023612965710417e-05
Titre_t1,-9.733168742487309e-06
reglement_interieur_en,-9.466299887306296e-06
reglement_interieur_possible,-2.2306002233296597e-06
Titre_gambetta,-1.947229676979578e-06
Titre_rue,0.0
Titre_historique,1.1328816407751852e-06
reglement_interieur_propre,1.3995194592109073e-06
reglement_interieur_même,5.065186887209805e-06
reglement_interieur_ils,7.418308134765628e-06
Titre_terrasse,1.4291733929727713e-05
reglement_interieur_apartment,1.4601048659790283e-05
Titre_appart,1.4927324714952839e-05
reglement_interieur_bordeaux,1.581414607173537e-05
Titre_neuf,1.6180094688733604e-05
pourEnfants_famille,1.7809765974396986e-05
Titre_beau,2.0020860858505074e-05
Titre_charmante,4.8008454286019296e-05
reglement_interieur_la,5.522105345744377e-05
reglement_interieur_locataire,5.7943211482980316e-05
Titre_t3,6.190413509490344e-05
Titre_ville,6.643370828545159e-05
reglement_interieur_appartement,8.066255127400223e-05
reglement_interieur_état,8.754411537601481e-05
Titre_situé,9.000615829403147e-05
Titre_parking,9.06538634978804e-05
reglement_interieur_du,9.819774642543244e-05
fiche_securite,0.0001038684970379955
reglement_interieur_heure,0.00011746544855253393
reglement_interieur_entrée,0.0001321961257099269
reglement_interieur_acceptés,0.00013245249526389058
Titre_des,0.0001387200035861791
reglement_interieur_nos,0.000144894285889996
reglement_interieur_avant,0.00015684823122148473
Titre_charme,0.00016095872709629422
Titre_public,0.0001612494105586837
reglement_interieur_il,0.00016217947404331134
Internet,0.00017540336684114256
Titre_bis,0.00017824180812276992
reglement_interieur_maison,0.00018159214644858368
fer_repasser,0.00018746941109799576
Titre_tout,0.00019399721471531351
Titre_la,0.00021898307025309817
conditions_annulation,0.00021926192124969158
reglement_interieur_par,0.000236633654061702
Titre_chartrons,0.00023848392813636822
Titre_très,0.00024484692579932463
reglement_interieur_00,0.00025585504101411917
reglement_interieur_fumeurs,0.0002620250393007062
reglement_interieur_30,0.00027791058162767167
reglement_interieur_sera,0.00028159808185700407
reglement_interieur_sont,0.000318943398134397
produits_base,0.0003355487413721492
reglement_interieur_mais,0.0003426909647480936
Titre_triangle,0.00034684114059504447
Titre_une,0.00036056949394245306
reglement_interieur_non,0.0003668976460134088
reglement_interieur_20,0.00038580052471367534
Titre_st,0.00042865323447706106
reglement_interieur_si,0.0004388065726214863
reglement_interieur_merci,0.00044851958807644586
reglement_interieur_17,0.0004724314779128158
Titre_pierre,0.00047847885431062664
Titre_duplex,0.0004909764239929171
Titre_balcon,0.0004973560977189929
reglement_interieur_disposition,0.0005086498129485362
reglement_interieur_être,0.0005110705452180508
reglement_interieur_ce,0.0005178305936813455
reglement_interieur_supplément,0.0005488556251109667
reglement_interieur_vous,0.0005703156770778484
reglement_interieur_se,0.000583380776882414
reglement_interieur_immeuble,0.0005867693279298259
Titre_salle,0.0005968914694906124
reglement_interieur_lieux,0.000597489728944467
reglement_interieur_fumeur,0.0006049969433472135
reglement_interieur_arrivée,0.0006240506824205294
Titre_confort,0.0006309110069886881
reglement_interieur_possibilité,0.0006518565588517933
reglement_interieur_ménage,0.0007204087919180036
Cintres,0.000725770415272875
reglement_interieur_notre,0.0007281669258127011
reglement_interieur_nombre,0.0007385476569785942
Titre_bel,0.000790029288098637
reglement_interieur_fumer,0.0008037073639741487
Titre_jardin,0.0008229221907929629
Titre_chambres,0.0008526234870587568
reglement_interieur_avec,0.0008638570029576575
Titre_privée,0.0009038570700743764
Titre_charmant,0.0009504250441524587
reglement_interieur_demande,0.0009654839305374141
Titre_appt,0.0010123474938923183
reglement_interieur_plus,0.0010258068204545001
monoxyde_carbone_detect,0.0011003724989532393
Chauffage,0.0011105426237011274
rection_semaine,0.0011887098822816245
reglement_interieur_pourra,0.001197044177503903
reglement_interieur_le,0.0012406208181988897
Titre_cosy,0.0012475070228195162
Titre_avec,0.001262032877099295
reglement_interieur_autrement,0.0013002790277226507
reglement_interieur_séjour,0.0013026744848805062
Titre_center,0.0013040167134508618
logement_fumeur,0.0013191810909963352
Titre_aux,0.0015156511408870865
salle_sport,0.001575442531623772
Titre_petit,0.0016015635135362527
Titre_appartement,0.0016522039396424271
petit_dejeuner,0.001702198581463954
detecteur_fumee,0.0017131441026595029
machine_laver,0.0017339706943460763
kit_secours,0.001792427999445101
Titre_bordeaux,0.0018241853263524343
Titre_joli,0.001919221450016917
type_lit,0.002067261791122066
Titre_calme,0.0021073309360066794
Titre_dans,0.002225573269289438
reglement_interieur_nous,0.002323097055061685
Titre_room,0.0023444907170049436
reglement_interieur_soirée,0.0024363612757694495
reglement_interieur_15,0.0025132702550264563
Piscine,0.002582123786790358
Jacuzzi,0.0025841630635257684
Titre_au,0.0026033183569732278
Titre_victoire,0.002636036384313234
television_cable,0.002645709550300068
reglement_interieur_ne,0.0028108683201119146
cheminee_interieur,0.0030036448268300877
reglement_interieur_fait,0.0030377769826612777
Titre_2016,0.0031033112272282224
espace_travail_ordi,0.00317646118086492
Titre_loft,0.0032051363993124914
reglement_interieur_après,0.0034177453850699814
Titre_chambre,0.003861372410074104
reduction_mois,0.004060021821772142
Titre_échoppe,0.00410106463789559
reglement_interieur_retard,0.004192831676182296
frais_menage,0.004330151143568828
Latitude,0.004823282299396836
reglement_interieur_ans,0.004835598456768631
seche_linge,0.004861754495184644
Titre_studio,0.004995528288862872
reglement_interieur_pas,0.005044726803181787
reglement_interieur_14,0.005274710242172087
Titre_du,0.005434364939905456
animaux_acceptes,0.005551205107391899
Climatisation,0.005818006202856852
Titre_proche,0.006011921967195943
Cuisine,0.006506053922615019
Titre_echoppe,0.006721128496272122
reglement_interieur_animaux,0.006913681217094625
reglement_interieur_bébés,0.008450451379192769
reglement_interieur_fête,0.008725872339723018
Titre_maison,0.009869752794009567
television,0.011220782722479828
surcout_voyageur_supp,0.011233058602642898
reglement_interieur_enfants,0.012755286606864591
type_propriete,0.014392882660979479
reglement_interieur_aux,0.018809207790023742
duree_minimale_sejour,0.019177426910638295
reglement_interieur_ni,0.03589795480506038
Caution,0.038358809203805924
reglement_interieur_convient,0.06182181641174759
NbChambres,0.08630996141909046
Capacite_accueil,0.09327619919687424
Type_logement,0.13504863388212818
