feature,mean_importance
reglement_interieur_fait,-0.00211226315392129
Cintres,-0.002012605160625014
Titre_bel,-0.0019435811447649832
Titre_bordeaux,-0.0015969369643206166
Titre_echoppe,-0.0010128544414238715
produits_base,-0.0008563884663398636
seche_cheveux,-0.0008541082332931937
Titre_bordelaise,-0.0008159801317370819
adapte_evenements,-0.00073651905341795
reglement_interieur_appartement,-0.0007210954782173373
reglement_interieur_plus,-0.0007114696511821616
reglement_interieur_animaux,-0.0007101008787479213
reglement_interieur_fumeur,-0.0006988113461902312
reglement_interieur_12,-0.000697241455213371
reglement_interieur_et,-0.0004981505910652718
Titre_chartrons,-0.00047001951513575557
Entree_24-24,-0.0004454492974890756
extincteur,-0.0004411306624596434
reglement_interieur_enfants,-0.0004292406299839069
Titre_m2,-0.00039769462239139795
Titre_salle,-0.0003637874168476163
reglement_interieur_pour,-0.00030965538268643564
reglement_interieur_il,-0.00030583666218531036
reglement_interieur_avec,-0.00027353688966530454
Titre_t2,-0.00025981941460990755
Titre_et,-0.0002432397453936086
Titre_cœur,-0.00023547009589492963
Chauffage,-0.00023049210646781672
reglement_interieur_bébés,-0.0002259518006402006
reglement_interieur_est,-0.00020607438795586797
Titre_hypercentre,-0.00020508666049838807
reglement_interieur_être,-0.00017646272900579963
Titre_flat,-0.0001738694904434124
Titre_charmante,-0.000165742519702472
Titre_t1,-0.00016252991573909581
Titre_charme,-0.0001599738778088944
fiche_securite,-0.00014622432100005466
reglement_interieur_ne,-0.00013667415648754844
reglement_interieur_fête,-0.00013529056937369165
Titre_t4,-0.00012565385052968337
Titre_en,-0.00010511980676116694
Titre_au,-9.268986375737809e-05
Titre_calme,-9.183992451795575e-05
reglement_interieur_16,-8.794596110591745e-05
reglement_interieur_en,-7.117817556550055e-05
reglement_interieur_30,-7.046965847792296e-05
Titre_charmant,-6.443174734556134e-05
Titre_parking,-6.170083101530999e-05
Titre_michel,-5.367085430992846e-05
reglement_interieur_ils,-5.171330466677837e-05
reglement_interieur_respect,-4.642023263535799e-05
Titre_triangle,-4.2423919784340126e-05
Titre_privée,-4.1473595827812294e-05
reglement_interieur_fumeurs,-4.046905747462359e-05
Titre_lumineux,-4.006473982682834e-05
Titre_hyper,-3.976630729382036e-05
reglement_interieur_je,-3.5437403475169216e-05
reglement_interieur_une,-3.2917437591295505e-05
Titre_centre,-3.240242586057818e-05
Titre_coeur,-3.222425459196154e-05
Titre_duplex,-3.210644712760002e-05
Titre_rénové,-3.121038624448458e-05
reglement_interieur_par,-2.9782017349444524e-05
Titre_avec,-2.5929751907050046e-05
reglement_interieur_doit,-2.3220123656852998e-05
Titre_gare,-2.207496687057775e-05
reglement_interieur_possible,-2.132897931126365e-05
reglement_interieur_15,-2.0416505168219246e-05
reglement_interieur_votre,-1.5346124006876404e-05
Titre_chambres,-1.4495408021197864e-05
Titre_sur,-1.4110004015122079e-05
Titre_pierre,-1.3254649470995084e-05
Titre_belle,-1.3129644504361604e-05
Titre_confortable,-1.216214771595503e-05
reglement_interieur_du,-1.0388041005848781e-05
reglement_interieur_si,-8.788657924285737e-06
Titre_confort,-5.028430023812369e-06
Titre_pièces,-3.6867101206206067e-06
reglement_interieur_arrivée,-7.657022317641982e-07
reglement_interieur_nombre,0.0
Titre_personnes,0.0
reglement_interieur_nos,0.0
reglement_interieur_locataire,0.0
Titre_piscine,0.0
reglement_interieur_même,0.0
Titre_quais,0.0
Titre_neuf,0.0
Titre_rue,0.0
reglement_interieur_avant,0.0
Titre_situé,0.0
reglement_interieur_bordeaux,0.0
Titre_superbe,0.0
reglement_interieur_remise,0.0
reglement_interieur_supplément,0.0
Titre_une,0.0
reglement_interieur_acceptés,0.0
Titre_les,0.0
reglement_interieur_cas,0.0
reglement_interieur_autrement,0.0
reglement_interieur_jours,0.0
Titre_spacieux,0.0
reglement_interieur_pourra,0.0
reglement_interieur_retard,0.0
Titre_appt,0.0
Titre_center,0.0
Titre_bdx,0.0
Titre_gambetta,0.0
Titre_bis,0.0
