feature,mean_importance
parking_sur-place,-0.001335589777255064
Titre_chartrons,-0.001166940381957604
reglement_interieur_ne,-0.000753397463614991
seche_cheveux,-0.000677551240344465
Titre_euro,-0.0006306456491899315
machine_laver,-0.0006115644734984605
Cintres,-0.0005995219675314467
reglement_interieur_sur,-0.0005931721789521171
reglement_interieur_lieux,-0.0005266781047791325
Titre_aux,-0.0004517473979278708
Titre_belle,-0.0004370080323297221
seche_linge,-0.0003907173889051707
reglement_interieur_en,-0.00039028213096488075
Animal_sur_place,-0.000316899857369024
reglement_interieur_respect,-0.0003101337576769447
Titre_proche,-0.0002961158666013208
reglement_interieur_aux,-0.0002865161631771418
Titre_charme,-0.0002805472821116761
reglement_interieur_fait,-0.00027375785229651897
Titre_grand,-0.0002718211250838598
Titre_jardin,-0.0002701319617601339
Titre_plein,-0.00026398860980366703
reglement_interieur_dans,-0.00026004530998091635
reglement_interieur_enfants,-0.0002546888658340629
reglement_interieur_du,-0.00022240936367580179
reglement_interieur_bébés,-0.0001747996960157816
reglement_interieur_séjour,-0.00016978772890771098
reglement_interieur_votre,-0.00016481426157313183
Titre_privée,-0.0001620953961239957
Titre_bis,-0.00016162625662419217
Titre_avec,-0.00015593233084649772
Titre_t1,-0.00015473136907059314
Titre_beau,-0.00015150865669254497
reglement_interieur_qu,-0.0001502898609553438
Interphone,-0.00014579798836606984
reglement_interieur_propreté,-0.00014286724842651476
Titre_au,-0.00013989544888816098
reglement_interieur_vous,-0.00013824325828089014
reglement_interieur_se,-0.00012154918849933693
reglement_interieur_20,-0.00011273044611550542
Titre_hypercentre,-0.00011145597219773818
Titre_t2,-0.00010442531060854688
reglement_interieur_soirée,-0.00010192142892304635
Ascenseur,-9.844232621165627e-05
reglement_interieur_immeuble,-9.108521628863331e-05
Titre_neuf,-8.941947376491787e-05
Titre_ville,-7.962636486547048e-05
Titre_ancien,-7.430517383023582e-05
reglement_interieur_logement,-7.416922021209471e-05
Jacuzzi,-7.143879053128632e-05
reglement_interieur_nous,-6.835763513082238e-05
Titre_quais,-6.20202916593371e-05
reglement_interieur_ni,-5.5881344708064165e-05
Titre_historique,-5.35415789373439e-05
reglement_interieur_par,-5.2431920927553664e-05
Titre_bordelais,-4.8608394177684924e-05
reglement_interieur_ce,-4.751382987420172e-05
reglement_interieur_avant,-4.726009784385976e-05
reglement_interieur_convient,-4.545728898115442e-05
reglement_interieur_faire,-3.6892707620261864e-05
Portier,-3.421789431968802e-05
adapte_evenements,-2.8783688200806345e-05
Titre_duplex,-2.647672695568204e-05
reglement_interieur_appartement,-2.332885829140485e-05
Titre_vue,-2.3005634505190997e-05
reglement_interieur_sont,-2.075835826206296e-05
Titre_bel,-1.9274973065297462e-05
Titre_en,-1.908076947494397e-05
Titre_et,-1.7539254891441036e-05
NbLits,-1.5105842691265359e-05
Titre_deux,-1.4126221825960795e-05
Titre_joli,-1.379296695847021e-05
reglement_interieur_pour,-1.3582333439998705e-05
Titre_grande,-1.272530725724419e-05
reglement_interieur_mais,-1.1143163200189043e-05
reglement_interieur_arrival,-1.0128823852761926e-05
Titre_tout,-8.029688201072194e-06
Titre_pièces,-6.8262405407248926e-06
Titre_quartier,-6.279477796067301e-06
reglement_interieur_fumeur,-3.634119655315793e-06
reglement_interieur_être,-1.305558780229088e-06
Titre_piscine,-3.102731950921367e-07
Titre_confortable,0.0
