feature,mean_importance
Titre_cœur,-0.0054969592445345715
animaux_acceptes,-0.004529767459540679
reglement_interieur_les,-0.0016133845554083925
Titre_chambres,-0.0014029431838736063
reglement_interieur_après,-0.0010574392719909676
Titre_dans,-0.0009589551172674904
detecteur_fumee,-0.0009294599035535422
Interphone,-0.0008439932247063964
Jacuzzi,-0.0007340906382007795
NbLits,-0.0007101980184949896
reglement_interieur_fumer,-0.0005693440777552406
fer_repasser,-0.000559614623915905
Titre_jardin,-0.00047152529616619756
reglement_interieur_ou,-0.0004544350655095508
reglement_interieur_animaux,-0.0004023020062000726
reglement_interieur_nous,-0.00038194421865956897
reglement_interieur_est,-0.00034798921274725725
reglement_interieur_lieux,-0.00031729805317479707
reglement_interieur_convient,-0.00028496885533699776
Titre_t1,-0.00026831179783035617
reglement_interieur_avec,-0.00026713820455207535
conditions_annulation,-0.00026569046780684503
reglement_interieur_du,-0.00026287577458529167
Titre_double,-0.0002603910242114704
cheminee_interieur,-0.00024505465032387264
Titre_centre,-0.0002446995701386845
reglement_interieur_maison,-0.00022958663427636862
reglement_interieur_apartment,-0.00022132996366845957
reglement_interieur_possible,-0.00020390108480869973
television_cable,-0.00019604679243346857
reglement_interieur_que,-0.00019337720988694685
reglement_interieur_entrée,-0.00017677935900505258
salle_sport,-0.00017614874692919446
reglement_interieur_état,-0.0001743271769661936
reglement_interieur_respect,-0.000155794426565381
Titre_sur,-0.00014110749485418683
Titre_le,-0.00014031158248559717
Titre_rénové,-0.000138452014441226
reglement_interieur_voisinage,-0.00013762126887333358
reglement_interieur_location,-0.00012993979507660569
reglement_interieur_plus,-0.00012467556394124557
reglement_interieur_être,-0.00012113748786535261
reglement_interieur_retard,-0.00011925044622191905
Titre_ville,-0.00011478588833230274
Titre_tram,-0.00011072595726061563
reglement_interieur_ce,-0.00010132447990731652
Titre_saint,-9.98605250990936e-05
parking_sur-place,-9.352661228049231e-05
reglement_interieur_autrement,-9.143814517922343e-05
reglement_interieur_le,-8.605099120785331e-05
reglement_interieur_appartement,-8.5503144191168e-05
Titre_une,-8.166849638983065e-05
Titre_agréable,-7.560294268894596e-05
reglement_interieur_bien,-7.460083252259775e-05
reglement_interieur_se,-5.502933090554274e-05
Titre_appart,-5.313867129644878e-05
Titre_hypercentre,-4.982143461395028e-05
Animal_sur_place,-4.8673055705206195e-05
reglement_interieur_personnes,-4.669647047194081e-05
Titre_t4,-4.357616790077179e-05
reglement_interieur_sur,-3.666502897022861e-05
Titre_echoppe,-3.5452423420023746e-05
reglement_interieur_la,-2.7598661785521727e-05
reglement_interieur_vous,-2.5246330780104298e-05
Titre_avec,-2.4278572432590018e-05
Titre_magnifique,-2.1481036157122713e-05
Titre_charmant,-2.051780078486942e-05
seche_cheveux,-1.59410502910573e-05
Titre_petite,-1.2149411211226369e-05
reglement_interieur_départ,-4.77517555050877e-06
Titre_lumineux,-1.402588410204242e-06
reglement_interieur_jours,0.0
Titre_superbe,0.0
reglement_interieur_fête,0.0
Titre_situé,0.0
Titre_salle,0.0
reglement_interieur_immeuble,0.0
reglement_interieur_une,0.0
Titre_quais,0.0
reglement_interieur_séjour,0.0
reglement_interieur_votre,0.0
Titre_pour,0.0
Titre_piscine,0.0
Titre_neuf,0.0
Titre_michel,0.0
reglement_interieur_cas,0.0
reglement_interieur_locataire,0.0
reglement_interieur_bordeaux,0.0
reglement_interieur_contrat,0.0
reglement_interieur_au,0.0
reglement_interieur_arrivée,0.0
reglement_interieur_nos,0.0
reglement_interieur_doit,0.0
reglement_interieur_possibilité,0.0
reglement_interieur_propre,0.0
reglement_interieur_qu,0.0
reglement_interieur_donc,0.0
reglement_interieur_20,0.0
Titre_échoppe,0.0
reglement_interieur_même,0.0
Titre_tout,0.0
reglement_interieur_mais,0.0
reglement_interieur_logement,0.0
reglement_interieur_faire,0.0
reglement_interieur_remise,0.0
Titre_public,0.0
Titre_bordelaise,0.0
Titre_des,0.0
Titre_confort,0.0
Titre_en,0.0
Titre_et,0.0
pourEnfants_famille,0.0
Titre_flat,0.0
Titre_gambetta,0.0
Titre_gare,0.0
Titre_center,0.0
Titre_bordelais,0.0
Titre_bis,0.0
produits_base,0.0
Titre_bdx,0.0
Titre_la,0.0
Titre_jolie,0.0
Titre_appt,0.0
porte_chambre_verrou,0.0
fiche_securite,0.0
Portier,0.0
Titre_hyper,0.0
kit_secours,0.0
Titre_jean,0.0
reglement_interieur_ils,2.8420790432193144e-07
reglement_interieur_supplément,3.670495653529393e-07
Titre_triangle,8.994123272376698e-07
Titre_belle,1.143793660052239e-06
reglement_interieur_ans,2.06908150577334e-06
reglement_interieur_non,3.331088506963731e-06
Titre_duplex,4.689292999071615e-06
reglement_interieur_acceptés,5.277165057826494e-06
Titre_quartier,7.283521065137855e-06
Titre_les,7.376822108906555e-06
Titre_pierre,1.0046871793956136e-05
Titre_deux,1.1624051374936605e-05
Titre_historique,1.2069601034170319e-05
reglement_interieur_pourra,1.373336592570551e-05
reglement_interieur_il,1.5143223048763587e-05
Titre_st,1.7512038430211874e-05
reglement_interieur_par,2.0044681135478193e-05
extincteur,2.0422121503893554e-05
Titre_très,2.1945483483853946e-05
reglement_interieur_je,2.374915300143998e-05
reglement_interieur_sont,2.4319485794244145e-05
reglement_interieur_ne,2.8795789739566312e-05
Internet,3.03147214286148e-05
Titre_balcon,3.061777270144672e-05
reglement_interieur_propreté,3.095542306998933e-05
Titre_confortable,3.144912147704515e-05
Titre_vue,3.303947283599396e-05
monoxyde_carbone_detect,3.8181974765594263e-05
Titre_ancien,4.5439499794075466e-05
Titre_pièces,4.936390083004616e-05
Titre_bordeaux,5.163352680385147e-05
reglement_interieur_16,5.77290707305278e-05
Piscine,5.8167075347603794e-05
Titre_grande,6.645433136233114e-05
reglement_interieur_qui,7.455643274414391e-05
Titre_chartrons,7.834453552461041e-05
reglement_interieur_30,7.854920283547617e-05
Titre_maison,7.952271336737482e-05
reglement_interieur_si,7.992135275393108e-05
reglement_interieur_00,8.046666514125445e-05
reglement_interieur_fumeurs,8.085629450322873e-05
Titre_t2,8.127071684865816e-05
reglement_interieur_respecter,8.141562094065025e-05
reglement_interieur_avant,9.886741901057316e-05
Titre_euro,0.00010146362359547689
Titre_plein,0.00010188401007349412
reglement_interieur_ménage,0.00010761008531154915
Titre_charme,0.00011295694518793642
reglement_interieur_pour,0.00011547371138005413
reglement_interieur_en,0.00011927225015467835
reglement_interieur_nombre,0.00012412574281259748
reglement_interieur_bébés,0.0001252208854099379
Ascenseur,0.00013761713391587937
reglement_interieur_demande,0.0001463445485247683
Titre_spacieux,0.0001613221884036342
Titre_m2,0.00016313458116176127
Titre_parking,0.00018218342232676488
reglement_interieur_heure,0.00019372386995051283
reglement_interieur_aux,0.0001979965808390438
Entree_24-24,0.00020181467320657954
Titre_coeur,0.00022857884482265777
reglement_interieur_sera,0.00022960893803659622
Titre_room,0.00023345839763488918
reglement_interieur_ni,0.00024729143763293495
reglement_interieur_soirée,0.00024761649476043866
reglement_interieur_des,0.0002492017882295361
Cintres,0.0002506042995542246
Titre_aux,0.0002714899923011327
Titre_grand,0.00027450173827546774
Titre_bel,0.0002783807268911365
reglement_interieur_dans,0.00028621363968123203
Titre_appartement,0.00028958243205048364
Titre_petit,0.00029451898048634686
espace_travail_ordi,0.00029705110453406294
Titre_privée,0.00030373992483256895
Titre_joli,0.00030607137714337983
reglement_interieur_fait,0.00030938362299948174
Titre_beau,0.000312195100871937
Titre_t3,0.0003460038266175247
wifi,0.00036701613715559576
reglement_interieur_et,0.0004020042974967275
Titre_au,0.0004023393273452358
Chauffage,0.0004262284929111293
reglement_interieur_15,0.00046856016994250015
Titre_terrasse,0.0004752494567006771
reglement_interieur_pas,0.0004952516911383098
Titre_place,0.0005466332620819525
adapte_evenements,0.0005851536206966324
Titre_cosy,0.0006015082696617547
reglement_interieur_merci,0.0006029549614450014
reglement_interieur_12,0.0006598710053510537
reglement_interieur_fumeur,0.0007089030679471198
Titre_victoire,0.0007105175591997414
Titre_calme,0.0007299579208857376
reglement_interieur_enfants,0.0007363785357467512
Titre_chambre,0.000757794521996602
Titre_du,0.0009066948901905403
accessibilite,0.0009167348026390965
Titre_proche,0.000984031174903055
reglement_interieur_14,0.0010339284550345273
petit_dejeuner,0.0011446891286757798
Climatisation,0.0014178550387020429
type_propriete,0.0014253116472819128
type_lit,0.001723281114358466
Titre_loft,0.0022430899090723046
rection_semaine,0.002258797760270337
seche_linge,0.0025296304862648554
duree_minimale_sejour,0.002560633179819993
machine_laver,0.0026169300283781284
logement_fumeur,0.003200216584216409
reduction_mois,0.004156323440235932
Cuisine,0.005670433376552065
television,0.005918127877171752
Titre_studio,0.006485350711703863
frais_menage,0.006790905505376555
Longitude,0.0075297592725746985
NombreSdB,0.010740269993010776
Latitude,0.018685319734793704
surcout_voyageur_supp,0.02666579817367175
Caution,0.03948894632898177
Type_logement,0.04157081448313325
Capacite_accueil,0.07817080305763659
NbChambres,0.13750982471878145
