feature,mean_importance
reglement_interieur_dans,-0.0031918043442345613
Titre_chartrons,-0.0023522982533142555
reglement_interieur_animaux,-0.002231959041052245
reglement_interieur_ne,-0.001820143259065432
reglement_interieur_les,-0.001454008648855576
rection_semaine,-0.001298603211135807
reglement_interieur_convient,-0.0008775180538786676
reglement_interieur_ni,-0.0007852897301339312
Interphone,-0.0007846525024268857
Titre_terrasse,-0.000747098437590521
Titre_jardin,-0.0007155925363197424
reglement_interieur_nous,-0.0006485227804232663
reglement_interieur_lieux,-0.0006267082397741763
seche_cheveux,-0.0005839748612039175
parking_sur-place,-0.0005665818253998811
Internet,-0.0005081402013733082
fer_repasser,-0.0004983477283956317
reglement_interieur_ans,-0.00047622699654722436
reglement_interieur_respect,-0.0004447000017255065
Titre_t2,-0.00042214714338858486
Titre_au,-0.0004172851475139572
Cintres,-0.00041226824620405056
Titre_grande,-0.0003923273388114046
Titre_euro,-0.0003221592207998225
Titre_quartier,-0.0003127298932247946
animaux_acceptes,-0.0002743772653731269
reglement_interieur_se,-0.00026374335585188646
reglement_interieur_avant,-0.0002542055446189795
Titre_triangle,-0.00024770431953224925
reglement_interieur_maison,-0.00024544091231379903
reglement_interieur_appartement,-0.00024137960641420486
reglement_interieur_pour,-0.0002249806456997683
Titre_hypercentre,-0.00019818501734153449
Animal_sur_place,-0.00019327599988275824
Ascenseur,-0.0001872404591284127
monoxyde_carbone_detect,-0.00016984667685592257
reglement_interieur_avec,-0.00015999389102147043
Titre_ville,-0.00015304413989694065
Titre_joli,-0.00015279201769570206
reglement_interieur_vous,-0.00015185567764559594
reglement_interieur_par,-0.00014289327413888886
reglement_interieur_fait,-0.0001362291551397443
reglement_interieur_faire,-0.00011854067507613975
Titre_duplex,-0.00010357223054506815
machine_laver,-0.00010336131264447879
reglement_interieur_propreté,-9.020229073606335e-05
fiche_securite,-8.743577745212727e-05
reglement_interieur_entrée,-8.353032584448305e-05
Titre_lumineux,-8.169096886978533e-05
reglement_interieur_ils,-7.421603097700347e-05
reglement_interieur_20,-7.267320599213534e-05
Titre_bis,-7.265304743747647e-05
reglement_interieur_sont,-6.866078378114926e-05
Titre_gare,-6.785792346205576e-05
Titre_cosy,-6.462119066342753e-05
reglement_interieur_voisinage,-6.277475178574354e-05
reglement_interieur_ou,-5.558425162234259e-05
reglement_interieur_il,-4.5936069501084645e-05
Titre_confort,-4.5228767390359524e-05
reglement_interieur_mais,-3.880991341458362e-05
Titre_st,-3.7418420129919915e-05
Titre_en,-3.668516017656387e-05
Titre_neuf,-3.633211289263416e-05
reglement_interieur_au,-3.2572482881521037e-05
Titre_piscine,-2.401085169572159e-05
Titre_parking,-2.3649280625226422e-05
reglement_interieur_qu,-2.183609866144298e-05
salle_sport,-2.1757083782947274e-05
reglement_interieur_respecter,-2.132842384920952e-05
reglement_interieur_sera,-1.9846331988992994e-05
Titre_apt,-1.7989962647368964e-05
reglement_interieur_nombre,-1.2999456065909686e-05
reglement_interieur_propre,-9.268465324085983e-06
porte_chambre_verrou,-8.017363742451877e-06
reglement_interieur_état,-5.185736503543481e-06
reglement_interieur_acceptés,-1.7208785484501555e-06
reglement_interieur_fumeurs,-1.0099382911743505e-06
Titre_plein,-6.549101695507709e-07
reglement_interieur_30,0.0
reglement_interieur_autrement,0.0
reglement_interieur_bordeaux,0.0
Titre_jean,0.0
Titre_une,0.0
Titre_tram,0.0
Titre_saint,0.0
reglement_interieur_contrat,0.0
Titre_rénové,0.0
Titre_les,0.0
Titre_t4,0.0
Titre_magnifique,0.0
Titre_michel,0.0
Titre_spacieux,0.0
Titre_place,0.0
Titre_situé,0.0
Titre_public,0.0
Titre_quais,0.0
Titre_jolie,0.0
Titre_tout,0.0
reglement_interieur_doit,0.0
Titre_center,0.0
Titre_appt,0.0
reglement_interieur_jours,0.0
reglement_interieur_ses,0.0
reglement_interieur_supplément,0.0
Titre_appart,0.0
Titre_ancien,0.0
Titre_agréable,0.0
reglement_interieur_location,0.0
reglement_interieur_possible,0.0
reglement_interieur_pourra,0.0
reglement_interieur_qui,0.0
Titre_historique,0.0
Portier,0.0
Titre_double,0.0
Titre_confortable,0.0
reglement_interieur_retard,0.0
reglement_interieur_remise,0.0
Titre_superbe,1.7869300510953146e-06
Titre_privée,2.3758854983402244e-06
reglement_interieur_séjour,2.8708836790847237e-06
reglement_interieur_même,2.974827450941131e-06
Titre_bordelaise,3.1158813831533295e-06
reglement_interieur_nos,3.6051142743520615e-06
Titre_pour,6.789917306093684e-06
reglement_interieur_possibilité,7.135370448829725e-06
Titre_calme,8.064533093921077e-06
reglement_interieur_arrivée,9.256062300899703e-06
reglement_interieur_immeuble,9.65480881121028e-06
Titre_vue,1.0790193751364363e-05
Titre_petit,1.189333941437054e-05
reglement_interieur_arrival,1.532592195341298e-05
reglement_interieur_cas,1.6857269442116518e-05
reglement_interieur_locataire,1.823244253164047e-05
Chauffage,1.9316371757449602e-05
Titre_m2,2.1342211470232188e-05
reglement_interieur_une,2.2568713249826454e-05
Titre_coeur,2.682907226223552e-05
reglement_interieur_des,2.8802472710987016e-05
Titre_petite,3.424179200576249e-05
Titre_beau,3.7459395520278437e-05
Titre_aux,3.772030764247481e-05
kit_secours,3.778801575395896e-05
Titre_bordeaux,4.156572983368134e-05
Titre_bdx,4.623853963497959e-05
Titre_charme,5.5467184370228126e-05
Titre_très,5.7170352486535236e-05
Titre_bordelais,5.7911858909376336e-05
reglement_interieur_ce,5.989089155082894e-05
reglement_interieur_personnes,6.041540291328307e-05
reglement_interieur_que,6.45710433971991e-05
reglement_interieur_sur,7.152138395463136e-05
Titre_t1,7.30481409644268e-05
reglement_interieur_en,8.238435976496428e-05
reglement_interieur_donc,8.248341217694798e-05
Titre_t3,8.279205309129623e-05
Titre_bel,8.697217151631964e-05
Titre_avec,8.82856944372068e-05
reglement_interieur_plus,9.119371466229654e-05
Titre_room,9.2201986270124e-05
Titre_belle,9.626873945038917e-05
Titre_maison,0.00010244920643853739
reglement_interieur_si,0.00010783318945096765
Titre_la,0.00011195413004180254
Titre_et,0.00011752228174746193
reglement_interieur_logement,0.0001190290831170171
reglement_interieur_non,0.00012398386394610884
produits_base,0.00013571981812091627
reglement_interieur_je,0.0001392407351248348
Titre_pièces,0.00014315391942277823
reglement_interieur_votre,0.0001466601363649067
Titre_pierre,0.00015109036318000646
Titre_deux,0.00016035676024612756
Jacuzzi,0.00016473890928738743
Titre_balcon,0.00016993180284800014
reglement_interieur_demande,0.0001758726627536733
reglement_interieur_après,0.00017723462306719063
Titre_échoppe,0.00018929786355882384
pourEnfants_famille,0.00019401712701606623
petit_dejeuner,0.00019614297270594827
Titre_flat,0.0002069080237977028
reglement_interieur_apartment,0.00020843736403259873
reglement_interieur_ménage,0.0002097052797913057
Titre_cœur,0.00021041223811488763
reglement_interieur_être,0.0002137226071773801
reglement_interieur_bébés,0.00021935145844537152
reglement_interieur_départ,0.0002201739486605625
reglement_interieur_fumer,0.00022949271445533715
adapte_evenements,0.00023390805881075006
reglement_interieur_est,0.00024382139671903503
wifi,0.00024833370219197183
reglement_interieur_soirée,0.00025674754580377044
Titre_victoire,0.0002639386805865729
Titre_charmant,0.0002662204464889406
Titre_le,0.00028029838141273576
accessibilite,0.00031104610920320577
Titre_2016,0.0003370807119346897
type_lit,0.0003393453955179204
Titre_grand,0.0003455006684446871
Titre_centre,0.000347825408836977
reglement_interieur_du,0.0003619926888767
Titre_proche,0.00038351979970737695
Titre_chambres,0.00040734882105655237
NbLits,0.0004181455958257585
reglement_interieur_aux,0.00042305491896448276
reglement_interieur_14,0.0004272501436571985
reglement_interieur_enfants,0.0004515243538438907
Titre_echoppe,0.00045729681495031426
Titre_chambre,0.0004743688382092159
reglement_interieur_pas,0.0004775314045927348
reglement_interieur_fête,0.0004976421001581354
conditions_annulation,0.0004979625413741639
reglement_interieur_la,0.0005029964725413282
Titre_hyper,0.0005035319384180448
extincteur,0.0005072608431245018
espace_travail_ordi,0.0005180610964946708
reglement_interieur_merci,0.0005279249925354002
cheminee_interieur,0.0005375308656290434
Entree_24-24,0.0005460742621368087
reglement_interieur_15,0.0007361265372496151
Titre_sur,0.0007400028694639404
reglement_interieur_et,0.0007917671719324338
Titre_du,0.0008054745011753406
reglement_interieur_12,0.0008348525841105903
reglement_interieur_heure,0.0008627528005021423
Titre_des,0.0008709755461466018
detecteur_fumee,0.000987839755016473
reglement_interieur_fumeur,0.0010039455923296025
Titre_loft,0.001040543827657714
Titre_appartement,0.0010673231557238427
reglement_interieur_00,0.0012287332282489793
reglement_interieur_le,0.001281738532458554
reduction_mois,0.0015353050354752873
Piscine,0.0019332153049078315
television_cable,0.0020350186431686624
Titre_dans,0.002105457068533323
television,0.002251890718507954
seche_linge,0.0024510178769315606
Cuisine,0.002592843034947878
Climatisation,0.004035340399544385
logement_fumeur,0.004694291769425585
duree_minimale_sejour,0.005065499421521647
Longitude,0.005874206026300144
Titre_studio,0.006172757378632187
type_propriete,0.0062874754018076295
frais_menage,0.011893694244516006
NombreSdB,0.015279280618026036
Latitude,0.02036172117325965
surcout_voyageur_supp,0.02720577890002327
Caution,0.03306754705454749
Type_logement,0.08865153274168852
Capacite_accueil,0.13246603861012735
NbChambres,0.264873466930106
