feature,mean_importance
detecteur_fumee,-0.0017752385973726526
Titre_dans,-0.0011912958808946383
reglement_interieur_lieux,-0.0010818224936656518
animaux_acceptes,-0.001038691743136999
NbLits,-0.0008224245377017492
Titre_cœur,-0.0007333254004423861
reglement_interieur_entrée,-0.0005118138654397586
reglement_interieur_plus,-0.0005078678173168095
Titre_t1,-0.0004957590577552295
reglement_interieur_ans,-0.00044698984040837387
parking_sur-place,-0.00044646333811666495
reglement_interieur_fumeurs,-0.0004357527650510007
reglement_interieur_les,-0.000385436879798029
reglement_interieur_dans,-0.0003245382342951242
pourEnfants_famille,-0.00030938364084277526
Titre_calme,-0.0002940820173005232
reglement_interieur_fumer,-0.0002750251026205963
Titre_sur,-0.0002709553446864743
reglement_interieur_avec,-0.00022688956935787986
reglement_interieur_convient,-0.00021230351387199197
fiche_securite,-0.00018090054086479236
reglement_interieur_en,-0.0001756513535311033
Titre_jardin,-0.0001594878861956417
reglement_interieur_du,-0.00015394793581644529
Titre_au,-0.0001323294440292333
porte_chambre_verrou,-0.00011029938838916787
reglement_interieur_nous,-0.00010258950114734322
reglement_interieur_20,-0.00010200213539168779
produits_base,-0.00010136721804767656
Entree_24-24,-9.007732450001526e-05
reglement_interieur_immeuble,-8.854898514875087e-05
Titre_grand,-7.314990324035487e-05
Titre_privée,-6.756265575320608e-05
wifi,-6.098697516634388e-05
reglement_interieur_une,-5.083134914204424e-05
Titre_centre,-4.7097652660654796e-05
reglement_interieur_aux,-4.3229533061317495e-05
reglement_interieur_qu,-4.127551041628319e-05
Titre_t3,-3.18523828617967e-05
reglement_interieur_sont,-2.7003557268368006e-05
seche_cheveux,-2.5499649439075787e-05
reglement_interieur_par,-2.5430587836305917e-05
Titre_charme,-2.4141654643006218e-05
Titre_beau,-1.8184314361147093e-05
reglement_interieur_ils,-1.7058078534659683e-05
Chauffage,-1.5631444912833636e-05
reglement_interieur_appartement,-1.3701086609296808e-05
Titre_charmant,-1.333218783694523e-05
reglement_interieur_propreté,-5.781583867325857e-06
reglement_interieur_est,-3.3376052581912675e-06
reglement_interieur_cas,0.0
Titre_neuf,0.0
Titre_petit,0.0
Titre_hypercentre,0.0
Titre_michel,0.0
Titre_jean,0.0
Titre_magnifique,0.0
Titre_jolie,0.0
Titre_la,0.0
Titre_m2,0.0
Titre_les,0.0
reglement_interieur_contrat,0.0
Titre_lumineux,0.0
reglement_interieur_ce,0.0
Titre_petite,0.0
Titre_public,0.0
Titre_piscine,0.0
reglement_interieur_acceptés,0.0
reglement_interieur_apartment,0.0
Titre_échoppe,0.0
Titre_vue,0.0
reglement_interieur_au,0.0
Titre_victoire,0.0
Titre_une,0.0
Titre_très,0.0
Titre_triangle,0.0
Titre_tram,0.0
Titre_tout,0.0
reglement_interieur_autrement,0.0
Titre_t4,0.0
Titre_superbe,0.0
reglement_interieur_avant,0.0
Titre_spacieux,0.0
Titre_situé,0.0
Titre_salle,0.0
Titre_rénové,0.0
Titre_grande,0.0
Titre_quais,0.0
reglement_interieur_état,0.0
reglement_interieur_bordeaux,0.0
Titre_pour,0.0
Titre_plein,0.0
Titre_place,0.0
Titre_pièces,0.0
Titre_pierre,0.0
Titre_room,0.0
Titre_confortable,0.0
reglement_interieur_30,0.0
Titre_appart,0.0
Titre_ancien,0.0
Titre_agréable,0.0
reglement_interieur_remise,0.0
Titre_gare,0.0
reglement_interieur_jours,0.0
reglement_interieur_locataire,0.0
reglement_interieur_qui,0.0
reglement_interieur_location,0.0
Animal_sur_place,0.0
reglement_interieur_propre,0.0
reglement_interieur_pourra,0.0
reglement_interieur_pour,0.0
reglement_interieur_même,0.0
salle_sport,0.0
Jacuzzi,0.0
reglement_interieur_nombre,0.0
Portier,0.0
reglement_interieur_nos,0.0
reglement_interieur_ou,0.0
reglement_interieur_mais,0.0
Titre_appt,0.0
Titre_aux,0.0
Titre_balcon,0.0
reglement_interieur_supplément,0.0
Titre_gambetta,0.0
Titre_flat,0.0
Titre_euro,0.0
Titre_et,0.0
Titre_echoppe,0.0
reglement_interieur_doit,0.0
reglement_interieur_retard,0.0
Titre_double,0.0
Titre_deux,0.0
reglement_interieur_départ,0.0
Titre_confort,0.0
Titre_chambres,0.0
reglement_interieur_respecter,0.0
Titre_center,0.0
Titre_bordelaise,0.0
Titre_bordelais,0.0
reglement_interieur_faire,0.0
Titre_bis,0.0
Titre_belle,0.0
Titre_bdx,0.0
reglement_interieur_possibilité,0.0
reglement_interieur_possible,0.0
Titre_historique,5.050630219827212e-07
Titre_le,1.1240877219154122e-06
reglement_interieur_sera,1.229626967969022e-06
reglement_interieur_séjour,3.817801941530252e-06
reglement_interieur_maison,4.1587668370923755e-06
conditions_annulation,7.377554205389991e-06
Titre_chambre,1.2158077539992096e-05
Titre_hyper,1.2703836014782421e-05
Titre_st,1.4467868605527733e-05
reglement_interieur_heure,2.113546893015572e-05
Titre_saint,2.2690392272917136e-05
reglement_interieur_arrivée,3.19054549971165e-05
reglement_interieur_je,3.202576213205966e-05
reglement_interieur_logement,3.254128826712943e-05
reglement_interieur_être,3.2618627118852214e-05
reglement_interieur_il,4.096888083028327e-05
Titre_quartier,4.8780746081755753e-05
kit_secours,4.956659296034838e-05
reglement_interieur_personnes,5.9451865338122634e-05
reglement_interieur_bien,8.821438577105711e-05
Titre_t2,9.210404645142445e-05
reglement_interieur_si,0.00010323837009501569
reglement_interieur_et,0.0001137781178801478
reglement_interieur_ménage,0.00011846699728761401
reglement_interieur_donc,0.00013078201250735778
reglement_interieur_des,0.00013211165237642097
monoxyde_carbone_detect,0.00013361167864351932
Titre_en,0.00013981587934855933
Titre_des,0.00014507140164207177
Internet,0.00018023346216324842
Titre_duplex,0.0001838508096225433
reglement_interieur_fait,0.00020420532538975022
Titre_joli,0.0002048567063050566
reglement_interieur_sur,0.0002224903052935101
reglement_interieur_enfants,0.00023353680335889138
Titre_bel,0.00023837864363565053
reglement_interieur_voisinage,0.0002398984869644294
Titre_maison,0.00026448044464484345
Titre_ville,0.00027142372582369403
accessibilite,0.00028376241843977026
reglement_interieur_bébés,0.0002854311146498256
Titre_bordeaux,0.000287447103773264
Ascenseur,0.0002887326237242083
Titre_chartrons,0.00028932147768537806
Titre_coeur,0.0002931894079977293
reglement_interieur_soirée,0.00030259603621928254
extincteur,0.00030338413925896647
reglement_interieur_fumeur,0.0003213275605719379
fer_repasser,0.00032344120997297444
reglement_interieur_demande,0.000327394629576383
Titre_parking,0.0003287822510797178
reglement_interieur_que,0.00033124821780634585
reglement_interieur_votre,0.0003596202584396746
reglement_interieur_respect,0.00036825343587461036
Titre_cosy,0.00038114879660525733
reglement_interieur_ni,0.00038559200012069363
reglement_interieur_ne,0.0003985149170809499
reglement_interieur_15,0.00041640144036869664
espace_travail_ordi,0.0004497576058047348
reglement_interieur_animaux,0.00047793619072384886
reglement_interieur_fête,0.00048125029795943465
Interphone,0.0005054383262137585
reglement_interieur_non,0.0005057820512820221
reglement_interieur_la,0.000534594148214107
adapte_evenements,0.0005369359933663608
reglement_interieur_se,0.0005466277481186443
Titre_avec,0.0005872331080646886
Titre_appartement,0.000613156865876785
petit_dejeuner,0.0006465666578036267
Titre_terrasse,0.0006568249839905782
Cintres,0.0008019954398497342
cheminee_interieur,0.0008191336692121021
reglement_interieur_après,0.0008233490960705247
reglement_interieur_merci,0.0008296368594311709
Titre_proche,0.0008387264974463293
Piscine,0.000870869310374689
reglement_interieur_vous,0.0008992773317116898
reglement_interieur_16,0.000972262467967544
reglement_interieur_00,0.0009913210040057186
Titre_du,0.0010088119379521032
type_lit,0.0010924681568917794
reglement_interieur_le,0.0011204465720265234
reglement_interieur_12,0.001369305884235572
seche_linge,0.001552173511215804
reglement_interieur_pas,0.0017582074364807742
Titre_loft,0.0021622813556600117
machine_laver,0.002380244895691108
reglement_interieur_14,0.00262410561280918
television_cable,0.002899124358375005
duree_minimale_sejour,0.0036538713409704714
Titre_studio,0.004077777531610194
logement_fumeur,0.004095331405348646
Climatisation,0.004111596605678924
rection_semaine,0.004181917336382302
reduction_mois,0.00531355197651201
television,0.005551095459080058
Cuisine,0.006559297020573984
type_propriete,0.011368312327842111
frais_menage,0.01195670444041107
Longitude,0.013433453033649234
Latitude,0.0211350113921867
NombreSdB,0.023134583508842222
surcout_voyageur_supp,0.0303004126216009
Caution,0.03683652123900043
Type_logement,0.050869906462226354
Capacite_accueil,0.09764232166533945
NbChambres,0.15921302503729864
