"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","01","01001","2017","00100117V0002","9","2",,"du Moleson (D. SCHWALLER)","43444908800013",,,"Les METRAS",,,"01400","L'ABERGEMENT CLEMENCIA",,"100",,,,,,,"ABERGEMENT CLEMENCIAT",,"0088ZA","0086ZA","0081ZA",3,5810,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2755,2513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-02-28,"2017-05-05","2017-06-01"
"84","01","01001","2018","00100118V0002","9","2",,"MAYER",,,"route","39 Porte de Montmerle",,,"01990","SAINT TRIVIER SUR MOIGNANS",,"100","110","Chemi","CHEMIN DES BAILLERES",,,"01400","L'ABERGEMENT CLEMENCIAT",,"0040ZH",,,1,2213,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-02-28,,
"84","01","01004","2015","00100415A1086","9","2",,"LIDL France","34326262204901","35","Rue","Charles Peguy",,,"67200","STRASBOURG",,"100","70","Avenu","de la Liberation",,,"01500","AMBERIEU-EN-BUGEY",,"0193AK","0424AK","0422AK",3,10439,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2425,0,0,0,3708,0,0,3708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-02-28,"2016-08-26","2017-10-16"
"84","01","01007","2017","00100717A0005","9","2",,"POOCS","48376683800013","96","Alle","des Meandres",,,"69760","LIMONEST",,"100",,,"LES BLANCHERES NORD",,,"01 50","AMBRONAY",,"0512ZN","0510ZN","0508ZN",2,13438,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-02-28,"2017-06-15",
"84","01","01027","2017","0010271700008","8","2",,"A.M.V.","809478035","8","impas","des Perruches",,,"38280","VILLETTE D'ANTHON",,"100","1139","route","de Saint Maurice",,,"01360","BALAN",,"0201ZA","0266ZA","0269ZA",2,1138,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-02-28,"2018-02-02",
"84","01","01027","2018","0010271800005","9","2",,"KEM ONE","53869504000039","258","route","de Saint-Maurice",,,"01360","BALAN",,"100","258","route","de Saint Maurice",,,"01360","BALAN",,"0065ZA","0334ZA","0335ZA",1,694686,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41556,73,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13",2018-02-28,,
"84","01","01027","2018","0010271800006","9","2",,"RHONE SOLAIRE","82151588900","94","rue","SERVIENT",,,"69003","LYON",,"100","258","route","de Saint Maurice de Gourda",,,"01360","BALAN",,"0313ZA","0334ZA",,1,327705,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-02-28,,
"84","01","01028","2018","00102818V0003","9","2",,"EARL DE MAISON NEUVE","31816423300013",,"LIEU-","LES MAISONS NEUVES",,,"01990","BANEINS",,"100",,,"Les Maisons Neuves",,,"01990","BANEINS",,"0066ZE",,,1,45617,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-02-28,,
"84","01","01029","2017","00102917D0007","9","2",,"PERRIN","35332379300011","831","Route","de la grange maigre",,,"01270","BEAUPONT",,"100","831","Route","de la grange maigre",,,"01270","BEAUPONT",,"0133ZE","0027ZE","0124ZE",2,37120,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-02-28,"2018-02-01",
"84","01","01032","2017","0010321700011","8","2",,"CONCEPT INNOV HABITAT SARL","82907712200010","9","rue","Edith Piaf",,,"69740","Genas",,"100","269","route","de Cruisseau","lot A",,"01360","BELIGNEUX",,"17150A","17160A","17170A",2,3002,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,15,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-02-28,"2018-02-03",
