dateReferentiel	route	longueur	prD	depPrD	concessionPrD	absD	xD	yD	zD	prF	depPrF	concessionPrF	absF	cumulF	xF	yF	zF	anneeMesureTrafic	typeComptageTrafic	TMJA	RatioPL
2015-01-01	A0001	2380	0	93	N	0	653006,6	6867037,55	0	2	93	N	400	2380	652899,42	6869409,49	0	2015	Permanent horaire	174890	
2015-01-01	A0001	60	2	93	N	400	652899,42	6869409,49	0	2	93	N	460	2440	652896,51	6869469,21	0	2015	Permanent horaire	134000	
2015-01-01	A0001	785,2	2	93	N	460	652896,51	6869469,21	0	3	93	N	248,2	3225,2	653176,46	6870095,57	0	2015	Permanent horaire	134000	
2015-01-01	A0001	401,8	3	93	N	248,2	653176,46	6870095,57	0	3	93	N	650	3627	653552,97	6870234,42	0	2015	Permanent horaire	134000	
2015-01-01	A0001	460	3	93	N	650	653552,97	6870234,42	0	4	93	N	100	4087	653980,05	6870405,69	0	2015	Permanent horaire	134000	
2015-01-01	A0001	360,4	4	93	N	100	653980,05	6870405,69	0	4	93	N	460,4	4447,4	654322,36	6870520,62	0	2015	Permanent horaire	134000	
2015-01-01	A0001	229,6	4	93	N	460,4	654322,36	6870520,62	0	4	93	N	690	4677	654547,05	6870570,75	0	2015	Permanent horaire	134000	
2015-01-01	A0001	210	4	93	N	690	654547,05	6870570,75	0	4	93	N	900	4887	654756,08	6870595,85	0	2015	Permanent horaire	134000	
2015-01-01	A0001	2018	4	93	N	900	654756,08	6870595,85	0	6	93	N	900	6905	656726,57	6870935	0	2015	Permanent horaire	123200	
2015-01-01	A0001	102	6	93	N	900	656726,57	6870935	0	7	93	N	0	7007	656822,64	6870968,37	0	2015	Permanent horaire	169068	
2015-01-01	A0001	1700	7	93	N	0	656822,64	6870968,37	0	8	93	N	700	8707	658431,5	6871533,03	0	2015	Permanent horaire	169068	
2015-01-01	A0001	2605	8	93	N	700	658431,5	6871533,03	0	11	93	N	300	11312	660506,36	6873091,67	0	2015	Permanent horaire	177500	
2015-01-01	A0001	891	11	93	N	300	660506,36	6873091,67	0	12	93	N	200	12203	661187,1	6873671,24	0	2015	Permanent horaire	122500	
2015-01-01	A0001	400	12	93	N	200	661187,1	6873671,24	0	12	93	N	600	12603	661472,38	6873954,21	0	2015	Permanent horaire	122500	
2015-01-01	A0001	802	12	93	N	600	661472,38	6873954,21	0	0	95	N	0	13405	662045,66	6874523,29	0	2015	Permanent horaire	92700	
2015-01-01	A0001	1580	0	95	N	0	662045,66	6874523,29	0	14	95	N	1000	14985	663161,05	6875630,58	0				
2015-01-01	A0001	3940	15	95	N	0	663161,05	6875630,58	0	18	95	N	930	18925	665444,29	6878782,2	0	2015	Permanent horaire	90600	
2015-01-01	A0001	1569	18	95	N	930	665444,29	6878782,2	0	20	95	C	499	20494	665966,61	6880317,6	0				
2015-01-01	A0001	242	20	95	C	499	665966,61	6880317,6	0	20	95	C	741	20736	666035,68	6880520,91	0	2015	Permanent horaire	98778	15,9
2015-01-01	A0001	7132	20	95	C	741	666035,68	6880520,91	0	27	95	C	873	27868	667209,16	6887482,91	0	2015	Permanent horaire	98778	15,9
2015-01-01	A0001	2777	27	95	C	873	667209,16	6887482,91	0	30	95	C	650	30645	667345,96	6890249,01	0	2015	Permanent horaire	85925	16,9
2015-01-01	A0001	1610	30	95	C	650	667345,96	6890249,01	0	32	60	C	260	32255	667686,98	6891811,72	0	2015	Permanent horaire	85925	16,9
2015-01-01	A0001	10166	32	60	C	260	667686,98	6891811,72	0	42	60	C	426	42421	671659,18	6900723,98	0	2015	Permanent horaire	83341	17,3
2015-01-01	A0001	1694	42	60	C	426	671659,18	6900723,98	0	44	60	C	120	44115	672898,32	6901829,46	0	2015	Permanent horaire	59675	21,5
2015-01-01	A0001	6448,9	44	60	C	120	672898,32	6901829,46	0	50	60	C	568,9	50563,9	677122,46	6906581,73	0	2015	Permanent horaire	65279	21,7
2015-01-01	A0001	6631,1	50	60	C	568,9	677122,46	6906581,73	0	57	60	C	200	57195	677153,63	6912926,46	0	2015	Permanent horaire	65279	21,7
2015-01-01	A0001	540	57	60	C	200	677153,63	6912926,46	0	57	60	C	740	57735	677266,69	6913453,96	0	2015	Permanent horaire	65279	21,7
2015-01-01	A0001	8733	57	60	C	740	677266,69	6913453,96	0	66	60	C	473	66468	678037,69	6921956,81	0	2015	Permanent horaire	58294	23
2015-01-01	A0001	14075	66	60	C	473	678037,69	6921956,81	0	80	60	C	548	80543	679798,6	6935804,41	0	2015	Permanent horaire	54422	24
