"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","01","01004","2019","00100419A1002","9","2",,"COFA","53323358100016",,,"ZA Le Grand Blossieu",,,"01115","LAGNIEU",,"100",,"Avenu","Roger Vailland",,,"01 50","AMBERIEU-EN-BUGEY",,"1281AW",,,1,5420,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1667,551,137,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13",2019-01-31,,
"84","01","01004","2019","00100419A1003","9","2","OPH de l'Ain","DYNACITE","77930647100037","390","Boule","du 8 mai 1945",,,"01 01","BOURG-EN-BRESSE",,"100","6","Rue","Henri Jacquinod",,,"01 50","AMBERIEU-EN-BUGEY",,"0888AO",,,1,597,,,,,,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,240,0,0,348,0,0,0,0,0,0,0,0,0,"14",2019-01-31,,
"84","01","01004","2019","00100419A1004","9","2",,"MCAM","79120961200013","4","Rue","Marcel Paul",,,"01 50","AMBERIEU-EN-BUGEY",,"100","4","Rue","MARCEL PAUL",,,"01 50","AMBERIEU-EN-BUGEY",,"0265AM",,,1,1757,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2019-01-31,,
"84","01","01031","2018","00103118H0007","1","2",,"SCI DU MOULIN - Mr. PINARD PIERRE-OLIVIER","3398693800001",,,"6 Rue du Moulin -ZI Le Mou",,,"01100","BELLIGNAT",,"100",,,"850 RUE DE L'ANGE",,,"01100","BELLIGNAT",,"099pAE","0098AE",,2,8212,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2019-01-31,"2019-01-25",
"84","01","01034","2018","00103418C0012","9","2",,"ANDREY Patrick (batiment stockage)",,,,"89 montee du pigeonnier -",,,"01300","belley",,"100",,,"CORON 89 montee du pigeon",,,"01300","BELLEY",,"0122AZ",,,2,0,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2019-01-31,"2019-01-14",
"84","01","01049","2018","0010491800024","1","2",,"SCI LAVI 01","84316872500011","29","chemi","des Greffieres",,,"69450","SAINT CYR AU MONT D'OR",,"100",,,"ZAC des Viaducs","lot 4",,"01120","LA BOISSE",,"1096AL","0169AL",,2,2062,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2019-01-31,"2018-12-11",
"84","01","01053","2019","00105319O0001","9","2",,"GITES DE FRANCE DE L'AIN","40032730000036",,,"3 rue Robert Schuman",,,"01000","BOURG EN BRESSE",,"100",,,"43 rue de la Republique",,,"01000","Bourg-en-Bresse",,"0153BC",,,1,458,,,,,,0,0,0,0,0,0,0,0,0,0,63,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2019-01-31,,
"84","01","01053","2019","00105319O0004","9","2",,"SCI MYRIAM","84217438500018",,,"1 rue des Dimes",,,"01000","BOURG EN BRESSE",,"100",,,"1 rue des Dimes",,,"01000","Bourg-en-Bresse",,"0178BE",,,1,881,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2019-01-31,,
"84","01","01074","2019","00107419V0001","9","2","SAS GAZ DE VEYLE","SAS GAZ DE VEYLE","84409049800016","3",,,"Les Braires",,"01320","Chatenay",,"100",,,,"Les Braires",,"01320","Chalamont",,"76A","75A","72A",1,44600,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2019-01-31,,
"84","01","01079","2017","00107917A0005","9","2",,"GAEC DE VALYREVE - BOLON JEREMIE",,,,"PASSIN",,,"01260","CHAMPAGNE EN VALROMEY",,"100",,,"PASSIN",,,,"CHAMPAGNE EN VALROMEY",,"0086ZD",,,2,0,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3357,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2019-01-31,"2017-08-29",
"84","01","01093","2019","00109319V0001","9","2",,"STRATTON",,,,"Parc d'activite Chalaronn",,,"01400","CHATILLON SUR CHALARONNE",,"100",,,"Parc d'activite Chalaronn",,,"01400","CHATILLON SUR CHALARONNE",,"10690A",,,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2019-01-31,,
"84","01","01099","2019","00109919A0001","9","2",,"Communaute de Communes de la Plaine de l'Ain","24010088300018","143","Rue","du Chateau",,,"01 15","CHAZEY-SUR-AIN",,"100","143","Rue","du Chateau",,,"01 15","CHAZEY-SUR-AIN",,"02260C","02250C","02270C",1,23410,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1827,31,0,0,0,0,0,0,0,0,0,"8",2019-01-31,,
"84","01","01105","2018","00110518V0016","9","2",,"ALCYON FRANCE","40916669100082","27","rue","Damesme",,,"75013","PARIS",,"100",,,"EN BELVARD","TECHNOPRAC",,"01390","CIVRIEUX",,"0205ZW","0035ZW","0034ZW",2,49850,,,,,"1",0,0,0,0,0,0,0,0,0,0,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2019-01-31,"2019-01-16",
"84","01","01109","2019","00110919B0002","9","2",,"COMMUNE DE COLLONGES","21010109300016","10",,"GRAND RUE",,,"01550","COLLONGES",,"100","20",,"RUE DE LA BIERE",,,"01550","COLLONGES",,"01760F",,,1,488,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368,0,0,0,0,0,0,0,0,0,"8",2019-01-31,,
"84","01","01115","2018","00111518D0011","9","2",,"SAS BRESSE OEUFS PRODUCTION representee par Monsi","34991121400014","64","Route","de Pont d'Ain",,,"01320","CHALAMONT",,"100","162","Route","de Montburon",,,"01310","CONFRANCON",,"0042ZD","0050ZD","0067ZD",2,93822,,,,,"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4136,2899,0,2933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13",2019-01-31,"2019-01-17",
"84","01","01118","2019","00111819C0001","9","2",,"DOMAINE DU CLOS D'ARVIERES","80927172900018","131","chemi","de la Cascade","Eilloux",,"01420","CORBONOD",,"100","131","chemi","chemin de la cascade","Eilloux",,"01420","CORBONOD",,"0136AK","0131AK","0133AK",1,28533,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11800,250,0,232,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13",2019-01-31,,
"84","01","01124","2018","00112418D0012","9","2",,"GAEC DE LA PIE represente par Monsieur FAVIER Pie","40947117400014","2819","Route","de Chamandray",,,"01560","CORMOZ",,"100",,"Lieu-","Chamandray",,,"01560","CORMOZ",,"0147ZM","0131ZM",,2,64485,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4118,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2019-01-31,"2019-01-17",
"84","01","01139","2019","00113919D0001","9","2",,"Commune de CURCIAT DONGALON representee par Madam","21010139000016","26","Route","de St Trivier",,,"01560","CURCIAT DONGALON",,"100","178","Chemi","des Vernays",,,"01560","CURCIAT DONGALON",,"04950D",,,1,1771,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,61,0,0,0,0,0,0,0,0,0,"8",2019-01-31,,
"84","01","01140","2017","00114017D0003","9","2",,"EARL DES TAMARIS representee par M. ROLLY Pascal","42155694500010","55","Chemi","de Cormassine",,,"01310","CURTAFOND",,"100",,"Lieu-","Cormassine",,,"01310","CURTAFOND",,"03400D","03540D","08230D",3,7823,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3025,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2019-01-31,"2017-05-22","2019-01-17"
