"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","01","01013","2018","00101318A0001","9","2","GAEC LES PERCE NEIGE",,"30676185900017","1283","RTE","d Argis","Indrieux",,"01230","Arandas",,"100",,,,"Indrieux",,"01230","Arandas",,"976B","969B",,1,42838,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4995,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-09-30,,
"84","01","01049","2018","0010491800018","9","2",,"SARL LA BOISSE WILSON","42112985900029","249","avenu","du President Wilson",,,"93210","LA PLAINE SAINT-DENIS",,"100",,"avenu","des Pres Seigneurs",,,"01120","LA BOISSE",,"0676AH","0701AH","0662AH",2,69990,,,,,"1",0,0,0,0,0,0,0,0,0,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35994,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-09-30,"2018-09-18",
"84","01","01053","2018","00105318O0017","9","2",,"BMRA SAS","05650309700810",,,"2080 avenue des Landiers","CS 72412",,"73024","CHAMBERY CEDEX",,"100",,,"5 rue Barthelemy Thimoni",,,"01000","Bourg-en-Bresse",,"0367BO","0634BO","0635BO",2,2602,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-09-30,"2018-09-25",
"84","01","01053","2018","00105318O0021","9","2",,"DUBEFI SAS","75520016900190",,,"2 rue Creve-Coeur",,,"01000","BOURG EN BRESSE",,"100",,,"14 avenue Arsene d'Arsonv",,,"01000","Bourg-en-Bresse",,"0130BO",,,2,10045,,,,,"2",1,0,0,0,0,0,0,0,0,142,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,1,"11",2018-09-30,"2018-09-14",
"84","01","01053","2018","00105318O0054","9","2",,"BOURG SUD","44145003800035",,,"4 rue des Peupliers",,,"01000","BOURG EN BRESSE",,"100",,,"Chemin de la Chagne",,,"01000","Bourg-en-Bresse",,"0142CH",,,1,11777,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,"8",2018-09-30,,
"84","01","01056","2018","00105618A0003","9","2","SARL GRAINES D ABEILLES",,"80046822500027","19","RTE","de St Jerome","Le Mollard-St Jerome",,"01640","Boyeux-Saint-Jerome",,"100","19","RTE","de St Jerome","Le Mollard-St Jerome",,"01640","Boyeux-Saint-Jerome",,"2976C","2975C","2973C",2,6843,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-09-30,"2018-09-10",
"84","01","01063","2018","00106318H0008","9","2",,"CATALPA",,,"Lotis","les Montillets","Chemin de la Fontaine",,"01460","NURIEUX-VOLOGNAT",,"100",,,"Impasse de l'Etang",,,"01460","BRION",,"0771ZB","0774ZB",,1,2351,,,,,,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-09-30,,
"84","01","01071","2018","00107118B0012","9","2",,"SCI C.L. FERNEY","81127746600017","158","Rue","DES ESPINETTES","ZI Des Landiers Ouest",,"73290","LA MOTTE SERVOLEX",,"100","112","Chemi","du Journans",,,"01170","CESSY",,"0024AO",,,1,1844,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,35,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13",2018-09-30,,
"84","01","01071","2018","00107118B0013","9","2","Org. europeenne pour la reche","CERN",,,"Route","DE MEYRIN",,,"CH-12","GENEVE 23",,"100",,,"La Porcherie",,,"01170","CESSY",,"0121AN","0120AN","0119AN",1,143854,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16386,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-09-30,,
"84","01","01074","2018","00107418V0005","9","2","GAEC","DE LA SERPOLIERE","33863420700017","471","Lieu-","Chemin de la Tuilerie",,,"01320","CHALAMONT",,"100","200",,"LA SERPOLIERE",,,"01320","CHALAMONT",,"03380C",,,2,15143,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-09-30,"2018-08-24",
