Operateur;X;Y;2G;3G;4G
20801;51434;2410126;1;1;0
20810;51564;2410820;1;1;0
20820;51565;2410823;1;1;1
20801;64480;2362160;1;1;0
20820;73150;2396665;1;1;0
20801;73330;2396715;1;1;0
20820;73555;2361400;1;0;0
20820;75280;2413240;1;1;0
20801;75285;2413250;1;1;0
20810;75611;2398223;1;1;1
20801;76058;2407568;1;1;1
20820;77340;2395880;1;1;1
20820;77340;2407030;1;1;1
20815;77340;2407030;0;1;1
20815;77351;2395923;0;1;1
20801;77352;2395895;1;1;1
20810;77358;2395903;1;1;0
20801;77575;2360880;1;1;0
20810;77730;2411230;1;1;0
20820;78385;2402125;1;1;0
20801;78402;2402154;1;1;1
20810;78537;2416723;1;1;0
20820;78750;2360340;1;1;0
20810;78751;2360335;1;1;0
20815;78761;2360313;0;1;1
20810;78932;2405276;1;1;0
20820;81660;2418293;1;1;0
20810;83409;2396426;1;1;1
20815;83413;2396435;0;1;1
20820;83700;2415190;1;1;1
20801;83700;2415220;1;1;0
20810;83701;2415218;1;1;0
20801;84073;2396260;1;1;1
20810;85121;2403915;0;1;0
20801;85123;2403913;0;1;1
20810;85223;2399405;1;1;1
20801;85236;2399395;1;1;0
20820;85275;2399390;1;1;1
20810;85421;2407236;1;1;0
20820;85520;2395910;1;1;1
20801;86020;2405939;1;1;1
20810;86154;2359507;1;1;0
20820;86310;2405645;1;1;1
20815;86316;2405638;0;1;1
20801;86490;2398126;1;1;1
20810;86612;2399337;1;1;1
20815;86 615;2 399 335;0;1;1
20801;86742;2386389;1;1;0
20820;86743;2386401;1;1;1
20810;86849;2386193;1;1;0
20810;87258;2419031;1;1;0
20820;87258;2419034;1;1;0
20820;87673;2414453;1;1;1
20801;88143;2374771;1;1;0
20810;88481;2397949;1;1;1
20801;88485;2397940;1;1;0
20810;88606;2404765;1;1;0
20801;88650;2396010;1;1;1
20801;88925;2357964;1;1;1
20810;88931;2357955;0;1;0
20820;88932;2357954;1;1;0
20815;88933;2357957;0;1;1
20810;89190;2395980;1;1;1
20820;89202;2395985;1;1;1
20820;89280;2403670;1;1;1
20801;89286;2403677;1;1;1
20820;89721;2407508;1;1;1
20801;90371;2357398;1;1;1
20801;90435;2403307;1;1;1
20815;90525;2403281;0;1;1
20801;90661;2408015;1;1;0
20801;90730;2397290;1;1;0
20801;91050;2402240;1;1;0
20810;91062;2402206;1;1;0
