"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_CP_D","ADR_LOCALITE_D","ADR_BP_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","01","01004","2017","00100417A1022","8","2",,"AMETIS RHONE-ALPES AUVERGNE","52900363400027",,,"84 quai Joseph Gillet",,"69004","LYON",,,"100",,,"6 rue Henri Dunant",,,"01500","AMBERIEU-EN-BUGEY",,"0038AP","0037AP",,3,2242,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,149,0,0,0,0,0,0,0,"14","2018/01","2017-06-30","2017-11-06"
"84","01","01004","2017","00100417A1059","9","2",,"THE SPIRIT","51539142300024","8","Chemi","de la Pie",,"01500","AMBERIEU EN BUGEY",,,"100",,,"ZAC de l'Aviation",,,"01500","AMBERIEU-EN-BUGEY",,"0800AC",,,2,34516,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8","2018/01","2018-01-17",
"84","01","01004","2018","00100418A1007","9","2",,"Indivision CABERLY/DLC","48221084600010","1110","Route","des Essarts",,"73 42","VIVIER DU LAC",,,"100","35 bi","Avenu","de la Liberation",,,"01 50","AMBERIEU-EN-BUGEY",,"0180AH","0640AH",,1,10468,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3205,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8","2018/01",,
"84","01","01014","2017","00101417H0021","9","2",,"BEATRICE ESTHETIQUE","81064325400016","27","Rue","du 8 Mai 1945",,"01100","OYONNAX",,,"100","1","Impas","Paul Golliat",,,"01100","ARBENT",,"0343AN","0059AN",,2,4473,,,,,"2",0,0,0,0,0,0,0,0,0,93,0,0,0,93,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11","2018/01","2018-01-23",
"84","01","01014","2017","00101417H0024","9","2",,"HUBESCAR","39473637500012","7","Rue","de la petite fin",,"01100","ARBENT",,,"100","5","RUE","DE L'INDUSTRIE",,,"01100","ARBENT",,"0183AN","0182AN",,2,2523,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8","2018/01","2018-01-18",
"84","01","01014","2018","00101418H0002","9","2",,"BARRIER",,"32","Rue","Diderot",,"01100","OYONNAX",,,"100","22.24","Alle","des fleurs","POINT B",,"01100","ARBENT",,"07430A","07510A","07340A",1,6138,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,647,200,617,0,316,1629,0,0,9,617,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,"14","2018/01",,
"84","01","01025","2018","00102518D0002","9","2",,,"39790417800027","755","ROUTE","DE LA TERRASSE",,"01380","BAGE-DOMMARTIN",,,"100",,,"LA LIE",,,"01380","BAGE DOMMARTIN",,"12750F",,,2,0,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4236,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8","2018/01","2018-01-16",
"84","01","01032","2017","0010321700009","2","2","Collectivite","VILLE DE BELIGNEUX","21010032700019","22","route","de la Gare",,"01360","BELIGNEUX",,,"100",,"place","de la Grande Hermiere",,,"01360","BELIGNEUX",,"16750A",,,2,3574,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,128,63,0,63,0,0,0,0,1,0,"13","2018/01","2018-01-29",
"84","01","01032","2018","0010321800001","9","2",,"SCI BERAL","37931805800011","206","chemi","de la Foret",,"01320","CRANS",,,"100","148","rue","des Barmettes",,,"01360","BELIGNEUX",,"0228ZC",,,1,3350,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8","2018/01",,
"84","01","01032","2018","0010321800003","9","2",,"K PERSPECTIVES",,"9 bis","avenu","du Marechal de Lattre de",,"69330","MEYZIEU",,,"100",,"route","du Dauphine",,,"01360","BELIGNEUX",,"12510B","12560B","07170B",1,21360,,,,,,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14","2018/01",,
