dateReferentiel	route	longueur	prD	depPrD	concessionPrD	absD	cumulD	xD	yD	zD	prF	depPrF	concessionPrF	absF	cumulF	xF	yF	zF	anneeMesureTrafic	typeComptageTrafic	TMJA	RatioPL
2010-01-01	A0001	2380	0	93	N	0	0	653006,6	6867037,55	0	2	93	N	400	2380	652899,42	6869409,49	0	2010	Permanent horaire	190500	
2010-01-01	A0001	1707	2	93	N	400	2380	652899,42	6869409,49	0	4	93	N	100	4087	653980,05	6870405,69	0	2010	Permanent horaire	139000	
2010-01-01	A0001	800	4	93	N	100	4087	653980,05	6870405,69	0	4	93	N	900	4887	654756,08	6870595,85	0	2010	Permanent horaire	58066	13,3
2010-01-01	A0001	2018	4	93	N	900	4887	654756,08	6870595,85	0	6	93	N	900	6905	656726,57	6870935	0	2010	Permanent horaire	117800	
2010-01-01	A0001	1802	6	93	N	900	6905	656726,57	6870935	0	8	93	N	700	8707	658431,5	6871533,03	0	2010	Permanent horaire	179200	
2010-01-01	A0001	2605	8	93	N	700	8707	658431,5	6871533,03	0	11	93	N	300	11312	660506,36	6873091,67	0	2010	Permanent horaire	82292	16,3
2010-01-01	A0001	1291	11	93	N	300	11312	660506,36	6873091,67	0	12	93	N	600	12603	661472,38	6873954,21	0	2010	Permanent horaire	134000	
2010-01-01	A0001	802	12	93	N	600	12603	661472,38	6873954,21	0	13	93	N	401	13405	662045,66	6874523,29	0	2010	Permanent horaire	92300	
2010-01-01	A0001	580	0	95	N	0	13405	662045,66	6874523,29	0	0	95	N	580	13985	662454,63	6874929,45	0	2010	Temporaire journalier		
2010-01-01	A0001	4940	14	95	N	0	13985	662454,63	6874929,45	0	18	95	N	930	18925	665444,29	6878782,2	0	2010	Permanent horaire	89888	
2010-01-01	A0001	1569	18	95	N	930	18925	665444,29	6878782,2	0	20	95	C	499	20494	665966,61	6880317,6	0	2010	Permanent horaire	97206	16,3
2010-01-01	A0001	242	20	95	C	499	20494	666035,68	6880520,91	0	20	95	C	741	20736	666113,92	6880750,65	0	2010	Permanent horaire	97206	16,3
2010-01-01	A0001	7132	20	95	C	741	20736	666113,92	6880750,65	0	27	95	C	873	27868	667209,16	6887482,91	0	2010	Permanent horaire	97206	16,3
2010-01-01	A0001	2777	27	95	C	873	27868	667209,16	6887482,91	0	30	95	C	650	30645	667345,96	6890249,01	0	2010	Permanent horaire	84670	17,6
2010-01-01	A0001	1610	30	95	C	650	30645	667345,96	6890249,01	0	32	60	C	260	32255	667686,98	6891811,72	0	2010	Permanent horaire	84670	17,6
2010-01-01	A0001	10166	32	60	C	260	32255	667686,98	6891811,72	0	42	60	C	426	42421	671659,18	6900723,98	0	2010	Permanent horaire	82552	18
2010-01-01	A0001	1694	42	60	C	426	42421	671659,18	6900723,98	0	44	60	C	120	44115	672898,32	6901829,46	0	2010	Permanent horaire	60275	21,9
2010-01-01	A0001	13620	44	60	C	120	44115	672898,32	6901829,46	0	57	60	C	740	57735	677266,69	6913453,96	0	2010	Permanent horaire	65354	22
2010-01-01	A0001	8733	57	60	C	740	57735	677266,69	6913453,96	0	66	60	C	473	66468	678037,69	6921956,81	0	2010	Permanent horaire	57754	23,3
2010-01-01	A0001	14075	66	60	C	473	66468	678037,69	6921956,81	0	80	60	C	548	80543	679798,6	6935804,41	0	2010	Permanent horaire	54719	24
2010-01-01	A0001	11468	80	60	C	548	80543	679798,6	6935804,41	0	92	60	C	16	92011	682330,82	6946951,22	0	2010	Permanent horaire	54775	24
2010-01-01	A0001	9286	92	60	C	16	92011	682330,82	6946951,22	0	101	80	C	302	101297	683521,06	6956096,26	0	2010	Permanent horaire	54775	24
2010-01-01	A0001	17216	101	80	C	302	101297	683521,06	6956096,26	0	118	80	C	518	118513	687952,35	6972646,77	0	2010	Permanent horaire	52390	24,4
2010-01-01	A0001	2964	118	80	C	518	118513	687952,35	6972646,77	0	121	80	C	482	121477	688279,75	6975587,31	0	2010	Permanent horaire	62011	23,7
2010-01-01	A0001	10318	121	80	C	482	121477	688279,75	6975587,31	0	131	80	C	800	131795	690053,14	6985652,09	0	2010	Permanent horaire	62035	24,3
2010-01-01	A0001	4966	131	80	C	800	131795	690053,14	6985652,09	0	136	80	C	766	136761	691300,52	6990418,63	0	2010	Permanent horaire	62607	24,2
2010-01-01	A0001	2220	136	80	C	766	136761	691300,52	6990418,63	0	138	80	C	986	138981	691699,49	6992566,8	0	2010	Permanent horaire	41320	25,5
2010-01-01	A0001	7891	138	80	C	986	138981	691699,49	6992566,8	0	146	62	C	877	146872	690810,67	7000339,6	0	2010	Permanent horaire	41320	25,5
2010-01-01	A0001	19107	146	62	C	877	146872	690810,67	7000339,6	0	165	62	C	984	165979	690645,9	7019130,5	0	2010	Permanent horaire	42676	25,3
2010-01-01	A0001	4322	165	62	C	984	165979	690645,9	7019130,5	0	170	62	C	306	170301	692275,4	7023140,51	0	2010	Permanent horaire	43648	25,3
2010-01-01	A0001	3760	170	62	C	306	170301	692275,4	7023140,51	0	174	62	C	66	174061	694421,81	7026229,51	0	2010	Permanent horaire	45008	24,8
2010-01-01	A0001	8134	174	62	C	66	174061	694421,81	7026229,51	0	182	62	C	200	182195	698752,12	7032859,38	0	2010	Permanent horaire	69600	
2010-01-01	A0001	841	182	62	C	200	182195	698752,12	7032859,38	0	183	62	C	41	183036	698814,6	7033658,95	0	2010	Permanent horaire		
2010-01-01	A0001	190	183	62	C	41	183036	698814,6	7033658,95	0	183	62	C	231	183226	698831,14	7033865,91	0	2010	Permanent horaire		
2010-01-01	A0001	1289	183	62	C	231	183226	698831,14	7033865,91	0	184	62	C	520	184515	698938,39	7035201,91	0	2010	Permanent horaire		
2010-01-01	A0001	1505	184	62	C	520	184515	698938,39	7035201,91	0	186	62	C	25	186020	698753,07	7036734,97	0	2010	Permanent horaire		
2010-01-01	A0001	891	186	62	C	25	186020	698753,07	7036734,97	0	186	62	C	916	186911	698351,8	7037530,5	0	2010	Permanent horaire	104800	
2010-01-01	A0001	5754	187	62	N	0	186911	698351,8	7037530,5	0	192	62	N	700	192665	698879,53	7043007,46	0	2010	Permanent horaire	109855	17,7
2010-01-01	A0001	684	192	62	N	700	192665	698879,53	7043007,46	0	193	62	N	393	193349	699289,39	7043597,96	0	2010	Temporaire journalier		
2010-01-01	A0001	7890	0	59	N	0	193349	699289,39	7043597,96	0	201	59	N	315	201239	703970,47	7049723,23	0	2010	Permanent horaire	109934	14,5
2010-01-01	A0001	4854	201	59	N	315	201239	703970,47	7049723,23	0	206	59	N	175	206093	706379,21	7053941,11	0	2010	Temporaire journalier		
2010-01-01	A0001	2189	206	59	N	175	206093	706379,21	7053941,11	0	208	59	N	350	208282	707338,16	7055874,46	0	2010	Permanent horaire	140576	12,8
2010-01-01	A0001	2989	208	59	N	350	208282	707338,16	7055874,46	0	210	59	N	1325	211271	705842,13	7058251,7	0	2010	Permanent horaire	91880	
2010-01-01	A0001A	1179	0	59	N	0	0	707995,62	7055917,04	0	0	59	N	1179	1179	707007,29	7056525,1	0	2010	Temporaire journalier		
2010-01-01	A0002	3533	0	80	C	0	0	691468,61	6990871,19	0	3	80	C	533	3533	693370,6	6993152,82	0	2010	Permanent horaire	21286	21,5
2010-01-01	A0002	1122	3	80	C	533	3533	693370,6	6993152,82	0	4	62	C	655	4655	694311,12	6993756,09	0	2010	Permanent horaire	21286	21,5
2010-01-01	A0002	382	4	62	C	655	4655	694311,12	6993756,09	0	5	80	C	37	5037	694644,11	6993988,07	0	2010	Permanent horaire	21286	21,5
2010-01-01	A0002	18563	5	80	C	37	5037	694644,11	6993988,07	0	23	62	C	600	23600	709096,78	7005129,89	0	2010	Permanent horaire	21286	21,5
2010-01-01	A0002	39	23	62	C	600	23600	709096,78	7005129,89	0	23	62	C	639	23639	709125,65	7005156,86	0	2010	Permanent horaire	27606	20,4
2010-01-01	A0002	5675	23	62	C	639	23639	709125,65	7005156,86	0	29	59	C	314	29314	713259,08	7008862,57	0	2010	Permanent horaire	27606	20,4
2010-01-01	A0002	13009	29	59	C	314	29314	713259,08	7008862,57	0	42	59	C	323	42323	722731,21	7017071,97	0	2010	Permanent horaire	28461	20,2
2010-01-01	A0002	358	42	59	C	323	42323	722731,21	7017071,97	0	42	59	C	681	42681	722957,28	7017335,1	0	2010	Permanent horaire		
2010-01-01	A0002	5006	43	59	N	0	42681	722957,28	7017335,1	0	47	59	N	1001	47687	725631,85	7021478,1	0	2010	Permanent horaire	43505	19,2
