"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","01","01005","2018","00100518V0009","8","2",,"AST GROUPE","39254982000786","78","rue","Elisee Reclus",,,"69150","DECINES CHARPIEU",,"100",,"Route","du 3 septembre 1944",,,"01330","AMBERIEUX EN DOMBES",,"0002AC","0001AC","0003AC",2,6054,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-08-31,"2018-08-31",
"84","01","01034","2018","00103418C0011","9","2",,"SASU LA CASCADE (PELLETIER Patrick)","38996328100032",,,"275 chemin des bugnards",,,"73100","MOUXY",,"100",,,"11 BOULEVARD DU MAIL",,,"01300","BELLEY",,"0574AK","0576AK","0575AK",2,1477,,,,,"1",0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-08-31,"2018-08-30",
"84","01","01034","2018","00103418C0016","1","2",,"SCI CONDAT INVESTISSEMENT (CONDAT David)","79107732400014",,,"372 rue Denis Papin - coro",,,"01300","belley",,"100",,,"372 rue Denis Papin  coron",,,"01300","BELLEY",,"20930A","20910A",,2,1496,,,,,"1",0,0,0,0,0,0,0,0,0,193,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-08-31,"2018-08-30",
"84","01","01034","2018","00103418C0018","9","2",,"Mme GABAYET Aurelie",,,,"975 route du chef-lieu",,,"74570","GROISY",,"100",,,"LA COMMANDERIE",,,"01300","BELLEY",,"06050C","06070C","08290C",2,49433,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-08-31,"2018-08-23",
"84","01","01043","2018","00104318A0015","9","2","L'APPART FITNESS","BEYNOST SPORT L'APPART FITNESS","75195302700024","19","RUE","CLEMENT MICHUT",,,"69100","VILLEURBANNE",,"100","66",,"IMPASSE DU SERMORAZ",,,"01700","BEYNOST",,"0532AL",,,1,6350,,,,,,0,0,0,0,0,0,0,0,0,1023,0,0,0,886,0,288,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,0,0,0,1234,0,0,0,0,0,0,0,0,0,0,0,"14",2018-08-31,,
"84","01","01043","2018","00104318A0033","9","2","GIMEL-LAVERGNE","GIMEL-LAVERGNE","31780205600034","10","ALLEE","des petites combes","ZAC DES BATERSES",,"01700","BEYNOST",,"100",,,"PLAN DU SOLEIL",,,"01700","BEYNOST",,"0880AM",,,1,1599,,,,,,0,0,0,0,0,0,0,0,0,392,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-08-31,,
"84","01","01053","2017","00105317O0032","2","2",,"Departement de l'Ain","22010001000010",,,"45 avenue Alsace Lorraine",,,"01003","BOURG-EN-BRESSE",,"100",,,"1 allee de la Petite Reys",,,"01000","BOURG-EN-BRESSE",,"0269BD",,,3,14323,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3270,1569,0,0,0,0,0,0,1,0,0,"8",2018-08-31,"2017-12-01","2017-12-01"
"84","01","01053","2018","00105318O0010","2","2",,"COMMUNE DE BOURG EN BRESSE","21010053300012",,,"Place de l'Hotel de Ville",,,"01000","BOURG EN BRESSE",,"100",,,"8 rue Magenta",,,"01012","Bourg-en-Bresse",,"0292AE",,,2,13275,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,18,0,0,0,0,1,0,0,0,0,"8",2018-08-31,"2018-08-24",
"84","01","01053","2018","00105318O0014","9","2",,"OGEC SAINT PIERRE","43737112100013",,,"7 rue Villeneuve",,,"01000","Bourg en Bresse",,"100",,,"33 rue Samaritaine",,,"01012","Bourg-en-Bresse",,"0103BC",,,2,5398,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6633,1273,0,0,0,0,1,0,0,0,0,"8",2018-08-31,"2018-08-02",
"84","01","01053","2018","00105318O0022","9","2",,"NICELAND SAS","483962 262 000",,,"133 Montee du Cimetiere",,,"69460","SAINT ETIENNE DES OULLIERES",,"100",,,"24 Boulevard Jules Ferry",,,"01000","Bourg-en-Bresse",,"0201AL",,,2,3394,,,,,"1",0,0,0,0,0,0,0,0,0,0,2548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-08-31,"2018-08-06",
