Operateur;X;Y;2G;3G;4G
20801;873749;6568847;1;1;0
20801;871323;6570328;1;1;1
20801;869799;6570795;1;1;0
20801;872404;6567290;0;1;1
20801;870403;6568991;1;1;1
20801;873257;6567883;1;1;0
20801;871246;6571761;1;1;1
20801;836068;6544230;1;1;1
20801;920643;6563419;1;1;0
20801;852455;6527011;1;1;1
20801;860321;6529841;1;1;1
20801;852231;6532638;1;1;1
20801;880363;6568866;1;1;1
20801;884949;6556222;1;1;0
20801;876280;6541859;1;1;1
20801;860171;6553756;1;1;0
20801;910126;6566078;1;1;0
20801;903641;6563144;1;1;0
20801;896739;6562269;1;1;1
20801;891927;6560233;1;1;0
20801;857627;6572947;1;1;1
20801;872636;6570767;1;1;1
20801;932920;6575245;1;1;1
20801;938042;6579001;1;1;1
20801;935255;6586024;1;1;1
20801;939739;6586470;1;1;1
20801;941222;6588937;1;1;1
20801;837661;6539876;1;1;1
20801;870368;6536171;1;1;1
20801;874798;6528058;1;1;0
20801;903196;6577050;1;1;1
20801;908630;6521800;1;1;1
20801;901560;6528698;1;0;0
20801;849683;6524892;1;1;0
20801;890154;6556660;1;1;0
20801;922448;6559562;1;1;0
20801;938010;6580938;1;1;1
20801;881042;6543113;1;1;1
20801;898523;6568748;1;1;1
20801;857331;6546314;1;1;0
20801;880208;6589250;1;1;1
20801;867232;6561659;1;1;0
20801;870135;6569862;1;1;1
20801;930945;6573976;1;1;1
20801;927142;6570747;1;1;1
20801;862316;6576315;1;1;1
20801;939646;6588809;1;1;1
20801;876779;6560239;1;1;1
20801;911163;6567143;1;1;0
20801;896666;6534685;1;0;0
20801;901004;6564502;1;1;0
20801;851662;6560069;1;1;1
20801;891597;6525052;1;1;1
20801;893605;6538913;1;1;0
20801;888899;6541684;1;1;0
20801;885867;6537332;1;1;0
20801;901065;6577412;1;1;0
20801;852543;6527030;1;1;1
20801;916479;6535701;1;1;1
20801;940086;6577686;1;1;1
20801;918485;6560294;1;1;1
20801;916342;6569956;1;1;0
20801;916332;6531882;1;1;1
20801;901943;6545496;1;1;1
20801;896765;6570673;1;1;1
20801;936038;6577180;1;1;1
20801;847193;6545783;1;1;0
20801;898679;6561820;1;1;0
20801;881077;6539085;1;1;1
20801;877034;6534355;1;1;0
20801;873879;6537054;1;1;1
20801;865117;6531578;1;1;0
20801;858883;6526296;1;1;1
20801;847402;6532705;1;1;1
20801;847069;6534670;1;1;0
20801;839447;6546810;1;1;0
20801;859555;6567324;1;1;0
20801;896951;6542370;1;1;0
20801;863409;6584273;1;1;0
20801;860845;6591664;1;1;1
20801;859309;6597852;1;1;1
20801;938460;6576016;1;1;1
20801;918006;6560010;1;1;1
20801;867698;6546280;1;0;0
20801;845717;6564354;1;1;1
20801;903323;6571057;1;1;0
20801;882166;6541437;1;1;1
20801;905950;6527361;1;1;1
20801;837648;6539456;1;1;0
20801;870099;6566591;1;1;1
20801;853356;6570929;1;1;0
20801;852037;6530311;1;1;1
20801;848213;6530614;1;1;1
20801;866278;6569286;1;1;0
20801;904667;6576636;1;1;1
20801;904783;6579407;1;1;1
20801;864771;6558328;1;1;0
20801;872536;6569900;1;1;1
20801;886604;6570191;1;1;0
20801;872318;6568505;1;1;1
20801;875988;6585864;1;1;0
20801;874397;6594636;1;1;0
20801;842666;6557308;1;1;1
20801;843707;6567763;1;1;1
20801;841392;6562580;1;0;0
20801;844497;6548867;1;1;1
20801;843375;6543229;1;0;0
20801;844977;6552992;1;1;0
20801;846743;6536793;1;1;0
20801;870377;6554755;1;1;1
20801;873013;6579740;1;0;0
20801;871853;6522388;1;1;1
20801;872037;6569331;1;1;1
20801;870781;6568276;1;1;1
20801;904228;6577578;1;1;1
20801;903032;6576242;1;1;1
20801;904290;6575430;1;0;0
20801;907818;6534890;1;1;1
20801;878144;6567160;1;1;1
20801;857472;6576588;1;1;1
20801;865889;6577121;1;1;1
20801;889599;6559229;1;1;0
20801;873882;6575204;1;1;0
20801;846041;6574642;1;1;1
20801;845758;6583178;1;1;0
20801;867862;6536411;1;1;1
20801;882828;6546745;1;1;1
20801;848081;6594146;1;1;1
20801;939396;6583066;1;1;1
20801;839098;6565957;1;1;1
20801;916816;6561932;1;1;1
20801;846101;6579606;1;1;0
20801;925595;6568301;1;1;1
20801;934454;6582683;1;1;0
20801;942971;6590334;1;1;0
20801;869799;6574267;1;1;1
20801;881632;6542112;1;1;1
20801;841392;6562580;1;1;0
20801;859089;6529141;1;1;1
20801;882301;6543490;1;1;1
20801;850743;6526153;1;1;1
20801;896374;6554912;1;0;0
20801;877833;6530933;1;1;1
20801;880279;6541478;1;1;1
20801;903910;6576623;0;1;1
20801;904361;6576138;0;1;0
20801;903132;6574771;0;1;1
20801;871551;6569841;0;1;1
20801;869449;6569165;1;1;1
20801;870675;6568984;0;1;1
20801;872959;6570087;0;1;0
20801;872815;6569510;0;1;0
20801;871660;6571294;0;1;1
20801;917689;6558522;1;1;1
20801;937384;6578557;1;1;1
20801;939703;6577855;0;1;1
20801;855207;6563421;1;1;0
20801;894238;6576844;1;1;0
20801;841149;6540006;1;1;0
20801;909404;6520357;1;1;0
20801;845650;6535687;1;1;1
20801;845158;6540027;1;1;1
20801;844748;6544645;1;1;1
20801;843594;6554368;1;1;1
20801;842794;6558927;1;1;1
20801;869254;6559722;1;1;0
20801;881923;6535948;1;1;1
20801;904322;6582254;0;1;1
20801;902116;6573615;1;1;0
20801;900438;6571125;0;1;0
20801;870114;6571141;0;1;0
20801;917647;6560882;1;1;1
20801;872902;6539598;1;1;1
20801;935866;6586535;1;1;1
20801;933176;6576397;0;1;1
20801;887271;6562804;1;1;0
20801;874675;6590147;1;0;0
20801;853556;6541861;1;1;0
20801;874757;6564935;1;1;0
20801;855608;6527238;1;1;1
20801;856998;6528602;1;1;1
20801;853743;6526705;1;1;1
20801;914644;6566463;1;0;0
20801;910902;6562439;1;1;0
20801;919705;6569108;1;1;0
20801;928868;6567555;1;1;0
20801;915990;6554958;1;1;0
20801;837255;6557389;1;1;1
20801;887004;6548221;1;1;0
20801;840622;6537955;1;1;1
20801;841011;6536715;1;1;1
20801;870691;6536952;1;1;1
20801;879317;6554943;1;1;0
20801;883107;6551427;1;1;0
20801;878214;6551417;1;1;0
20801;888371;6530156;0;1;1
20801;886895;6567700;1;1;0
20801;835432;6551559;1;1;1
20801;854675;6530318;1;1;1
20801;845197;6537413;1;1;1
20801;844067;6542500;1;1;1
20801;842885;6549816;1;1;1
20801;842774;6555605;1;1;1
20801;845250;6586529;1;1;1
20801;870470;6527604;1;1;1
20801;836535;6547293;1;1;1
20801;839719;6541530;1;1;0
20801;879071;6544720;1;1;1
20801;838986;6540861;1;1;0
20801;861823;6527731;1;1;1
20801;877136;6539377;1;1;1
20801;842869;6565151;1;1;1
20801;842366;6561279;1;1;1
20801;843171;6552260;1;1;1
20801;850638;6537769;1;1;1
20801;863288;6567269;1;1;0
20801;909122;6514065;1;1;0
20801;881172;6537284;1;1;1
20801;851706;6527750;1;1;1
20801;835091;6539234;1;1;1
20801;837531;6544231;1;1;1
20801;871461;6568511;1;1;1
20801;905907;6580444;1;1;0
20801;836230;6556205;0;1;1
20801;836374;6554311;1;1;1
20801;862039;6530467;0;1;1
20801;882730;6542824;1;1;1
20801;858458;6533567;1;1;0
20801;934434;6580561;1;1;1
20801;899387;6577957;0;1;0
20801;836549;6543749;0;1;1
20801;890333;6575078;0;1;0
20801;899785;6554436;0;1;0
20801;892461;6535657;0;1;0
20801;895043;6547909;0;1;0
20801;890573;6547226;0;1;0
20801;899700;6524458;0;1;0
20801;902775;6528007;0;1;0
20801;877160;6579202;1;1;1
20801;904240;6537615;0;1;0
20801;842141;6562705;1;1;1
20801;894013;6543596;0;1;0
20801;904326;6570519;0;1;0
20801;897149;6528963;0;1;0
20801;850392;6579463;1;1;1
20801;850344;6575791;1;1;0
20801;842282;6572820;1;1;1
20801;842617;6570643;1;1;1
20801;840972;6574826;1;1;1
20801;926251;6582341;1;1;0
20801;842624;6573081;1;1;1
20801;901946;6517711;0;1;0
20801;871704;6569671;0;0;1
20801;936781;6583476;1;1;1
20801;934277;6575020;1;1;1
20801;931878;6579711;1;1;1
20801;939764;6578807;1;1;0
20801;935570;6577551;1;1;0
20801;932658;6576901;1;1;0
20801;905466;6550715;0;1;0
20801;891613;6528533;0;1;0
20801;896962;6522528;0;1;0
20801;905337;6531027;0;1;0
20801;916672;6531453;0;1;0
20801;933606;6582734;1;1;0
20801;939427;6581811;1;1;0
20801;935459;6578096;1;1;0
20801;896677;6539343;0;1;0
20801;755408;6570644;1;0;1
20801;736447;6575197;1;1;1
20801;729304;6608919;1;1;0
20801;696215;6580036;1;1;1
20801;672737;6582323;1;1;1
20801;673116;6599757;1;1;1
20801;735022;6556159;1;1;1
20801;753394;6600603;1;1;1
20801;677717;6585500;1;1;0
20801;712038;6564702;1;1;0
20801;734665;6558896;1;1;1
20801;669000;6583230;1;1;1
20801;731837;6562626;1;1;0
20801;679135;6576352;1;1;0
20801;720176;6618264;1;1;1
20801;705297;6609527;1;1;1
20801;709581;6610691;1;0;0
20801;716720;6608445;1;1;1
20801;724149;6577849;1;1;0
20801;714761;6554613;1;1;1
20801;729309;6552285;1;1;1
20801;734056;6568912;1;1;1
20801;730518;6580488;1;1;0
20801;723661;6590605;1;0;1
20801;729060;6600878;1;1;0
20801;747283;6571063;1;1;0
20801;699485;6583283;1;0;0
20801;703599;6588309;1;0;0
20801;710918;6593284;1;1;0
20801;677363;6572558;1;1;1
20801;721315;6595677;1;1;0
20801;685669;6597048;1;1;1
20801;676015;6594697;1;1;0
20801;690550;6582468;1;1;0
20801;702302;6577364;1;0;0
20801;705988;6572852;1;0;0
20801;710677;6556051;1;1;0
20801;737291;6611190;1;1;1
20801;695969;6625420;1;1;0
20801;674060;6576638;1;1;1
20801;761760;6583100;1;1;1
20801;758429;6576219;1;1;1
20801;769586;6589910;1;1;1
20801;746932;6587338;1;0;0
20801;739690;6573445;1;1;1
20801;715502;6602240;1;1;1
20801;732353;6558822;1;1;1
20801;725835;6605242;1;0;1
20801;668636;6582436;1;1;1
20801;726763;6607522;0;1;1
20801;727436;6607091;1;1;1
20801;726812;6606773;1;1;1
20801;732887;6558485;1;1;1
20801;668015;6583758;1;1;1
20801;670163;6582757;1;1;1
20801;669134;6584239;1;1;0
20801;667719;6583031;1;1;1
20801;732495;6558035;1;1;1
20801;732005;6559901;1;1;1
20801;733764;6557800;1;1;1
20801;733912;6560211;1;1;1
20801;731900;6557370;1;1;1
20801;664336;6584864;1;1;1
20801;668012;6581606;1;1;1
20801;669274;6581784;1;1;1
20801;669337;6580579;1;1;1
20801;680360;6577106;1;1;1
20801;725191;6608905;1;1;1
20801;724279;6606680;1;1;1
20801;724075;6610042;1;1;0
20801;726152;6557053;1;1;1
20801;720551;6565842;1;1;1
20801;687519;6611981;1;1;1
20801;750330;6551524;1;1;1
20801;659995;6585314;1;1;1
20801;726792;6605604;1;1;1
20801;763047;6599032;1;1;1
20801;658957;6578940;1;0;0
20801;737858;6602986;1;1;1
20801;733677;6599484;1;1;1
20801;745279;6604364;1;1;0
20801;686552;6580487;1;1;1
20801;733751;6556716;0;1;1
20801;732670;6561822;1;1;1
20801;735641;6551778;1;1;1
20801;731402;6558981;0;1;0
20801;733271;6558788;0;1;1
20801;669612;6581974;1;1;0
20801;725874;6606433;1;1;1
20801;724546;6608264;0;1;0
20801;735253;6560453;0;1;1
20801;733106;6559871;0;1;1
20801;733420;6558132;0;1;1
20801;668394;6585243;0;1;1
20801;688349;6589861;1;1;1
20801;670737;6587232;1;1;1
20801;757526;6551778;1;1;0
20801;751444;6544783;1;1;0
20801;744673;6550764;1;1;0
20801;741582;6550199;1;1;0
20801;748340;6562063;1;1;0
20801;755452;6562058;1;1;0
20801;755262;6580473;1;1;0
20801;757215;6596074;1;1;0
20801;669469;6582308;0;1;1
20801;668753;6583502;0;1;0
20801;669052;6581101;0;1;0
20801;665568;6579194;1;1;0
20801;670739;6581165;0;1;0
