ANNEE;CODE_INSEE;COMMUNE;NB_LOGEMENTS_LOCATIFS_SOCIAUX;NB_RESIDENCES_PRINCIPALES;POURCENTAGE_LOGEMENTS_LOCATIFS_SOCIAUX
2002;92002;ANTONY;3937;24416;16.12
2002;92014;BOURG LA REINE;1310;8660;15.13
2002;92022;CHAVILLE;1521;8222;18.5
2002;92077;VILLE D'AVRAY;140;4708;2.97
2003;92002;ANTONY;4092;24258;16.87
2003;92023;CLAMART;5095;21121;24.12
2003;92032;FONTENAY AUX ROSES;2397;10146;23.63
2003;92049;MONTROUGE;4576;21973;20.83
2003;92060;LE PLESSIS ROBINSON;5034;9914;50.78
2003;92075;VANVES;2874;12716;22.6
2004;92002;ANTONY;4422;24414;18.11
2004;92014;BOURG LA REINE;1323;8510;15.55
2004;92024;CLICHY;7882;26616;29.61
2004;92026;COURBEVOIE;7672;39328;19.51
2004;92036;GENNEVILLIERS;10727;16789;63.89
2005;92033;GARCHES;1649;7792;21.16
2005;92040;ISSY LES MOULINEAUX;6889;28079;24.53
2005;92049;MONTROUGE;4676;22788;20.52
2005;92062;PUTEAUX;6140;20029;30.66
2005;92071;SCEAUX;983;8436;11.65
2005;92076;VAUCRESSON;85;3510;2.42
2005;92077;VILLE D'AVRAY;186;4693;3.96
2005;92078;VILLENEUVE LA GARENNE;5101;9204;55.42
2006;92022;CHAVILLE;1710;8317;20.56
2006;92035;LA GARENNE COLOMBES;1254;12638;9.92
2006;92036;GENNEVILLIERS;10671;16709;63.86
2007;92019;CHATENAY MALABRY;6265;12570;49.84
2007;92024;CLICHY;8249;26732;30.86
2007;92049;MONTROUGE;5073;22877;22.18
2007;92063;RUEIL MALMAISON;6400;32279;19.83
2007;92072;SEVRES;2290;9412;24.33
2007;92073;SURESNES;7369;19214;38.35
2007;92076;VAUCRESSON;139;3527;3.94
2007;92077;VILLE D'AVRAY;271;4712;5.75
2008;92012;BOULOGNE BILLANCOURT;6620;54908;12.06
2008;92014;BOURG LA REINE;1498;8605;17.41
2008;92071;SCEAUX;1068;8479;12.6
2008;92075;VANVES;2984;12697;23.5
2009;92002;ANTONY;4746;24813;19.13
2009;92007;BAGNEUX;7935;15695;50.56
2009;92036;GENNEVILLIERS;10638;16396;64.88
2009;92046;MALAKOFF;5577;14041;39.72
2009;92047;MARNES LA COQUETTE;39;590;6.61
2009;92063;RUEIL MALMAISON;6522;32505;20.06
2009;92076;VAUCRESSON;148;3559;4.16
2009;92078;VILLENEUVE LA GARENNE;5027;8898;56.5
2010;92025;COLOMBES;11179;34280;32.61
2010;92048;MEUDON;5180;19924;26.0
2010;92051;NEUILLY SUR SEINE;1205;30008;4.02
2010;92071;SCEAUX;1087;8451;12.86
2010;92073;SURESNES;7438;20000;37.19
2010;92076;VAUCRESSON;152;3531;4.3
2010;92077;VILLE D'AVRAY;282;4787;5.89
2011;92012;BOULOGNE BILLANCOURT;7529;56019;13.44
2011;92014;BOURG LA REINE;1566;8710;17.98
2011;92040;ISSY LES MOULINEAUX;7214;29816;24.2
2011;92046;MALAKOFF;5510;14029;39.28
2011;92049;MONTROUGE;5051;23868;21.16
2011;92051;NEUILLY SUR SEINE;1308;30101;4.35
2011;92071;SCEAUX;1087;8393;12.95
2011;92073;SURESNES;7438;20127;36.96
2012;92009;BOIS COLOMBES;2400;12529;19.16
2012;92012;BOULOGNE BILLANCOURT;7757;56710;13.68
2012;92036;GENNEVILLIERS;10597;16884;62.76
2012;92047;MARNES LA COQUETTE;39;591;6.6
2012;92048;MEUDON;5321;19877;26.77
2012;92063;RUEIL MALMAISON;7707;32481;23.73
2013;92004;ASNIERES SUR SEINE;7169;38072;18.83
2013;92025;COLOMBES;11505;34652;33.2
2013;92046;MALAKOFF;5820;14083;41.33
2013;92077;VILLE D'AVRAY;526;4949;10.63
2014;92040;ISSY LES MOULINEAUX;7496;31283;23.96
2014;92050;NANTERRE;20347;36380;55.93
2014;92062;PUTEAUX;6197;20936;29.6
2014;92075;VANVES;3034;12987;23.36
2016;92009;BOIS COLOMBES;2340;12582;18.6
2016;92022;CHAVILLE;2190;9015;24.29
2016;92024;CLICHY;9387;27258;34.44
2016;92040;ISSY LES MOULINEAUX;7707;32367;23.81
2016;92049;MONTROUGE;5098;24085;21.17
2016;92062;PUTEAUX;6159;21068;29.23
2016;92063;RUEIL MALMAISON;8133;33133;24.55
2016;92077;VILLE D'AVRAY;526;4826;10.9
2015;92002;ANTONY;5325;26017;20.47
2015;92023;CLAMART;6670;22718;29.36
2015;92024;CLICHY;9213;27360;33.67
2015;92051;NEUILLY SUR SEINE;1757;30226;5.81
2015;92064;SAINT CLOUD;2150;12938;16.62
2015;92072;SEVRES;2321;9894;23.46
2002;92009;BOIS COLOMBES;1948;11903;16.37
2002;92012;BOULOGNE BILLANCOURT;5197;53945;9.63
2002;92019;CHATENAY MALABRY;5704;12100;47.14
2002;92020;CHATILLON;3168;13712;23.1
2002;92024;CLICHY;7689;26153;29.4
2002;92046;MALAKOFF;5305;13995;37.91
2002;92063;RUEIL MALMAISON;6270;31637;19.82
2003;92007;BAGNEUX;8014;15826;50.64
2003;92014;BOURG LA REINE;1310;8713;15.04
2003;92019;CHATENAY MALABRY;5794;12326;47.01
2003;92040;ISSY LES MOULINEAUX;6638;27244;24.36
2003;92077;VILLE D'AVRAY;145;4733;3.06
2004;92007;BAGNEUX;8073;15868;50.88
2004;92012;BOULOGNE BILLANCOURT;5738;54441;10.54
2004;92020;CHATILLON;3095;13756;22.5
2004;92025;COLOMBES;11025;33557;32.85
2004;92040;ISSY LES MOULINEAUX;6636;27218;24.38
2004;92049;MONTROUGE;4486;22517;19.92
2004;92051;NEUILLY SUR SEINE;757;29596;2.56
2004;92072;SEVRES;2329;9497;24.52
2004;92075;VANVES;2921;12741;22.93
2004;92076;VAUCRESSON;85;3519;2.42
2004;92077;VILLE D'AVRAY;145;4733;3.06
2005;92023;CLAMART;5283;21396;24.69
2005;92048;MEUDON;4835;19480;24.82
2005;92051;NEUILLY SUR SEINE;777;29539;2.63
2005;92060;LE PLESSIS ROBINSON;5002;10247;48.81
2005;92063;RUEIL MALMAISON;5829;32067;18.18
2006;92002;ANTONY;4590;24243;18.93
2006;92004;ASNIERES SUR SEINE;6228;36956;16.85
2006;92007;BAGNEUX;8116;15746;51.54
2006;92040;ISSY LES MOULINEAUX;7035;28205;24.94
2006;92044;LEVALLOIS PERRET;5114;29637;17.26
2006;92049;MONTROUGE;4928;22633;21.77
2006;92060;LE PLESSIS ROBINSON;5002;10402;48.09
2006;92072;SEVRES;2270;9514;23.86
2006;92078;VILLENEUVE LA GARENNE;5115;9209;55.54
2007;92007;BAGNEUX;8039;15738;51.08
2007;92009;BOIS COLOMBES;2292;12317;18.61
2007;92040;ISSY LES MOULINEAUX;7069;28724;24.61
2007;92044;LEVALLOIS PERRET;5127;30057;17.06
2007;92047;MARNES LA COQUETTE;30;601;4.99
2008;92023;CLAMART;5443;21454;25.37
2008;92033;GARCHES;1673;7719;21.67
2008;92035;LA GARENNE COLOMBES;1264;12729;9.93
2008;92060;LE PLESSIS ROBINSON;5120;11287;45.36
2008;92072;SEVRES;2278;9431;24.15
2008;92077;VILLE D'AVRAY;271;4731;5.73
2009;92025;COLOMBES;11180;34180;32.71
2009;92026;COURBEVOIE;8032;40165;20.0
2009;92033;GARCHES;1688;7830;21.56
2009;92071;SCEAUX;1070;8445;12.67
2010;92004;ASNIERES SUR SEINE;6445;37266;17.29
2010;92007;BAGNEUX;7975;15633;51.01
2010;92009;BOIS COLOMBES;2400;12553;19.12
2010;92020;CHATILLON;3180;14706;21.62
2010;92026;COURBEVOIE;8074;40127;20.12
2010;92033;GARCHES;1769;7907;22.37
2010;92062;PUTEAUX;6290;20524;30.65
2010;92064;SAINT CLOUD;1972;12729;15.49
2010;92072;SEVRES;2302;9607;23.96
2011;92025;COLOMBES;11304;34429;32.83
2011;92032;FONTENAY AUX ROSES;2639;9978;26.45
2011;92062;PUTEAUX;6284;20606;30.5
2011;92064;SAINT CLOUD;1991;12647;15.74
2011;92075;VANVES;2983;12664;23.55
2011;92076;VAUCRESSON;153;3565;4.29
2011;92077;VILLE D'AVRAY;400;4728;8.46
2012;92004;ASNIERES SUR SEINE;6996;37780;18.52
2012;92024;CLICHY;8874;27073;32.78
2012;92049;MONTROUGE;5095;24060;21.18
2012;92064;SAINT CLOUD;2047;12714;16.1
2012;92072;SEVRES;2302;9793;23.51
2012;92075;VANVES;2983;12606;23.66
2012;92077;VILLE D'AVRAY;509;4849;10.5
2013;92007;BAGNEUX;10759;16086;66.88
2013;92009;BOIS COLOMBES;2405;12545;19.17
2013;92019;CHATENAY MALABRY;6723;13289;50.59
2013;92026;COURBEVOIE;8835;39982;22.1
2013;92036;GENNEVILLIERS;11139;16910;65.87
2013;92040;ISSY LES MOULINEAUX;7167;29994;23.89
2013;92060;LE PLESSIS ROBINSON;5279;12302;42.91
2013;92071;SCEAUX;1813;8504;21.32
2013;92072;SEVRES;2302;9767;23.57
2013;92073;SURESNES;7605;20427;37.23
2013;92076;VAUCRESSON;269;3610;7.45
2014;92012;BOULOGNE BILLANCOURT;8159;58022;14.06
2014;92014;BOURG LA REINE;1565;8779;17.83
2014;92025;COLOMBES;11618;34757;33.43
2014;92046;MALAKOFF;5820;14099;41.28
2014;92060;LE PLESSIS ROBINSON;5117;12426;41.18
2014;92064;SAINT CLOUD;2150;12766;16.84
2014;92077;VILLE D'AVRAY;532;4969;10.71
2015;92014;BOURG LA REINE;1565;8903;17.58
2015;92022;CHAVILLE;2129;8978;23.71
2015;92036;GENNEVILLIERS;11658;17781;65.56
2015;92040;ISSY LES MOULINEAUX;7588;32068;23.66
2015;92044;LEVALLOIS PERRET;5853;30711;19.06
2015;92046;MALAKOFF;5855;14027;41.74
2015;92047;MARNES LA COQUETTE;82;636;12.89
2002;92004;ASNIERES SUR SEINE;6100;35425;17.22
2002;92023;CLAMART;5095;21016;24.24
2002;92026;COURBEVOIE;7677;37508;20.47
2002;92032;FONTENAY AUX ROSES;2395;10186;23.51
2002;92050;NANTERRE;17241;33164;51.99
2002;92064;SAINT CLOUD;1429;12225;11.69
2002;92072;SEVRES;2411;9485;25.42
2002;92075;VANVES;2868;12684;22.61
2002;92076;VAUCRESSON;85;3415;2.49
2002;92078;VILLENEUVE LA GARENNE;4801;8567;56.04
2003;92020;CHATILLON;3096;13662;22.66
2003;92022;CHAVILLE;1530;8260;18.52
2003;92025;COLOMBES;11109;32915;33.75
2003;92033;GARCHES;1659;7867;21.09
2003;92046;MALAKOFF;5320;13998;38.01
2003;92051;NEUILLY SUR SEINE;759;29488;2.57
2004;92009;BOIS COLOMBES;2022;11916;16.97
2004;92022;CHAVILLE;1530;8183;18.7
2004;92032;FONTENAY AUX ROSES;2397;10111;23.71
2004;92033;GARCHES;1656;7870;21.04
2004;92035;LA GARENNE COLOMBES;1236;12637;9.78
2004;92048;MEUDON;4898;19478;25.15
2004;92050;NANTERRE;18210;33940;53.65
2004;92062;PUTEAUX;6249;20248;30.86
2004;92064;SAINT CLOUD;1575;12326;12.78
2004;92071;SCEAUX;984;8641;11.39
2004;92078;VILLENEUVE LA GARENNE;4801;8990;53.4
2005;92014;BOURG LA REINE;1434;8451;16.97
2005;92022;CHAVILLE;1675;8406;19.93
2005;92025;COLOMBES;11042;33725;32.74
2005;92026;COURBEVOIE;7673;39503;19.42
2005;92047;MARNES LA COQUETTE;30;605;4.96
2005;92050;NANTERRE;18572;33986;54.65
2005;92073;SURESNES;7302;18886;38.66
2006;92020;CHATILLON;3237;14396;22.49
2006;92026;COURBEVOIE;7962;40217;19.8
2006;92033;GARCHES;1650;7660;21.54
2006;92047;MARNES LA COQUETTE;30;598;5.02
2006;92048;MEUDON;4931;19485;25.31
2006;92063;RUEIL MALMAISON;5886;32235;18.26
2006;92077;VILLE D'AVRAY;191;4696;4.07
2007;92025;COLOMBES;11287;33578;33.61
2007;92032;FONTENAY AUX ROSES;2538;9948;25.51
2007;92035;LA GARENNE COLOMBES;1254;12680;9.89
2007;92036;GENNEVILLIERS;10723;16501;64.98
2007;92048;MEUDON;5018;19629;25.56
2007;92062;PUTEAUX;6166;20050;30.75
2007;92071;SCEAUX;983;8559;11.48
2008;92002;ANTONY;4745;24626;19.27
2008;92004;ASNIERES SUR SEINE;6241;36870;16.93
2008;92019;CHATENAY MALABRY;6266;12608;49.7
2008;92020;CHATILLON;3159;14704;21.48
2008;92026;COURBEVOIE;8033;40123;20.02
2008;92046;MALAKOFF;5546;14099;39.34
2008;92049;MONTROUGE;5072;23130;21.93
2008;92076;VAUCRESSON;139;3536;3.93
2008;92078;VILLENEUVE LA GARENNE;5115;8997;56.85
2009;92004;ASNIERES SUR SEINE;6417;36958;17.36
2009;92009;BOIS COLOMBES;2400;12665;18.95
2009;92019;CHATENAY MALABRY;6266;13008;48.17
2009;92022;CHAVILLE;1665;8366;19.9
2009;92023;CLAMART;5570;21836;25.51
2009;92024;CLICHY;8517;26877;31.69
2009;92035;LA GARENNE COLOMBES;1289;12837;10.04
2009;92048;MEUDON;5118;19813;25.83
2009;92077;VILLE D'AVRAY;282;4752;5.93
2010;92019;CHATENAY MALABRY;6273;13000;48.25
2010;92024;CLICHY;8623;27013;31.92
2010;92032;FONTENAY AUX ROSES;2552;10043;25.41
2010;92040;ISSY LES MOULINEAUX;7178;29651;24.21
2011;92002;ANTONY;4792;25010;19.16
2011;92007;BAGNEUX;8109;15804;51.31
2011;92019;CHATENAY MALABRY;6273;12955;48.42
2011;92022;CHAVILLE;1923;8527;22.55
2011;92047;MARNES LA COQUETTE;39;593;6.58
2011;92048;MEUDON;5267;19951;26.4
2011;92060;LE PLESSIS ROBINSON;5285;12172;43.42
2011;92063;RUEIL MALMAISON;6566;32627;20.12
2012;92023;CLAMART;5813;22163;26.23
2012;92062;PUTEAUX;6283;20800;30.21
2012;92078;VILLENEUVE LA GARENNE;5034;8884;56.66
2013;92012;BOULOGNE BILLANCOURT;7965;57453;13.86
2013;92033;GARCHES;1832;8017;22.85
2013;92050;NANTERRE;20091;35847;56.05
2013;92051;NEUILLY SUR SEINE;1435;30448;4.71
2013;92062;PUTEAUX;6283;20906;30.05
2013;92075;VANVES;3008;12823;23.46
2014;92002;ANTONY;5320;25946;20.5
2014;92032;FONTENAY AUX ROSES;4265;10015;42.59
2014;92035;LA GARENNE COLOMBES;1675;13456;12.45
2014;92036;GENNEVILLIERS;11424;17388;65.7
2014;92047;MARNES LA COQUETTE;82;625;13.12
2014;92073;SURESNES;7571;20852;36.31
2014;92076;VAUCRESSON;269;3611;7.45
2014;92078;VILLENEUVE LA GARENNE;4901;9076;54.0
2015;92004;ASNIERES SUR SEINE;8033;38174;21.04
2015;92007;BAGNEUX;10809;16226;66.62
2015;92012;BOULOGNE BILLANCOURT;8216;58064;14.15
2015;92020;CHATILLON;3868;15968;24.22
2015;92035;LA GARENNE COLOMBES;1622;13738;11.81
2002;92025;COLOMBES;11053;32674;33.83
2002;92036;GENNEVILLIERS;10589;16542;64.01
2002;92044;LEVALLOIS PERRET;5165;29177;17.7
2002;92047;MARNES LA COQUETTE;30;594;5.05
2002;92048;MEUDON;4507;19111;23.58
2002;92049;MONTROUGE;4644;21519;21.58
2002;92051;NEUILLY SUR SEINE;684;29305;2.33
2002;92071;SCEAUX;1076;8554;12.58
2003;92012;BOULOGNE BILLANCOURT;5338;54479;9.8
2003;92036;GENNEVILLIERS;10560;16760;63.01
2003;92047;MARNES LA COQUETTE;30;596;5.03
2003;92048;MEUDON;4907;19392;25.3
2003;92050;NANTERRE;17905;33297;53.77
2003;92062;PUTEAUX;6288;19990;31.46
2003;92063;RUEIL MALMAISON;6270;31637;19.82
2003;92064;SAINT CLOUD;1466;12184;12.03
2003;92072;SEVRES;2329;9551;24.38
2003;92078;VILLENEUVE LA GARENNE;4801;8850;54.25
2004;92004;ASNIERES SUR SEINE;6126;36764;16.66
2004;92019;CHATENAY MALABRY;5880;12514;46.99
2004;92023;CLAMART;5190;21248;24.43
2004;92044;LEVALLOIS PERRET;5252;29024;18.1
2004;92047;MARNES LA COQUETTE;30;598;5.02
2004;92063;RUEIL MALMAISON;6481;31846;20.35
2005;92002;ANTONY;4735;24263;19.52
2005;92007;BAGNEUX;8120;15832;51.29
2005;92009;BOIS COLOMBES;2204;12067;18.26
2005;92012;BOULOGNE BILLANCOURT;5972;54383;10.98
2005;92020;CHATILLON;3185;14140;22.52
2005;92024;CLICHY;8017;26689;30.04
2005;92035;LA GARENNE COLOMBES;1256;12593;9.97
