dateReferentiel	route	longueur	prD	depPrD	concessionPrD	absD	cumulD	xD	yD	zD	prF	depPrF	concessionPrF	absF	cumulF	xF	yF	zF	anneeMesureTrafic	typeComptageTrafic	TMJA	RatioPL
2012-01-01	A0001	2380	0	93	N	0	0	653006,6	6867037,55	0	2	93	N	400	2380	652899,42	6869409,49	0	2012	Permanent horaire	195100	
2012-01-01	A0001	51,4	2	93	N	400	2380	652899,42	6869409,49	0	2	93	N	451,4	2431,4	652896,92	6869460,65	0	2012	Permanent horaire	134000	
2012-01-01	A0001	791,2	2	93	N	451,4	2431,4	652896,92	6869460,65	0	3	93	N	245,6	3222,6	653173,98	6870094,79	0	2012	Permanent horaire	134000	
2012-01-01	A0001	404,4	3	93	N	245,6	3222,6	653173,98	6870094,79	0	3	93	N	650	3627	653552,97	6870234,42	0	2012	Permanent horaire	134000	
2012-01-01	A0001	460	3	93	N	650	3627	653552,97	6870234,42	0	4	93	N	100	4087	653980,05	6870405,69	0	2012	Permanent horaire	134000	
2012-01-01	A0001	356,4	4	93	N	100	4087	653980,05	6870405,69	0	4	93	N	456,4	4443,4	654318,49	6870519,59	0	2012	Permanent horaire	134000	
2012-01-01	A0001	233,6	4	93	N	456,4	4443,4	654318,49	6870519,59	0	4	93	N	690	4677	654547,05	6870570,75	0	2012	Permanent horaire	134000	
2012-01-01	A0001	210	4	93	N	690	4677	654547,05	6870570,75	0	4	93	N	900	4887	654756,08	6870595,85	0	2012	Permanent horaire	134000	
2012-01-01	A0001	2018	4	93	N	900	4887	654756,08	6870595,85	0	6	93	N	900	6905	656726,57	6870935	0	2012	Permanent horaire	123200	
2012-01-01	A0001	102	6	93	N	900	6905	656726,57	6870935	0	7	93	N	0	7007	656822,64	6870968,37	0	2012	Permanent horaire	170305	
2012-01-01	A0001	1700	7	93	N	0	7007	656822,64	6870968,37	0	8	93	N	700	8707	658431,5	6871533,03	0	2012	Permanent horaire	170305	
2012-01-01	A0001	2605	8	93	N	700	8707	658431,5	6871533,03	0	11	93	N	300	11312	660506,36	6873091,67	0	2012	Permanent horaire	177521	
2012-01-01	A0001	891	11	93	N	300	11312	660506,36	6873091,67	0	12	93	N	200	12203	661187,1	6873671,24	0	2012	Permanent horaire	122537	
2012-01-01	A0001	400	12	93	N	200	12203	661187,1	6873671,24	0	12	93	N	600	12603	661472,38	6873954,21	0	2012	Permanent horaire	122537	
2012-01-01	A0001	802	12	93	N	600	12603	661472,38	6873954,21	0	0	95	N	0	13405	662045,66	6874523,29	0	2012	Permanent horaire	92730	
2012-01-01	A0001	580	0	95	N	0	13405	662045,66	6874523,29	0	14	95	N	0	13985	662454,63	6874929,45	0	2012	Temporaire journalier	0	
2012-01-01	A0001	4880	14	95	N	0	13985	662454,63	6874929,45	0	18	95	N	870	18865	665424,47	6878725,87	0	2012	Permanent horaire	97955	
2012-01-01	A0001	60	18	95	N	870	18865	665424,47	6878725,87	0	18	95	N	930	18925	665444,29	6878782,2	0				
2012-01-01	A0001	1569	18	95	N	930	18925	665444,29	6878782,2	0	20	95	C	499	20494	665966,61	6880317,6	0				
2012-01-01	A0001	242	20	95	C	499	20494	665966,61	6880317,6	0	20	95	C	741	20736	666035,68	6880520,91	0	2012	Permanent horaire	97103	15,8
2012-01-01	A0001	7132	20	95	C	741	20736	666035,68	6880520,91	0	27	95	C	873	27868	667209,16	6887482,91	0	2012	Permanent horaire	97103	15,8
2012-01-01	A0001	2777	27	95	C	873	27868	667209,16	6887482,91	0	30	95	C	650	30645	667345,96	6890249,01	0	2012	Permanent horaire	84604	16,9
2012-01-01	A0001	1610	30	95	C	650	30645	667345,96	6890249,01	0	32	60	C	260	32255	667686,98	6891811,72	0	2012	Permanent horaire	84604	16,9
2012-01-01	A0001	10166	32	60	C	260	32255	667686,98	6891811,72	0	42	60	C	426	42421	671659,18	6900723,98	0	2012	Permanent horaire	82040	17,4
2012-01-01	A0001	1694	42	60	C	426	42421	671659,18	6900723,98	0	44	60	C	120	44115	672898,32	6901829,46	0	2012	Permanent horaire	58898	21,3
2012-01-01	A0001	13620	44	60	C	120	44115	672898,32	6901829,46	0	57	60	C	740	57735	677266,69	6913453,96	0	2012	Permanent horaire	64068	21,5
2012-01-01	A0001	8733	57	60	C	740	57735	677266,69	6913453,96	0	66	60	C	473	66468	678037,69	6921956,81	0	2012	Permanent horaire	56985	22,7
2012-01-01	A0001	14075	66	60	C	473	66468	678037,69	6921956,81	0	80	60	C	548	80543	679798,6	6935804,41	0	2012	Permanent horaire	53671	23,5
2012-01-01	A0001	11468	80	60	C	548	80543	679798,6	6935804,41	0	92	60	C	16	92011	682330,82	6946951,22	0	2012	Permanent horaire	53879	23,3
2012-01-01	A0001	9286	92	60	C	16	92011	682330,82	6946951,22	0	101	80	C	302	101297	683521,06	6956096,26	0	2012	Permanent horaire	53879	23,3
2012-01-01	A0001	17216	101	80	C	302	101297	683521,06	6956096,26	0	118	80	C	518	118513	687952,35	6972646,77	0	2012	Permanent horaire	51366	23,9
2012-01-01	A0001	2964	118	80	C	518	118513	687952,35	6972646,77	0	121	80	C	482	121477	688279,75	6975587,31	0	2012	Permanent horaire	61181	23
2012-01-01	A0001	10318	121	80	C	482	121477	688279,75	6975587,31	0	131	80	C	800	131795	690053,14	6985652,09	0	2012	Permanent horaire	61324	23,7
2012-01-01	A0001	4966	131	80	C	800	131795	690053,14	6985652,09	0	136	80	C	766	136761	691300,52	6990418,63	0	2012	Permanent horaire	61863	23,5
2012-01-01	A0001	2220	136	80	C	766	136761	691300,52	6990418,63	0	138	80	C	986	138981	691699,49	6992566,8	0	2012	Permanent horaire	40438	24,8
2012-01-01	A0001	7891	138	80	C	986	138981	691699,49	6992566,8	0	146	62	C	877	146872	690810,76	7000322,77	0	2012	Permanent horaire	40438	24,8
2012-01-01	A0001	19107	146	62	C	877	146872	690810,76	7000322,77	0	165	62	C	984	165979	690625,13	7019077,94	0	2012	Permanent horaire	41788	24,5
2012-01-01	A0001	4322	165	62	C	984	165979	690625,13	7019077,94	0	170	62	C	306	170301	692250,13	7023082,35	0	2012	Permanent horaire	42939	24,7
2012-01-01	A0001	1122	170	62	C	306	170301	692250,13	7023082,35	0	171	62	C	428	171423	692832,96	7024037,56	0	2012	Permanent horaire	43951	24,1
2012-01-01	A0001	2638	171	62	C	428	171423	692832,96	7024037,56	0	174	62	C	66	174061	694381,42	7026172,83	0	2012	Permanent horaire	43951	24,1
2012-01-01	A0001	8134	174	62	C	66	174061	694381,42	7026172,83	0	182	62	C	200	182195	698748,69	7032817,59	0	2012	Permanent horaire	68525	
2012-01-01	A0001	841	182	62	C	200	182195	698748,69	7032817,59	0	183	62	C	41	183036	698814,6	7033658,95	0				
2012-01-01	A0001	190	183	62	C	41	183036	698814,6	7033658,95	0	183	62	C	231	183226	698831,14	7033865,91	0				
2012-01-01	A0001	2794	183	62	C	231	183226	698831,14	7033865,91	0	186	62	C	25	186020	698762,05	7036710,86	0				
2012-01-01	A0001	891	186	62	C	25	186020	698762,05	7036710,86	0	187	62	N	0	186911	698351,8	7037530,5	0	2012	Permanent horaire	103844	12,7
2012-01-01	A0001	6438	187	62	N	0	186911	698351,8	7037530,5	0	0	59	N	0	193349	699289,39	7043597,96	0	2012	Permanent horaire	107812	17,2
2012-01-01	A0001	7890	0	59	N	0	193349	699289,39	7043597,96	0	201	59	N	315	201239	703970,47	7049723,23	0	2012	Permanent horaire	99706	
2012-01-01	A0001	5079,2	201	59	N	315	201239	703970,47	7049723,23	0	206	59	N	400,2	206318,2	706500,59	7054131,26	0	2012	Permanent horaire	139636	
2012-01-01	A0001	1004,8	206	59	N	400,2	206318,2	706500,59	7054131,26	0	207	59	N	406	207323	707029,94	7054987,59	0	2012	Permanent horaire	139636	
2012-01-01	A0001	959	207	59	N	406	207323	707029,94	7054987,59	0	208	59	N	350	208282	707338,16	7055874,46	0	2012	Permanent horaire	139636	
