org;adr;dep;com;gps;lat;long;catr;voie;v1;v2;pr;pr1;ttue;tbg;tbl;tindm;typenumero;numero;distancemetre;libellevoie;coderivoli;grav
1;;971;111;A;0;0;;;;;;;0;0;1;0;;;;;;0,44
1;;971;109;A;0;0;;;;;;;0;0;1;4;;;;;;0,44
1;5 RUE L.C. FLEMMING;971;127;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;125;A;0;0;;;;;;;0;0;1;2;;;;;;0,44
1;;971;128;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;128;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;103;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;, VICTOR HUGUES (RUE);971;105;;;;;;;;;;0;0;1;2;;;;;;0,44
5;04, RN4 - SECTION RIVIER;971;113;;;;;;;;;;0;0;1;1;1;4;0;RN4 - SECTION RIVIERA;;0,44
1;Bourg-;971;109;A;0;0;;;;;;;0;0;1;0;;;;;;0,44
1;;971;109;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;PAUL LACAVE (AVENUE );971;105;;;;;;;;;;0;0;1;1;;;;;;0,44
5;CITE GRAIN D'OR;971;105;;;;;;;;;;0;0;1;1;;;;;;0,44
5;33, DELGRES ( BOULEVARD;971;107;;;;;;;;;;0;0;1;1;2;0;0;DELGRES ( BOULEVARD );;0,44
5;04, MARINA (ZONE COMMERC;971;120;;;;;;;;;;0;0;1;0;1;4;0;MARINA (ZONE COMMERCIALE);;0,44
5;00, GRAND CAMP(SECTION);971;101;;;;;;;;;;0;0;1;1;1;0;0;GRAND CAMP(SECTION);;0,44
5;00, DUBOUCHAGE;971;120;;;;;;;;;;0;0;1;1;1;0;0;DUBOUCHAGE;;0,44
5;00, BOISRIPEAUX;971;101;;;;;;;;;;0;0;1;2;1;0;0;BOISRIPEAUX;;0,44
5;05, MORNE VERGAIN;971;101;;;;;;;;;;0;0;1;1;1;5;0;MORNE VERGAIN;;0,44
1;;971;134;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;rue Charles  GABRIEL;971;129;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;ROUTE DU CALVAIRE;971;110;A;0;0;;;;;;;0;0;1;2;;;;;;0,44
1;ROUTE NATIONALE 5;971;117;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;125;A;0;0;;;;;;;0;0;1;3;;;;;;0,44
1;;971;128;A;0;0;;;;;;;0;0;1;0;;;;;;0,44
5;RN2;971;105;;;;;;;;;;0;0;1;1;;;;;;0,44
5;LEOPOLD DORVAL ( RUE );971;140;;;;;;;;;;0;0;1;0;2;0;0;LEOPOLD DORVAL ( RUE );;0,44
5;04, RN4 - SECTION RIVIER;971;113;;;;;;;;;;0;0;1;1;1;4;0;RN4 - SECTION RIVIERA;;0,44
5;102, ROUTE DE BOISVINS;971;101;;;;;;;;;;0;0;1;2;1;102;0;ROUTE DE BOISVINS;;0,44
5;00, RN1 ROCADE DE CHAUVE;971;101;;;;;;;;;;0;0;1;1;1;1;0;RN1 ROCADE DE CHAUVEL;;0,44
5;00, BOISRIPEAUX;971;101;;;;;;;;;;0;0;1;1;1;0;0;BOISRIPEAUX;;0,44
5;00, PONT DE POUCET;971;113;;;;;;;;;;0;0;1;2;1;0;0;PONT DE POUCET;;0,44
5;RN5, RN5-BOISRIPEAUX;971;101;;;;;;;;;;0;0;1;1;1;;0;RN5-BOISRIPEAUX;;0,44
5;00, ROUTE DE BOISVINS;971;101;;;;;;;;;;0;0;1;1;1;0;0;ROUTE DE BOISVINS;;0,44
5;00, ROUTE DE PERINET-RD;971;113;;;;;;;;;;0;0;1;2;1;0;0;ROUTE DE PERINET-RD 119;;0,44
5;00, UNIVERSITE FOUILLOLE;971;120;;;;;;;;;;0;0;1;1;1;0;0;UNIVERSITE FOUILLOLE;;0,44
1;vallée de Beaugendre;971;134;A;0;0;;;;;;;0;0;1;3;;;;;;0,44
1;FROMAGER;971;106;A;0;0;;;;;;;0;0;1;2;;;;;;0,44
1;rue de hollande;971;127;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;Route de St François;971;117;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;128;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;103;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;Route de Cul de Sac;971;127;A;0;0;;;;;;;0;0;1;2;;;;;;0,44
5;LACROIX;971;101;;;;;;;;;;0;0;1;1;1;0;0;LACROIX;;0,44
5;RN5-BOISRIPEAUX;971;101;;;;;;;;;;0;0;1;1;1;;0;BOISRIPEAUX;;0,44
5;00, PERRIN (SECTEUR);971;101;;;;;;;;;;0;0;1;1;1;0;0;VIEUX BOURG;;0,44
5;RN4, RN4 - SECTION RIVIE;971;113;;;;;;;;;;0;0;1;1;1;;0;RN4 - SECTION RIVIERA;;0,44
5;RN4, GRAND BAIE ( RN4);971;113;;;;;;;;;;0;0;1;2;1;;0;GRAND BAIE ( RN4);;0,44
1;;971;106;A;0;0;;;;;;;0;0;1;3;;;;;;0,44
1;SAPOTILLE;971;132;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;115;A;0;0;;;;;;;0;0;1;2;;;;;;0,44
1;;971;112;A;0;0;;;;;;;0;0;1;2;;;;;;0,44
1;;971;128;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;116;A;0;0;;;;;;;0;0;1;0;;;;;;0,44
1;;971;116;A;0;0;;;;;;;0;0;1;0;;;;;;0,44
5;00, RN4 - SECTION RIVIER;971;113;;;;;;;;;;0;0;1;2;1;;0;RN4 - SECTION RIVIERA;;0,44
5;RD129, PETIT PEROU;971;101;;;;;;;;;;0;0;1;1;1;;0;PETIT PEROU;;0,44
5;GAMBETTA ( RUE );971;107;;;;;;;;;;0;0;1;1;;;;;;0,44
5;00, HANNE (BOULEVARD);971;120;;;;;;;;;;0;0;1;1;1;0;0;HANNE (BOULEVARD);;0,44
5;00, RUE EUVREMONT GENE;971;120;;;;;;;;;;0;0;1;1;1;0;0;RUE EUVREMONT GENE;;0,44
5;00, BOISRIPEAUX;971;101;;;;;;;;;;0;0;1;1;1;0;0;BOISRIPEAUX;;0,44
5;00, ROUTE DES ABYMES;971;101;;;;;;;;;;0;0;1;1;1;0;0;ROUTE DES ABYMES;;0,44
5;RN5-BOISRIPEAUX;971;101;;;;;;;;;;0;0;1;2;1;;0;RN5-BOISRIPEAUX;;0,44
1;;971;124;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;cité latanier;971;114;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;114;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;résidence coconut;971;127;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;ROUTE DE SAINT LOUIS;971;127;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;SECTION LE DESERT;971;110;A;0;0;;;;;;;0;0;1;0;;;;;;0,44
1;;971;128;A;0;0;;;;;;;0;0;1;0;;;;;;0,44
1;BOULEVARD IBENE;971;128;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;116;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;Route Nationale 7;971;127;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;PAUL LACAVE ( AVENUE );971;107;;;;;;;;;;0;0;1;1;2;0;0;PAUL LACAVE ( AVENUE );;0,44
5;CHAZEAU;971;101;;;;;;;;;;0;0;1;1;1;0;0;CHAZEAU;;0,44
5;00, MORNE VERGAIN;971;101;;;;;;;;;;0;0;1;1;1;0;0;MORNE VERGAIN;;0,44
5;LE RAIZET(SECTEUR);971;101;;;;;;;;;;0;0;1;1;1;;0;LE RAIZET(SECTEUR);;0,44
5;00, MORTENOL;971;120;;;;;;;;;;0;0;1;1;1;;0;BAIMBRIDGE (ROUTE DE);;0,44
1;"RN.3 ""Bonneterre""";971;124;A;0;0;;;;;;;0;0;1;2;;;;;;0,44
1;;971;110;A;0;0;;;;;;;0;0;1;0;;;;;;0,44
1;;971;117;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;117;A;0;0;;;;;;;0;0;1;0;;;;;;0,44
5;51, EMBOUCHURE ( RUE DE;971;107;;;;;;;;;;0;0;1;1;1;51;0;EMBOUCHURE ( RUE DE L' );;0,44
5;GENERAL DE GAULLE (AVENU;971;113;;;;;;;;;;0;0;1;1;2;119;0;GENERAL DE GAULLE (AVENUE);;0,44
5;RN5, CREPS ANTILLES GUYA;971;101;;;;;;;;;;0;0;1;1;1;;0;CREPS ANTILLES GUYANE;;0,44
5;SECTION MARE-GAILLARD;971;113;;;;;;;;;;0;0;1;2;1;0;0;SECTION MARE-GAILLARD;;0,44
5;RN4, SECTION MARE-GAILLA;971;113;;;;;;;;;;0;0;1;1;1;;0;SECTION MARE-GAILLARD;;0,44
5;ROUTE DE BOISVINS;971;101;;;;;;;;;;0;0;1;3;1;;0;ROUTE DE BOISVINS;;0,44
5;RN4 - SECTION RIVIERA;971;113;;;;;;;;;;0;0;1;1;1;0;0;RN4 - SECTION RIVIERA;;0,44
1;;971;118;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;Bragelogne;971;125;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;128;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;RN 5 bourg;971;116;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;VOIE PRINCIPALE;971;103;A;0;0;;;;;;;0;0;1;4;;;;;;0,44
1;;971;103;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;GENERAL DE GAULLE (AVENU;971;113;;;;;;;;;;0;0;1;1;1;0;0;GENERAL DE GAULLE (AVENUE);;0,44
1;;971;134;A;0;0;;;;;;;0;0;1;6;;;;;;0,44
1;;971;125;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;128;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;116;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
