Quarterly;;;;Year/Année 2000;;;;Year/Année 2001;;;;Year/Année 2002;;;;Year/Année 2003;;;;Year/Année 2004;;;;Year/Année 2005;;;;Year/Année 2006;;;;Year/Année 2007;;;;Year/Année 2008;;;;Year/Année 2009;;;;Year/Année 2010;;;;Year/Année 2011;;;;Year/Année 2012;;;;Year/Année 2013;;;;Year/Année 2014;;;;Year/Année 2015;;;;Year/Année 2016;;;;Year/Année 2017;;;;Year/Année 2018;;;
;;;;Q1 2000;Q2 2000;Q3 2000;Q4 2000;Q1 2001;Q2 2001;Q3 2001;Q4 2001;Q1 2002;Q2 2002;Q3 2002;Q4 2002;Q1 2003;Q2 2003;Q3 2003;Q4 2003;Q1 2004;Q2 2004;Q3 2004;Q4 2004;Q1 2005;Q2 2005;Q3 2005;Q4 2005;Q1 2006;Q2 2006;Q3 2006;Q4 2006;Q1 2007;Q2 2007;Q3 2007;Q4 2007;Q1 2008;Q2 2008;Q3 2008;Q4 2008;Q1 2009;Q2 2009;Q3 2009;Q4 2009;Q1 2010;Q2 2010;Q3 2010;Q4 2010;Q1 2011;Q2 2011;Q3 2011;Q4 2011;Q1 2012;Q2 2012;Q3 2012;Q4 2012;Q1 2013;Q2 2013;Q3 2013;Q4 2013;Q1 2014;Q2 2014;Q3 2014;Q4 2014;Q1 2015;Q2 2015;Q3 2015;Q4 2015;Q1 2016;Q2 2016;Q3 2016;Q4 2016;Q1 2017;Q2 2017;Q3 2017;Q4 2017;Q1 2018;Q2 2018;Q3 2018;Q4 2018
;;;;T1 2000;T2 2000;T3 2000;T4 2000;T1 2001;T2 2001;T3 2001;T4 2001;T1 2002;T2 2002;T3 2002;T4 2002;T1 2003;T2 2003;T3 2003;T4 2003;T1 2004;T2 2004;T3 2004;T4 2004;T1 2005;T2 2005;T3 2005;T4 2005;T1 2006;T2 2006;T3 2006;T4 2006;T1 2007;T2 2007;T3 2007;T4 2007;T1 2008;T2 2008;T3 2008;T4 2008;T1 2009;T2 2009;T3 2009;T4 2009;T1 2010;T2 2010;T3 2010;T4 2010;T1 2011;T2 2011;T3 2011;T4 2011;T1 2012;T2 2012;T3 2012;T4 2012;T1 2013;T2 2013;T3 2013;T4 2013;T1 2014;T2 2014;T3 2014;T4 2014;T1 2015;T2 2015;T3 2015;T4 2015;T1 2016;T2 2016;T3 2016;T4 2016;T1 2017;T2 2017;T3 2017;T4 2017;T1 2018;T2 2018;T3 2018;T4 2018
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I. Indicators of networks - raw series;;Suivi des parcs de cartes SIM dans les départements et collectivtés de l'outremer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOBILE SERVICES;;ENSEMBLE DES DEPARTEMENTS D'OUTREMER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of SIM cards (MtoM cards excluded);Millions of units;Nombre d'abonnements et forfaits (hors MtoM);Millions d'unités;;;;;;;;;;;;;;;;;;;;;;;;;0,829;0,853;0,879;0,915;0,938;0,966;0,990;1,038;1,068;1,078;1,095;1,129;1,153;1,171;1,184;1,204;1,218;1,226;1,246;1,267;1,283;1,297;1,306;1,337;1,351;1,361;1,376;1,299;1,316;1,328;1,331;1,355;1,362;1,370;1,385;1,407;1,388;1,406;1,411;1,432;1,442;1,454;1,473;1,496;1,509;1,520;1,529;1,555;1,570;1,583;;
Prepaid cards;Millions of units;Nombre de cartes prépayées;Millions d'unités;;;;;;;;;;;;;;;;;;;;;;;;;0,858;0,866;0,932;0,969;0,999;0,990;1,003;1,050;1,059;1,068;1,101;1,153;1,145;1,150;1,169;1,177;1,169;1,179;1,187;1,230;1,252;1,267;1,305;1,317;1,311;1,312;1,315;1,349;1,349;1,337;1,366;1,392;1,383;1,353;1,321;1,298;1,295;1,268;1,262;1,235;1,176;1,141;1,114;1,106;1,115;1,101;1,079;1,052;1,037;1,018;;
of which active prepaid cards ;Millions of units;dont cartes prépayées actives;Millions d'unités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,827;0,844;0,861;0,933;0,913;0,898;0,929;0,927;0,957;0,939;0,958;0,989;0,957;0,958;0,977;1,013;1,004;0,992;1,013;1,013;1,002;0,990;0,997;1,001;0,990;0,962;0,974;0,993;0,992;0,970;0,970;0,945;0,922;0,902;0,899;0,915;0,905;0,877;0,866;0,868;0,852;0,834;0,800;0,810;0,794;0,767;;
Total number of SIM cards (MtoM cards excluded);Millions of units;Total cartes SIM (hors cartes MtoM) ;Millions d'unités;;;;;;;;;;;;;;;;;;;;;;;;;1,686;1,718;1,811;1,884;1,937;1,956;1,993;2,088;2,126;2,146;2,196;2,282;2,298;2,321;2,353;2,382;2,387;2,405;2,433;2,498;2,535;2,564;2,611;2,654;2,661;2,673;2,691;2,648;2,649;2,647;2,677;2,727;2,725;2,703;2,685;2,684;2,683;2,675;2,673;2,667;2,617;2,595;2,587;2,602;2,624;2,622;2,608;2,607;2,608;2,601;;
