dateReferentiel	route	longueur	prD	depPrD	concessionPrD	absD	cumulD	xD	yD	zD	prF	depPrF	concessionPrF	absF	cumulF	xF	yF	zF	anneeMesureTrafic	TypeComptageTrafic	TMJA	RatioPL
2014-01-01	A0001	2380	0	93	N	0	0	653006,6	6867037,55	0	2	93	N	400	2380	652899,42	6869409,49	0	2014	Permanent horaire	182791	
2014-01-01	A0001	51,4	2	93	N	400	2380	652899,42	6869409,49	0	2	93	N	451,4	2431,4	652896,92	6869460,65	0	2014	Permanent horaire	134000	
2014-01-01	A0001	791,2	2	93	N	451,4	2431,4	652896,92	6869460,65	0	3	93	N	245,6	3222,6	653173,98	6870094,79	0	2014	Permanent horaire	134000	
2014-01-01	A0001	404,4	3	93	N	245,6	3222,6	653173,98	6870094,79	0	3	93	N	650	3627	653552,97	6870234,42	0	2014	Permanent horaire	134000	
2014-01-01	A0001	460	3	93	N	650	3627	653552,97	6870234,42	0	4	93	N	100	4087	653980,05	6870405,69	0	2014	Permanent horaire	134000	
2014-01-01	A0001	356,4	4	93	N	100	4087	653980,05	6870405,69	0	4	93	N	456,4	4443,4	654318,49	6870519,59	0	2014	Permanent horaire	134000	
2014-01-01	A0001	233,6	4	93	N	456,4	4443,4	654318,49	6870519,59	0	4	93	N	690	4677	654547,05	6870570,75	0	2014	Permanent horaire	134000	
2014-01-01	A0001	210	4	93	N	690	4677	654547,05	6870570,75	0	4	93	N	900	4887	654756,08	6870595,85	0	2014	Permanent horaire	134000	
2014-01-01	A0001	2018	4	93	N	900	4887	654756,08	6870595,85	0	6	93	N	900	6905	656726,57	6870935	0	2014	Permanent horaire	123200	
2014-01-01	A0001	102	6	93	N	900	6905	656726,57	6870935	0	7	93	N	0	7007	656822,64	6870968,37	0	2014	Permanent horaire	172939	
2014-01-01	A0001	1700	7	93	N	0	7007	656822,64	6870968,37	0	8	93	N	700	8707	658431,5	6871533,03	0	2014	Permanent horaire	172939	
2014-01-01	A0001	2605	8	93	N	700	8707	658431,5	6871533,03	0	11	93	N	300	11312	660506,36	6873091,67	0	2014	Permanent horaire	177500	
2014-01-01	A0001	891	11	93	N	300	11312	660506,36	6873091,67	0	12	93	N	200	12203	661187,1	6873671,24	0	2014	Permanent horaire	122500	
2014-01-01	A0001	400	12	93	N	200	12203	661187,1	6873671,24	0	12	93	N	600	12603	661472,38	6873954,21	0	2014	Permanent horaire	122500	
2014-01-01	A0001	802	12	93	N	600	12603	661472,38	6873954,21	0	0	95	N	0	13405	662045,66	6874523,29	0	2014	Permanent horaire	92700	
2014-01-01	A0001	580	0	95	N	0	13405	662045,66	6874523,29	0	0	95	N	580	13985	662454,63	6874929,45	0				
2014-01-01	A0001	4940	14	95	N	0	13985	662454,63	6874929,45	0	18	95	N	930	18925	665444,29	6878782,2	0	2014	Permanent horaire	90600	
2014-01-01	A0001	1569	18	95	N	930	18925	665444,29	6878782,2	0	20	95	C	499	20494	665966,61	6880317,6	0				
