dateReferentiel	route	longueur	prD	depPrD	concessionPrD	absD	cumulD	xD	yD	zD	prF	depPrF	concessionPrF	absF	cumulF	xF	yF	zF	anneeMesureTrafic	typeComptageTrafic	TMJA	RatioPL
2007-01-01	A0001	2380	0	93	N	0	0	652756,62	6866967,47	0	2	93	N	400	2380	652892,36	6869237,65	0	2007	Permanent horaire	190467	
2007-01-01	A0001	1707	2	93	N	400	2380	652892,36	6869237,65	0	4	93	N	100	4087	653846,05	6870358,24	0	2007	Permanent horaire		
2007-01-01	A0001	800	4	93	N	100	4087	653846,05	6870358,24	0	4	93	N	900	4887	654625,74	6870585	0	2007	Permanent horaire		
2007-01-01	A0001	2018	4	93	N	900	4887	654625,74	6870585	0	6	93	N	900	6905	656637,71	6870912,61	0	2007	Permanent horaire	117823	
2007-01-01	A0001	1802	6	93	N	900	6905	656637,71	6870912,61	0	8	93	N	700	8707	658369,29	6871516,74	0	2007	Permanent horaire	179234	
2007-01-01	A0001	2605	8	93	N	700	8707	658369,29	6871516,74	0	11	93	N	300	11312	660490,93	6873088,63	0	2007	Permanent horaire	163740	
2007-01-01	A0001	1291	11	93	N	300	11312	660490,93	6873088,63	0	12	93	N	600	12603	661464,84	6873961,16	0	2007	Permanent horaire		
2007-01-01	A0001	802	12	93	N	600	12603	661464,84	6873961,16	0	13	93	N	401	13405	662043,31	6874528,71	0	2007	Permanent horaire	92293	
2007-01-01	A0001	580	0	95	N	0	13405	662032,12	6874517,27	0	0	95	N	580	13985	662437,87	6874932,36	0	2007	Temporaire journalier		
2007-01-01	A0001	4880	14	95	N	0	13985	662437,87	6874932,36	0	18	95	N	870	18865	665399,91	6878762,49	0	2007	Permanent horaire	95148	
2007-01-01	A0001	1629	18	95	N	870	18865	665399,91	6878762,49	0	20	95	C	499	20494	665939	6880301,68	0	2007	Permanent horaire	95523	17,2
2007-01-01	A0001	242	20	95	C	499	20494	665939	6880301,68	0	20	95	C	741	20736	666015,42	6880531,76	0	2007	Permanent horaire	95523	17,2
