Nom,Libellé,Longueur,Type,Ordre
activitePrincipaleEtablissement,Activité principale de l'établissement pendant la période,6,Liste de codes,46
activitePrincipaleRegistreMetiersEtablissement,Activité exercée par l’artisan inscrit au registre des métiers,6,Liste de codes,8
anneeEffectifsEtablissement,Année de validité de la tranche d’effectif salarié de l’établissement,4,Date,7
caractereEmployeurEtablissement,Caractère employeur de l’établissement,1,Liste de codes,48
codeCedex2Etablissement,Code cedex de l’adresse secondaire,9,Texte,36
codeCedexEtablissement,Code cedex,9,Texte,22
codeCommune2Etablissement,Code commune de l’adresse secondaire,5,Liste de codes,35
codeCommuneEtablissement,Code commune de l’établissement,5,Liste de codes,21
codePaysEtranger2Etablissement,Code pays de l’adresse secondaire pour un établissement situé à l’étranger,5,Liste de codes,38
codePaysEtrangerEtablissement,Code pays pour un établissement situé à l’étranger,5,Liste de codes,24
codePostal2Etablissement,Code postal de l’adresse secondaire,5,Texte,31
codePostalEtablissement,Code postal,5,Texte,17
complementAdresse2Etablissement,Complément d’adresse secondaire,38,Texte,26
complementAdresseEtablissement,Complément d’adresse,38,Texte,12
dateCreationEtablissement,Date de création de l’établissement,10,Date,5
dateDebut,Date de début d'une période d'historique d'un établissement,10,Date,40
dateDernierTraitementEtablissement,Date du dernier traitement de l’établissement dans le répertoire Sirene,10,Date,9
denominationUsuelleEtablissement,Dénomination usuelle de l’établissement,100,Texte,45
distributionSpeciale2Etablissement,Distribution spéciale de l’adresse secondaire de l’établissement,26,Texte,34
distributionSpecialeEtablissement,Distribution spéciale de l’établissement,26,Texte,20
enseigne1Etablissement,Première ligne d’enseigne de l’établissement,50,Texte,42
enseigne2Etablissement,Deuxième ligne d’enseigne de l’établissement,50,Texte,43
enseigne3Etablissement,Troisième ligne d’enseigne de l’établissement,50,Texte,44
etablissementSiege,Qualité de siège ou non de l’établissement,5,Texte,10
etatAdministratifEtablissement,État administratif de l’établissement,1,Liste de codes,41
indiceRepetition2Etablissement,Indice de répétition dans la voie pour l’adresse secondaire,1,Texte,28
indiceRepetitionEtablissement,Indice de répétition dans la voie,1,Texte,14
libelleCedex2Etablissement,Libellé du code cedex de l’adresse secondaire,100,Texte,37
libelleCedexEtablissement,Libellé du code cedex,100,Texte,23
libelleCommune2Etablissement,Libellé de la commune de l’adresse secondaire,100,Texte,32
libelleCommuneEtablissement,Libellé de la commune,100,Texte,18
libelleCommuneEtranger2Etablissement,Libellé de la commune de l’adresse secondaire pour un établissement situé à l’étranger,100,Texte,33
libelleCommuneEtrangerEtablissement,Libellé de la commune pour un établissement situé à l’étranger,100,Texte,19
libellePaysEtranger2Etablissement,Libellé du pays de l’adresse secondaire pour un établissement situé à l’étranger,100,Texte,39
libellePaysEtrangerEtablissement,Libellé du pays pour un établissement situé à l’étranger,100,Texte,25
libelleVoie2Etablissement,Libellé de voie de l’adresse secondaire,100,Texte,30
libelleVoieEtablissement,Libellé de voie,100,Texte,16
nic,Numéro interne de classement de l'établissement,5,Texte,2
nombrePeriodesEtablissement,Nombre de périodes de l’établissement,2,Numérique,11
nomenclatureActivitePrincipaleEtablissement,Nomenclature d’activité de la variable activitePrincipaleEtablissement,8,Liste de codes,47
numeroVoie2Etablissement,Numéro de la voie de l’adresse secondaire,4,Numérique,27
numeroVoieEtablissement,Numéro de voie,4,Numérique,13
siren,Numéro Siren,9,Texte,1
siret,Numéro Siret,14,Texte,3
statutDiffusionEtablissement,Statut de diffusion de l’établissement,1,Liste de codes,4
trancheEffectifsEtablissement,Tranche d’effectif salarié de l’établissement,2,Liste de codes,6
typeVoie2Etablissement,Type de voie de l’adresse secondaire,4,Liste de codes,29
typeVoieEtablissement,Type de voie,4,Liste de codes,15
