"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","01","01004","2017","00100417A1085","1","2","SCI","SCI MISTRALE","41197715000019",,"Avenu","Andre Citroen","Lieu-dit   ""Triangle d'activites""",,"01 50","AMBERIEU-EN-BUGEY",,"100",,,"Marcel Paul","Lieu-dit   ""Triangle d'acctivites""",,"01 50","AMBERIEU-EN-BUGEY",,"0441AM","0422AM",,2,379,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4934,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-06-30,"2018-05-16",
"84","01","01004","2018","00100418A1008","9","2",,"SAS Les Triplettes Social Club","83122450600012","525","Rue","du Parc","Lieu-dit   ""Merlan""",,"01500","AMBRONAY",,"100","45","Rue","des Freres Salvez","Lieu-dit   ""Le point boeuf""",,"01 50","AMBERIEU-EN-BUGEY",,"0633AB","0634AB","0642AB",2,1538,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,42,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13",2018-06-30,"2018-05-04",
"84","01","01004","2018","00100418A1024","9","2",,"JOLINA","83242239800012","12","Rue","du Marquis Albert de Dion",,,"01 50","AMBERIEU-EN-BUGEY",,"100","12","Rue","du Marquis Albert de Dion",,,"01500","AMBERIEU-EN-BUGEY",,"0415AK","0417AK",,1,1855,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-06-30,,
"84","01","01005","2018","00100518V0009","9","2",,"AST GROUPE","39254982000786","78","rue","Elisee Reclus",,,"69150","DECINES CHARPIEU",,"100",,"Route","du 3 septembre 1944",,,"01330","AMBERIEUX EN DOMBES",,"0002AC","0001AC","0003AC",1,6054,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-06-30,,
"84","01","01007","2018","00100718A0005","9","2",,"S.A.S NEOM","4437779090062","7","Rue","Ernest Flammarion","ZAC du Petit Leroy",,"94 65","CHEVILLY-LARUE Rungis Cedex",,"100",,"Lieu-","""En Rebatte""",,,"01 50","AMBRONAY",,"0269ZT",,,2,173142,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2922,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-06-30,"2018-04-24",
"84","01","01031","2018","00103118H0001","9","2",,"SAS  SEHB","79978649600015",,,"730 Rue de la Colatiere","ZI OUEST Veyziat",,"01100","OYONNAX",,"100",,,"LES COTESSES",,,"01100","BELLIGNAT",,"01700A",,,2,195830,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,1,0,0,"8",2018-06-30,"2018-05-29",
"84","01","01033","2018","00103318B0018","9","2",,"SAS PANCOSMA FRANCE","763200821","22","Route","de Tuiliere",,,"1283","DARDAGNY",,"100","2","Rue","des Freres Lumiere","ZI D'Arlod",,"01200","BELLEGARDE-SUR-VALSERINE",,"0108AH","0107AH","0105AH",2,10250,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879,73,0,0,0,0,0,0,0,0,0,475,0,0,0,1879,73,0,0,0,0,0,0,1,0,0,"14",2018-06-30,"2018-07-02",
"84","01","01034","2016","00103416C0010","1","2",,"SEMCODA (GIACHINO P) - projet vieille porte","75920075100130",,,"50 rue du pavillon",,,"01009","BOURG EN BRESSE",,"100",,,"GRANDE RUE - rue de la re",,,"01300","BELLEY",,"0046AK","0766AK","0767AK",3,4235,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601,0,0,0,0,0,1,1,0,0,"14",2018-06-30,"2017-05-10","2017-07-28"
"84","01","01036","2018","00103618C0002","2","2",,"Mairie - GODET Pauline",,,,"Vignoble Dessous Hostel",,,"01260","BELMONT LUTHEZIEU",,"100",,,"Vignoble Dessus Hostel",,,,"BELMONT LUTHEZIEU",,"01700A",,,2,1310,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,16,0,0,0,0,0,0,1,0,0,"8",2018-06-30,"2018-05-16",
"84","01","01043","2018","00104318A0026","9","2",,"COMMUNE DE BEYNOST","21010043400013",,"PLACE","DE LA MAIRIE",,,"01700","BEYNOST",,"100",,,"MAS DE ROUX","RUE DU MIDI",,"01700","BEYNOST",,"0005AK",,,1,25695,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1001,0,0,0,0,0,0,0,0,0,"8",2018-06-30,,
"84","01","01047","2017","00104717A0035","9","2","Traitement et elimination des","AMALIS","42095219400066","370","Alle","des combes",,,"01 15","BLYES",,"100","0370","ALLEE","DES COMBES",,,"01 15","BLYES",,"0002AA",,,2,30090,,,,,"2",0,0,0,0,0,0,0,0,0,532,246,0,0,0,0,0,0,0,0,0,0,0,0,0,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-06-30,"2018-05-15",
"84","01","01047","2018","00104718A0003","2","2",,"COMMUNE DE BLYES","21010047500016",,"Place","de la Mairie",,,"01150","BLYES",,"100","167","Route","de Saint Vulbas",,,"01 15","BLYES",,"0060AE",,,2,3528,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,1,0,0,"8",2018-06-30,"2018-05-02",
