feature,mean_importance
Titre_hyper,-0.0023287923920268794
Titre_chartrons,-0.00206806530291227
Titre_cœur,-0.0019514470812764361
Titre_bel,-0.001754328515337722
Titre_le,-0.0009963436165394634
Titre_et,-0.0009404751267495848
Titre_saint,-0.0007250093795861279
produits_base,-0.0006389784608798466
Titre_gambetta,-0.000629016588558562
Titre_michel,-0.00039533459775780154
seche_cheveux,-0.0003813317914537984
Titre_ville,-0.00033660307913092603
animaux_acceptes,-0.00032475837711050116
Titre_charmant,-0.00031189930997587155
Titre_bordelaise,-0.0003096806784977257
Titre_centre,-0.0003085932954675852
Titre_avec,-0.0002975804729814624
Interphone,-0.0002819951180419333
Titre_charme,-0.0002817112407923816
Titre_pièces,-0.00027167732033993585
Titre_belle,-0.00019179571639669213
monoxyde_carbone_detect,-0.00018965917680062726
Titre_vue,-0.00017073446432478435
Titre_duplex,-0.0001590437763118735
wifi,-0.0001535960822923399
Titre_confort,-0.00014679598945880335
Titre_parking,-0.00013918407315182123
Titre_lumineux,-9.747745961345977e-05
Titre_bdx,-8.989615546730611e-05
extincteur,-8.140889346618385e-05
Titre_au,-8.017272431484201e-05
Titre_pour,-7.871865008639567e-05
Titre_appartement,-6.051684588498363e-05
porte_chambre_verrou,-5.492878592480155e-05
Titre_des,-5.2613277048674244e-05
Titre_t2,-5.222154518564892e-05
Titre_une,-4.2065944670721664e-05
Titre_joli,-3.935715154506081e-05
Titre_place,-3.3882279405117456e-05
Titre_plein,-3.0145158951566665e-05
adapte_evenements,-2.9985584752001417e-05
Titre_la,-2.989898867256091e-05
Titre_quais,-2.472681880605343e-05
Titre_tout,-1.4364758884977125e-05
Titre_appt,-1.3206086690242812e-05
Titre_agréable,-1.1283309674181563e-05
Titre_salle,-1.0349084882088632e-05
Titre_spacieux,-1.0265612515647504e-05
Titre_bis,-9.4724422950776e-06
Titre_personnes,-3.300811105277912e-06
Titre_neuf,0.0
Titre_apt,0.0
Titre_bordelais,0.0
Titre_balcon,0.0
Titre_superbe,0.0
Titre_gare,0.0
Titre_jean,0.0
Titre_rénové,0.0
Titre_rue,0.0
Jacuzzi,0.0
Portier,0.0
Titre_privée,0.0
Titre_tram,0.0
Titre_public,0.0
Titre_m2,0.0
Titre_center,7.309641185671012e-08
Titre_hypercentre,3.045804300216837e-07
Titre_t3,5.29748724392709e-06
Entree_24-24,6.5624963867305656e-06
Titre_jolie,8.907935595003914e-06
Titre_ancien,1.077714879247349e-05
Titre_cosy,1.0928048325009599e-05
salle_sport,1.2277071631272563e-05
Titre_piscine,1.259020001087574e-05
Titre_pierre,1.85113386392155e-05
fer_repasser,3.729077206693354e-05
Titre_historique,4.270899059678479e-05
Titre_sdb,5.605306139271349e-05
Titre_en,6.019712816582867e-05
Titre_très,6.153846238370342e-05
espace_travail_ordi,7.2378993474842e-05
Titre_quartier,7.469601117661151e-05
kit_secours,8.015006747564834e-05
Titre_dans,8.591643030747553e-05
Titre_calme,9.00949254915906e-05
Titre_petit,9.96652276635146e-05
Titre_victoire,0.00010682016526667449
accessibilite,0.00010926874309707957
Titre_t1,0.00011022485489707856
Internet,0.00011203642099658629
Titre_t4,0.0001393088487517846
Titre_st,0.00014434393560979196
Titre_2016,0.00017905468648241608
Titre_beau,0.00018545879370207574
Titre_sur,0.00019715007545140217
Titre_maison,0.0002028891020695145
Titre_les,0.0002089968405768916
Ascenseur,0.00021214670473971298
Titre_échoppe,0.00022415455414580564
Titre_coeur,0.0002296599103208674
Titre_grand,0.00023082858691564345
Titre_jardin,0.00023416837511451848
Cintres,0.0002364868561164024
detecteur_fumee,0.0002423579131360154
parking_sur-place,0.00024376276087390014
pourEnfants_famille,0.00025250178953233337
NbLits,0.00028200566420536475
Titre_flat,0.00029290805556031474
Titre_confortable,0.00030623645210492434
Titre_appart,0.00030868369267326166
Titre_grande,0.0003280544678501918
cheminee_interieur,0.0003953907789515765
Chauffage,0.0004306192597325675
Titre_echoppe,0.00043991925430729716
Titre_triangle,0.0005272478520498946
Titre_euro,0.0005355294945869171
Titre_du,0.0005569911576903342
Titre_terrasse,0.0006748317837759421
fiche_securite,0.0007325706003274424
Titre_aux,0.0008432964716616698
conditions_annulation,0.0008766351615552614
Titre_chambres,0.0009692408449470724
Titre_bordeaux,0.0011109678057753425
type_lit,0.001140997963510948
duree_minimale_sejour,0.0012192696261236757
machine_laver,0.0012562864673691721
television_cable,0.0014189129906185482
Piscine,0.0016601379622275924
petit_dejeuner,0.0017127709042742746
Titre_double,0.0019221158777739111
Titre_proche,0.0020044988146266096
Titre_chambre,0.002561597628167156
rection_semaine,0.0029544465091911887
Titre_loft,0.0035323291691815805
reduction_mois,0.003771424426793635
logement_fumeur,0.004404650076355388
seche_linge,0.004626413257995321
Climatisation,0.004795258008257508
Cuisine,0.0054973260328894154
Titre_studio,0.0058728686350977164
television,0.0069302582927419755
Longitude,0.008588625947957307
type_propriete,0.009342099124276648
frais_menage,0.01596081351791554
NombreSdB,0.02592840046361864
surcout_voyageur_supp,0.027087481921527323
Latitude,0.02950997527437955
Caution,0.035893300154935935
Type_logement,0.061943324355663285
Capacite_accueil,0.11485202404534292
NbChambres,0.21474553031579385
