feature,mean_importance
Titre_sur,-0.004330758364064924
Titre_et,-0.002663853675789074
NbLits,-0.002234906719147123
Titre_place,-0.0021946673534159354
Titre_saint,-0.002014475039296704
produits_base,-0.001762115074326498
Titre_neuf,-0.0016652472887229263
Internet,-0.001644527226648096
Cintres,-0.0015970087442538806
seche_cheveux,-0.0015281586377072665
Titre_euro,-0.001505210243748456
NombreSdB,-0.0014895627191480632
Titre_terrasse,-0.001251690405106498
fer_repasser,-0.0011899441270470268
Titre_gambetta,-0.0008815610471861413
Titre_2016,-0.0008782403681162565
Titre_maison,-0.0007077487843770713
Titre_la,-0.0006257982679239605
Titre_gare,-0.0006135195368279333
Titre_les,-0.0005830163921986875
kit_secours,-0.0005511004656289064
Titre_jardin,-0.000540514068923681
Titre_le,-0.0005077687875118753
Titre_parking,-0.0004869212973060533
Titre_pour,-0.0004117354036700993
Titre_bordeaux,-0.0003857194694496968
Titre_hyper,-0.00038128059034332474
adapte_evenements,-0.00037285899283592274
Titre_jolie,-0.00035600565660921514
television_cable,-0.0003408733534858155
Interphone,-0.0003394530487155434
espace_travail_ordi,-0.0003225750637316782
Titre_jean,-0.00031978904015517173
Titre_rue,-0.00030212738430625
Titre_personnes,-0.00027403656781240795
Titre_vue,-0.0002470295446758808
Portier,-0.00021122127994136486
Titre_hypercentre,-0.00019521701562935645
monoxyde_carbone_detect,-0.0001874786378358917
Titre_appt,-0.00018090952939967542
Titre_bel,-0.00013706268007258605
petit_dejeuner,-0.00011753156395625242
Titre_calme,-0.00011528134987264238
Titre_au,-0.00010466160964407445
Titre_bdx,-9.799886248738066e-05
animaux_acceptes,-9.362884915873338e-05
Titre_confort,-8.245737411674003e-05
cheminee_interieur,-6.38303146957453e-05
Titre_plein,-5.313343526006653e-05
Chauffage,-3.989375680268914e-05
Titre_bis,-1.6623913705737793e-05
machine_laver,-1.163455555536208e-05
Titre_rénové,6.197713734240606e-05
Titre_historique,6.219211674478587e-05
fiche_securite,6.426372893935106e-05
Titre_tram,8.968752816280734e-05
Titre_échoppe,0.00010275194313044133
Titre_quartier,0.00011200077821091892
detecteur_fumee,0.0001305536037083388
Titre_bordelais,0.0001419616902996079
Titre_apt,0.00018432825999286083
Titre_pierre,0.0002022483199221381
Titre_m2,0.00023320110307365472
salle_sport,0.00024840186787422613
Titre_cœur,0.0002639254805954505
accessibilite,0.00034066992342146607
Entree_24-24,0.000355764968181671
Titre_salle,0.00040469561614312475
extincteur,0.0004955650073087625
parking_sur-place,0.0005740474915492011
Climatisation,0.0005764000660576918
Titre_spacieux,0.0006328053597776329
Titre_très,0.0006714854691726058
Titre_bordelaise,0.0007053352959500381
Titre_quais,0.0007144270184522572
Titre_en,0.0007168159433697974
Ascenseur,0.0008241196702262088
Titre_pièces,0.0008424006018911912
Titre_public,0.0008705764835120533
Titre_confortable,0.0009272819952289568
Titre_echoppe,0.0009334105133984693
Titre_des,0.0009387270746440302
Titre_charme,0.0009644783415999281
pourEnfants_famille,0.0009885795576153988
wifi,0.0010145641640777804
Titre_privée,0.0010421464667257796
Titre_beau,0.0010466283625755301
Titre_centre,0.0010561474322707044
Titre_charmant,0.0011524945703899393
Titre_grand,0.0011635530551142748
Titre_center,0.0011817134278886865
Titre_piscine,0.0012010990422053557
logement_fumeur,0.001242512208793889
Titre_t4,0.001260274696916286
Titre_agréable,0.0012933466222891155
porte_chambre_verrou,0.0013207156746446458
Titre_une,0.0013301209834007178
Titre_duplex,0.0013304025112540474
Titre_tout,0.0013311720880295418
Titre_sdb,0.0013400716387434119
Piscine,0.0013465863424802827
Titre_flat,0.001425593805533487
Titre_du,0.0015280288833612542
Titre_double,0.001597891419416142
seche_linge,0.0016567037629487747
Jacuzzi,0.0017497800464358448
Titre_chartrons,0.0017856639837944832
Titre_michel,0.0017877619974313696
Titre_appartement,0.0019127974945025827
Titre_t2,0.0020465439522137086
Titre_st,0.002071516968110365
Titre_superbe,0.0020731332810153603
Titre_lumineux,0.0021010689720518784
Titre_t3,0.0021143565685934227
reduction_mois,0.0022373349341938244
Titre_avec,0.0023232972560563335
Titre_aux,0.0024335508761924363
Titre_t1,0.0025295175734787677
Titre_triangle,0.0026444302850504586
Titre_appart,0.0028257782441365896
Titre_ancien,0.0030071333264130584
Titre_ville,0.0030189695314713715
rection_semaine,0.003048147288124592
conditions_annulation,0.0031422724996673867
Longitude,0.003152291215005354
Titre_cosy,0.00320555429424102
Titre_coeur,0.003283780860251406
Titre_grande,0.003375405020344957
Titre_petit,0.003487165459864361
Titre_loft,0.0036299593649800287
Titre_victoire,0.003690176867995265
Titre_balcon,0.004137489309820941
Titre_joli,0.004842063058746004
Titre_proche,0.0052415654000764755
Titre_belle,0.005299124087594353
Titre_chambres,0.006100489273040644
surcout_voyageur_supp,0.006618303498170941
Latitude,0.006836170373715056
Titre_chambre,0.0074829337075814515
Titre_dans,0.00803560236271853
duree_minimale_sejour,0.008190775191024357
type_lit,0.008799939596687812
type_propriete,0.009864110983978458
frais_menage,0.010625218062499808
Cuisine,0.01082587870210151
television,0.011320046880254408
Titre_studio,0.013913734177218117
Caution,0.049976726231612034
NbChambres,0.07821007966312857
Capacite_accueil,0.08031900144032451
Type_logement,0.08100082056057888
