feature,mean_importance
duree_minimale_sejour,-0.00044771778098261493
Titre_hyper,-0.0003497215788620278
Titre_triangle,-0.00020530299975461962
television_cable,-0.0001452530255027007
Internet,-0.00013784933449987325
Titre_bordelaise,-0.00013499776000405194
fiche_securite,-8.802255361212152e-05
Titre_belle,-7.55152129488179e-05
Titre_bel,-3.7492211605560934e-05
Titre_proche,-2.7873279343260114e-05
Titre_cœur,-9.873382669189911e-06
Titre_pour,-8.645143032603996e-06
Titre_grande,-7.377630504601385e-06
Titre_maison,-2.8968278891650103e-06
Titre_sdb,0.0
Titre_très,0.0
Titre_gare,0.0
Titre_gambetta,0.0
Titre_et,0.0
Titre_en,0.0
Titre_echoppe,0.0
Titre_duplex,0.0
Titre_du,0.0
Titre_une,0.0
Titre_double,0.0
Titre_tout,0.0
Titre_des,0.0
Titre_cosy,0.0
Titre_confortable,0.0
Titre_confort,0.0
Titre_chartrons,0.0
Titre_vue,0.0
Titre_center,0.0
Titre_calme,0.0
Titre_ville,0.0
Titre_bordelais,0.0
Titre_bis,0.0
Titre_victoire,0.0
Titre_historique,0.0
Titre_terrasse,0.0
Titre_jean,0.0
Titre_salle,0.0
Titre_rénové,0.0
Titre_rue,0.0
Titre_quartier,0.0
Titre_t1,0.0
Titre_quais,0.0
Titre_t2,0.0
Titre_t3,0.0
Titre_plein,0.0
Titre_place,0.0
Titre_pièces,0.0
Titre_pierre,0.0
Titre_petit,0.0
Titre_personnes,0.0
Titre_parking,0.0
Titre_neuf,0.0
Titre_michel,0.0
Titre_t4,0.0
Titre_m2,0.0
Titre_lumineux,0.0
Titre_loft,0.0
Titre_le,0.0
Titre_jolie,0.0
Titre_st,0.0
Titre_charmant,0.0
Titre_échoppe,0.0
Cintres,0.0
seche_cheveux,0.0
fer_repasser,0.0
Entree_24-24,0.0
porte_chambre_verrou,0.0
salle_sport,0.0
Portier,0.0
Interphone,0.0
cheminee_interieur,0.0
Ascenseur,0.0
accessibilite,0.0
adapte_evenements,0.0
pourEnfants_famille,0.0
animaux_acceptes,0.0
Titre_ancien,0.0
Titre_agréable,0.0
Titre_appartement,0.0
Titre_bdx,0.0
NbLits,0.0
Titre_avec,0.0
type_lit,0.0
Titre_appart,0.0
Titre_au,0.0
produits_base,0.0
wifi,0.0
Titre_appt,0.0
parking_sur-place,0.0
detecteur_fumee,0.0
Titre_superbe,1.1102230246251566e-17
Titre_public,1.1102230246251566e-17
Titre_tram,1.1102230246251566e-17
Titre_privée,1.1102230246251566e-17
Titre_les,1.1102230246251566e-17
espace_travail_ordi,1.1102230246251566e-17
Titre_la,1.1102230246251566e-17
Titre_bordeaux,1.1102230246251566e-17
Titre_apt,1.1102230246251566e-17
Titre_balcon,1.1102230246251566e-17
kit_secours,1.1102230246251566e-17
Titre_aux,1.1102230246251566e-17
Titre_grand,1.1102230246251566e-17
Titre_charme,1.1102230246251566e-17
Titre_joli,1.1102230246251566e-17
Titre_flat,1.1102230246251566e-17
Titre_euro,1.1102230246251566e-17
Chauffage,2.2204460492503132e-17
petit_dejeuner,3.8201298337980914e-07
Titre_hypercentre,1.3618276262783446e-06
Titre_coeur,2.7233861023545636e-06
Piscine,4.751076880593619e-06
Titre_jardin,4.996919899280528e-06
logement_fumeur,6.545814180292098e-06
Titre_spacieux,6.876506218456146e-06
Titre_2016,7.082400546376544e-06
Titre_sur,1.435255635811039e-05
Titre_piscine,3.722935428305263e-05
Titre_beau,4.500231872042182e-05
Titre_saint,6.602094622466525e-05
monoxyde_carbone_detect,6.888687494837065e-05
Titre_chambre,7.96347983906598e-05
conditions_annulation,9.261264063797903e-05
reduction_mois,0.00010661020511060215
extincteur,0.0001177193290745837
Jacuzzi,0.00016272128032776
Titre_dans,0.00017472629961770014
Longitude,0.00017635239148071634
Climatisation,0.00018480177822656209
Titre_centre,0.00020813127107497387
television,0.00025241476294379783
rection_semaine,0.0004747171990585164
Titre_chambres,0.0009102795256437201
machine_laver,0.0021141788727200516
seche_linge,0.0021609313772532057
surcout_voyageur_supp,0.0035924814141335857
Titre_studio,0.0044153384897337
frais_menage,0.00527035653458312
type_propriete,0.0064287550400248025
Cuisine,0.007752796781805393
Latitude,0.008800675241662271
Caution,0.03377358056322244
NombreSdB,0.05641768937034147
Capacite_accueil,0.05650343974473988
Type_logement,0.13739657337717365
NbChambres,0.4102814348452979
