feature,shap_importance
NbChambres,0.41513907159952934
Type_logement,0.1889842136249326
NombreSdB,0.07604489808639964
Capacite_accueil,0.0583106913862099
Caution,0.0573222698063027
Latitude,0.027301876924208515
Titre_studio,0.018249186241418348
Cuisine,0.017184480217918643
type_propriete,0.014326550513568943
frais_menage,0.013816627178295796
machine_laver,0.011194029267569202
seche_linge,0.008678041557084295
Titre_chambre,0.007045790958559833
surcout_voyageur_supp,0.0033330639814586863
duree_minimale_sejour,0.0016011370133391615
Titre_bel,0.0011117074126671131
rection_semaine,0.0010822786621575264
Titre_chambres,0.0009567038286534571
television,0.0007115424852106085
Longitude,0.0006454798678742985
Titre_cœur,0.000610743959163965
reduction_mois,0.0005254788180158278
Titre_echoppe,0.00046094232246611175
Titre_hyper,0.00044472421380108455
Titre_dans,0.0003352279421643972
Titre_maison,0.00033246354772419604
Titre_belle,0.00031413949487340805
Titre_centre,0.00030324010214769913
monoxyde_carbone_detect,0.0002816254538324855
Climatisation,0.0002676263946188859
petit_dejeuner,0.00023494170368191063
conditions_annulation,0.00023065102398863273
television_cable,0.00022487494477807293
Internet,0.0002219063449662087
Titre_triangle,0.000188385938033266
logement_fumeur,0.00016742896867847463
Piscine,0.0001532071859772195
Titre_2016,0.00013832172282499477
extincteur,0.00012463086202794472
fiche_securite,0.00011959167269355646
Titre_jardin,0.00011312715228967424
Titre_coeur,0.00011293818526573268
Titre_sur,9.294240711371194e-05
Titre_saint,8.864681778576209e-05
Titre_hypercentre,8.276804614659748e-05
Titre_beau,7.258028848458512e-05
Titre_piscine,7.226669285289064e-05
Titre_bordelaise,7.201979604658205e-05
Titre_spacieux,5.339920304698546e-05
Titre_loft,4.3886271614362417e-05
Jacuzzi,4.1188596213205236e-05
Titre_proche,3.1012434977048786e-05
Titre_grande,3.094088212088955e-05
Titre_pour,2.400223935108422e-05
Titre_quais,0.0
Titre_la,0.0
Titre_m2,0.0
Titre_t3,0.0
Titre_lumineux,0.0
Titre_t4,0.0
Titre_les,0.0
Titre_terrasse,0.0
Titre_tout,0.0
Titre_le,0.0
Titre_jolie,0.0
Titre_t1,0.0
Titre_joli,0.0
Titre_tram,0.0
Titre_jean,0.0
Titre_très,0.0
Titre_une,0.0
Titre_victoire,0.0
Titre_historique,0.0
Titre_t2,0.0
Titre_superbe,0.0
Titre_public,0.0
Titre_ville,0.0
Titre_vue,0.0
Titre_privée,0.0
Titre_plein,0.0
Titre_place,0.0
Titre_pièces,0.0
Titre_grand,0.0
Titre_pierre,0.0
Titre_rue,0.0
Titre_rénové,0.0
Titre_salle,0.0
Titre_petit,0.0
Titre_personnes,0.0
Titre_parking,0.0
Titre_sdb,0.0
Titre_neuf,0.0
Titre_michel,0.0
Titre_st,0.0
Titre_quartier,0.0
Titre_charmant,0.0
Titre_gare,0.0
Interphone,0.0
Titre_agréable,0.0
porte_chambre_verrou,0.0
kit_secours,0.0
detecteur_fumee,0.0
espace_travail_ordi,0.0
seche_cheveux,0.0
fer_repasser,0.0
Cintres,0.0
Entree_24-24,0.0
salle_sport,0.0
Portier,0.0
cheminee_interieur,0.0
Titre_appart,0.0
Ascenseur,0.0
accessibilite,0.0
adapte_evenements,0.0
pourEnfants_famille,0.0
animaux_acceptes,0.0
wifi,0.0
parking_sur-place,0.0
Chauffage,0.0
produits_base,0.0
type_lit,0.0
NbLits,0.0
Titre_ancien,0.0
Titre_appartement,0.0
Titre_gambetta,0.0
Titre_chartrons,0.0
Titre_flat,0.0
Titre_euro,0.0
Titre_et,0.0
Titre_en,0.0
Titre_duplex,0.0
Titre_du,0.0
Titre_double,0.0
Titre_des,0.0
Titre_cosy,0.0
Titre_confortable,0.0
Titre_confort,0.0
Titre_charme,0.0
Titre_appt,0.0
Titre_center,0.0
Titre_calme,0.0
Titre_bordelais,0.0
Titre_bordeaux,0.0
Titre_bis,0.0
Titre_bdx,0.0
Titre_balcon,0.0
Titre_avec,0.0
Titre_aux,0.0
Titre_au,0.0
Titre_apt,0.0
Titre_échoppe,0.0
