feature,mean_importance
port_arbre,-0.02456332251632848
champignon_houppier,-0.013693277257035152
Lat,-0.007037394353204896
prescription_2,-0.004167958255151616
plaie_tronc,0.000468972225760389
diametre,0.001624680026330716
circonference (en cm),0.001624680026330716
fissure_houppier,0.005127964084294434
espece_arbre,0.010203512618043309
classe_hauteur,0.010289783945942932
plaie_houppier,0.010382161027078608
cote_voirie,0.014683929345440449
genre_arbre,0.018664249648176055
date_diagnostic,0.020638444545853306
classe_age,0.022534686400666026
matricule_arbre,0.025631029944391214
prescription_1,0.030918172920918918
rejet_tronc,0.03162510956728792
surf_permeable,0.032446820087148144
site,0.03413788464930858
contrainte,0.03768900341902455
quartier,0.041478120312652925
vigueur_pousse,0.04891734950318012
hauteur,0.050021141645077184
classe_circonference,0.05065626129223695
situation,0.07657439931510097
type_sol,0.08408099152549453
bois_mort_houppier,0.08780271624839094
plaie_collet,0.11952393600545679
date_plantation,0.12546104249682777
tuteurage_arbre,0.15360498101087217
canisse_arbre,0.22345160531671246
Long,0.22380013057711307
esperance_maintien,0.2947316514068215
