feature,shap_importance
Utilisation du sol (Pt/kg de produit),0.20406638085842133
Rayonnements ionisants (kBq U-235 eq/kg de produit),0.1403459906578064
Changement climatique (kg CO2 eq/kg de produit),0.0941622406244278
Eutrophisation marine (E-03 kg N eq/kg de produit),0.09270622581243515
Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit),0.09067737311124802
Code CIQUAL,0.07881423830986023
Épuisement des ressources eau (m3 depriv./kg de produit),0.07719762623310089
Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),0.07128168642520905
"Groupe d'aliment_viandes, œufs, poissons",0.05061158910393715
Eutrophisation eaux douces (E-03 kg P eq/kg de produit),0.047796741127967834
Eutrophisation terreste (mol N eq/kg de produit),0.04365735873579979
Groupe d'aliment_entrées et plats composés,0.04364921897649765
Livraison_Ambiant (long),0.038021158427000046
Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),0.034109532833099365
Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),0.030646605417132378
"Groupe d'aliment_fruits, légumes, légumineuses et oléagineux",0.02846641279757023
Sous-groupe d'aliment,0.025388993322849274
Préparation_Four ,0.021243557333946228
Livraison_Ambiant (moyenne),0.02042100951075554
Particules (E-06 disease inc./kg de produit),0.017874253913760185
Score unique EF (mPt/kg de produit),0.01732305996119976
Groupe d'aliment_lait et produits laitiers,0.016747737303376198
Groupe d'aliment_produits céréaliers,0.01667216792702675
Épuisement des ressources énergétiques (MJ/kg de produit),0.015049532987177372
Matériau d'emballage_V (PVC),0.014061378315091133
Matériau d'emballage_PS,0.013922029174864292
Matériau d'emballage_Pas d'emballage,0.012110985815525055
Livraison_Ambiant (court),0.012037382461130619
Matériau d'emballage_PP,0.011300014331936836
Matériau d'emballage_Acier,0.010275560431182384
Préparation_Cuisson à l'eau,0.009164826944470406
Préparation_Pas de préparation ,0.008396990597248077
Nom du Produit en Français_crème,0.007948251441121101
Nom du Produit en Français_ou,0.007295478601008654
Nom du Produit en Français_en,0.007156996987760067
Nom du Produit en Français_mg,0.006888664793223143
Nom du Produit en Français_boisson,0.0065175676718354225
Groupe d'aliment_glaces et sorbets,0.006359026301652193
Nom du Produit en Français_boeuf,0.006154576316475868
Nom du Produit en Français_aux,0.005735918879508972
Nom du Produit en Français_fourrée,0.005348183214664459
Livraison_Glacé,0.005333227571099997
Nom du Produit en Français_et,0.0049821012653410435
Nom du Produit en Français_frais,0.004473595879971981
Nom du Produit en Français_jambon,0.004424144513905048
Nom du Produit en Français_minéraux,0.00439402274787426
Nom du Produit en Français_lait,0.004286107141524553
Acidification terrestre et eaux douces (mol H+ eq/kg de produit),0.004276903811842203
Matériau d'emballage_LPDE,0.00408403342589736
Nom du Produit en Français_poisson,0.0038351586554199457
Nom du Produit en Français_cru,0.003732508746907115
Nom du Produit en Français_spécialité,0.0036983939353376627
Nom du Produit en Français_préemballée,0.003365918295457959
Nom du Produit en Français_pomme,0.0032683212775737047
Nom du Produit en Français_beurre,0.003261843230575323
Nom du Produit en Français_pois,0.003211667062714696
Nom du Produit en Français_viande,0.003163134679198265
Nom du Produit en Français_poudre,0.003018314251676202
Nom du Produit en Français_porc,0.00296157319098711
Nom du Produit en Français_dessert,0.002870732918381691
Nom du Produit en Français_blanc,0.002816325519233942
Nom du Produit en Français_sirop,0.0027707028202712536
Nom du Produit en Français_base,0.00267707253806293
Saisonnalité_mix de consommation FR,0.0026664710603654385
Nom du Produit en Français_surgelée,0.0026631727814674377
Nom du Produit en Français_crue,0.0026393693406134844
Nom du Produit en Français_salade,0.002536193234845996
Préparation_Pas de préparation,0.002522763330489397
Nom du Produit en Français_fruits,0.0024379983078688383
Nom du Produit en Français_huile,0.0022939990740269423
Nom du Produit en Français_pain,0.0022696140222251415
Nom du Produit en Français_sec,0.0022504525259137154
Nom du Produit en Français_rayon,0.002175286179408431
Nom du Produit en Français_au,0.0021245558746159077
Nom du Produit en Français_appertisé,0.0019965386018157005
Nom du Produit en Français_légumes,0.0019719868432730436
Nom du Produit en Français_la,0.0019502362702041864
Nom du Produit en Français_terre,0.0019097266485914588
Nom du Produit en Français_grillée,0.0018814201466739178
Nom du Produit en Français_sans,0.0017541078850626945
Nom du Produit en Français_pâtes,0.0017440239898860455
Nom du Produit en Français_peau,0.0017387146363034844
Matériau d'emballage_Bouteille PETE,0.001676402986049652
Nom du Produit en Français_type,0.001672887708991766
Nom du Produit en Français_environ,0.0016171707538887858
Matériau d'emballage_Papier,0.0015300740487873554
Nom du Produit en Français_non,0.0013425123179331422
Nom du Produit en Français_pour,0.001314676832407713
Nom du Produit en Français_vitamines,0.0013017331948503852
Nom du Produit en Français_céréales,0.0012669495772570372
Nom du Produit en Français_préemballé,0.0010227028978988528
Nom du Produit en Français_sèche,0.0009442294831387699
Groupe d'aliment_aides culinaires et ingrédients divers,0.0008863536641001701
Nom du Produit en Français_grasse,0.0008754716836847365
Livraison_Congelé,0.0008556850953027606
Nom du Produit en Français_égoutté,0.0008387425914406776
Nom du Produit en Français_soupe,0.0008154776878654957
Nom du Produit en Français_jus,0.0007102347444742918
Nom du Produit en Français_cuite,0.0006774402572773397
Nom du Produit en Français_veau,0.0006731906323693693
Nom du Produit en Français_pulpe,0.0006589180557057261
Nom du Produit en Français_poulet,0.0006324306013993919
Nom du Produit en Français_chou,0.0006030377116985619
Nom du Produit en Français_sauce,0.0005817442433908582
Nom du Produit en Français_sucré,0.0005255521973595023
Nom du Produit en Français_pâte,0.0005230443202890456
Nom du Produit en Français_cuit,0.0005150912329554558
Nom du Produit en Français_riz,0.0005105563905090094
Matériau d'emballage_HPDE,0.0005079348920844495
Matériau d'emballage_Verre,0.0005007226136513054
Matériau d'emballage_Déjà emballé - Aluminium,0.0004865085065830499
Nom du Produit en Français_sucrée,0.0004756395355798304
Nom du Produit en Français_nature,0.0004669791669584811
Groupe d'aliment_matières grasses,0.0004663141444325447
Nom du Produit en Français_pur,0.00045195361599326134
Nom du Produit en Français_agneau,0.0004494079330470413
Nom du Produit en Français_avec,0.0004463295335881412
Groupe d'aliment_produits sucrés,0.00043708819430321455
Préparation_Micro onde ,0.0004364827764220536
Nom du Produit en Français_chèvre,0.0003785662993323058
Matériau d'emballage_Déjà emballé - PET,0.00037217955105006695
Nom du Produit en Français_fromage,0.000367682398064062
Nom du Produit en Français_thon,0.0003595998859964311
Nom du Produit en Français_surgelé,0.00033827245351858437
Nom du Produit en Français_déshydratée,0.00032072485191747546
Code AGB_28002,0.00031824473990127444
Nom du Produit en Français_eau,0.0003057544236071408
Nom du Produit en Français_pizza,0.00024235437740571797
Code AGB_28476,0.00023907230934128165
Nom du Produit en Français_yaourt,0.0002351104631088674
Nom du Produit en Français_gazeuse,0.00018465561151970178
Code AGB_28801,0.00018357242515776306
Saisonnalité_hors saison,0.00016365092596970499
Code AGB_30110,0.00015487663040403277
Code AGB_28504,0.00014690680836793035
Nom du Produit en Français_maïs,0.000144453821121715
Nom du Produit en Français_petit,0.00014357907639350742
Nom du Produit en Français_chocolat,0.0001359661400783807
Préparation_Bouilli,0.00013484271767083555
Nom du Produit en Français_tomate,0.00012985631474293768
Matériau d'emballage_Carton,0.00012691004667431116
Préparation_Four,0.00011824694956885651
Code AGB_28800,0.00011295320291537791
Code AGB_26267,0.00010908016702160239
Code AGB_31098,0.00010512820153962821
Matériau d'emballage_Déjà emballé - Verre,8.352193253813311e-05
Nom du Produit en Français_demi,7.87866665632464e-05
Nom du Produit en Français_biscuit,6.104222120484337e-05
Code AGB_32017,5.2332296036183834e-05
Code AGB_28003,4.7566511057084426e-05
Code AGB_26243,4.101924423594028e-05
Code AGB_28720,4.0028371586231515e-05
Code AGB_30011,3.0323304599733092e-05
Préparation_Poêle,2.8940305128344335e-05
Code AGB_26239,2.3542877897853032e-05
Code AGB_27029,1.4031284081283957e-05
Code AGB_32018,1.0553914762567729e-05
Code AGB_26214,0.0
Code AGB_26229,0.0
Code AGB_26231,0.0
Matériau d'emballage_Déjà emballé - PP/PE,0.0
Code AGB_26206,0.0
Transport par avion (1 : par avion),0.0
Nom du Produit en Français_st,0.0
Code AGB_26173,0.0
Code AGB_26230,0.0
Code AGB_26240,0.0
Groupe d'aliment_boissons,0.0
Code AGB_26177,0.0
Préparation_Micro onde,0.0
Code AGB_10001,0.0
Groupe d'aliment_aliments infantiles,0.0
Code AGB_26236,0.0
Saisonnalité_de saison,0.0
Code AGB_26201,0.0
Code AGB_26235,0.0
Préparation_Friture,0.0
Code AGB_26186,0.0
Nom du Produit en Français_rôti,0.0
Code AGB_26232,0.0
Nom du Produit en Français_rôtie,0.0
Matériau d'emballage_Déjà emballé - LDPE,0.0
Code AGB_26194,0.0
Matériau d'emballage_PVC,0.0
Code AGB_26233,0.0
Matériau d'emballage_Aluminium,0.0
Code AGB_26237,0.0
Code AGB_27008,0.0
Code AGB_26244,0.0
Code AGB_28900,0.0
Code AGB_28700,0.0
Code AGB_28802,0.0
Code AGB_28803,0.0
Code AGB_28804,0.0
Code AGB_28812,0.0
Code AGB_28844,0.0
Code AGB_28845,0.0
Code AGB_28901,0.0
Code AGB_28540,0.0
Code AGB_28902,0.0
Code AGB_28905,0.0
Code AGB_28907,0.0
Code AGB_28911,0.0
Code AGB_28912,0.0
Code AGB_28917,0.0
Code AGB_28922,0.0
Code AGB_28550,0.0
Code AGB_28480,0.0
Nom du Produit en Français_noix,0.0
Code AGB_28100,0.0
Code AGB_27010,0.0
Code AGB_27014,0.0
Code AGB_27015,0.0
Code AGB_27017,0.0
Code AGB_27030,0.0
Code AGB_28001,0.0
Code AGB_28010,0.0
Code AGB_28102,0.0
Code AGB_28478,0.0
Code AGB_28201,0.0
Code AGB_28202,0.0
Code AGB_28203,0.0
Code AGB_28401,0.0
Code AGB_28451,0.0
Code AGB_28460,0.0
Code AGB_28461,0.0
Code AGB_28925,0.0
Code AGB_28927,0.0
Code AGB_3000,0.0
Code AGB_27009,0.0
Nom du Produit en Français_embouteillée,0.0
Code AGB_26266,0.0
Nom du Produit en Français_faiblement,0.0
Nom du Produit en Français_filet,0.0
Nom du Produit en Français_fortement,0.0
Code AGB_26265,0.0
Code AGB_26259,0.0
Code AGB_26256,0.0
Code AGB_30005,0.0
Code AGB_26248,0.0
Nom du Produit en Français_matière,0.0
Code AGB_26247,0.0
Nom du Produit en Français_minérale,0.0
Nom du Produit en Français_minéralisée,0.0
Code AGB_26245,0.0
Nom du Produit en Français_moyennement,0.0
Nom du Produit en Français_déjeuner,0.0
Code AGB_26268,0.0
Code AGB_26270,0.0
Code AGB_26274,0.0
Code AGB_30051,0.0
Code AGB_30104,0.0
Code AGB_30150,0.0
Code AGB_31084,0.0
Code AGB_31091,0.0
Code AGB_31099,0.0
Code AGB_31102,0.0
Code AGB_31113,0.0
Code AGB_32000,0.0
Code AGB_32008,0.0
Code AGB_32011,0.0
Code AGB_32013,0.0
Code AGB_27006,0.0
Nom du Produit en Français_blé,0.0
Code AGB_27004,0.0
Préparation_Réfrigéré chez le consommateur,0.0
