feature,shap_importance
score_controls_dept,0.18338286290082123
score_controls_filtre,0.1507943255748571
score_controls_activite,0.05963175605425145
has_agrement,0.04188759605785379
count_controls_dept,0.020251928023675515
longitude,0.018199534768393852
filtre,0.009428279540013712
month,0.003630070990273645
latitude,0.002855360046779401
count_controls_activite,0.002764374488824283
dept,0.0007772486954139695
year,0.0
weekday,0.0
count_controls_filtre,0.0
count_controls_wday,0.0
score_controls_wday,0.0
