feature,shap_importance
date_diagnostic,0.5794832812021252
esperance_maintien,0.20117149894802314
plaie_houppier,0.1427404168336058
hauteur,0.12201663027365134
Lat,0.1173879424265151
canisse_arbre,0.07784286811112637
prescription_1,0.06122218814810876
matricule_arbre,0.0497191325676093
diametre,0.022812783242917786
site,0.01856577372733128
prescription_2,0.0
contrainte,0.0
rejet_tronc,0.0
bois_mort_houppier,0.0
Long,0.0
fissure_houppier,0.0
champignon_houppier,0.0
plaie_tronc,0.0
tuteurage_arbre,0.0
quartier,0.0
plaie_collet,0.0
port_arbre,0.0
classe_circonference,0.0
circonference (en cm),0.0
classe_hauteur,0.0
classe_age,0.0
date_plantation,0.0
surf_permeable,0.0
type_sol,0.0
situation,0.0
espece_arbre,0.0
genre_arbre,0.0
cote_voirie,0.0
vigueur_pousse,0.0
