feature,shap_importance
esperance_maintien,4.6168531243372835
date_plantation,3.6507475112515833
type_sol,3.142066311708094
canisse_arbre,2.4923393281804205
Long,2.422650117980067
site,2.194083589151923
date_diagnostic,2.1496169891278454
prescription_1,1.6868534241403026
quartier,1.5657426634697902
Lat,1.5607946115902178
plaie_tronc,1.5375201739743565
tuteurage_arbre,1.5222211868345228
espece_arbre,1.4837565730022133
plaie_collet,1.424964359456543
surf_permeable,1.3474027110639493
hauteur,1.3085350474263053
classe_hauteur,1.2490680741425628
classe_circonference,1.2300600514948223
classe_age,1.2087290852614825
bois_mort_houppier,1.1613740646673536
rejet_tronc,1.1465084865023163
situation,1.1338861428842868
plaie_houppier,1.105103193432964
port_arbre,1.0789136574424019
genre_arbre,1.071821375365303
matricule_arbre,1.0268356782228598
diametre,0.8539531791980156
circonference (en cm),0.8539531791980154
cote_voirie,0.7913047382751123
contrainte,0.709436947812235
vigueur_pousse,0.677428800808306
prescription_2,0.3757183003795791
champignon_houppier,0.2646123830634246
fissure_houppier,0.24923932692406184
