feature,mean_importance
port_arbre,-0.011752608139723763
Lat,-0.011435785404616372
champignon_houppier,-0.00548279792083507
diametre,-0.0035503465810161174
classe_age,-0.002688509911547998
surf_permeable,-0.0019426552126262874
fissure_houppier,0.0
rejet_tronc,0.0
classe_circonference,0.0
classe_hauteur,0.0
circonference (en cm),0.0
vigueur_pousse,0.00033194223471300077
espece_arbre,0.000755059021577531
prescription_2,0.0012966060951929092
tuteurage_arbre,0.0031917074426326296
quartier,0.0032410830767615195
plaie_houppier,0.00747514342541582
genre_arbre,0.009954499339186384
bois_mort_houppier,0.013570231128103594
site,0.014986028145788833
situation,0.015063895050987163
type_sol,0.020113328886939806
cote_voirie,0.024097117616690044
contrainte,0.033418896648718
canisse_arbre,0.03409213643245608
Long,0.04825332403858518
date_plantation,0.04868874655000234
matricule_arbre,0.05910370712361992
prescription_1,0.059941383939183926
plaie_tronc,0.06281313435076144
plaie_collet,0.07095169720443253
hauteur,0.08945240205921179
date_diagnostic,0.17069350470834688
esperance_maintien,0.22466401396299593
