feature,mean_importance
id_poll_ue,0.02765226622573813
nom_poll,0.21641151865055966
insee_com,6.783134376226251e+23
code_station,4.584336078064375e+24
jour_semaine_debut,1.1160912626203741e+25
jour_semaine_fin,1.6995273111086147e+25
jour_debut,4.706319263871265e+25
heure_debut,7.522852905318657e+25
heure_fin,7.522852905318775e+25
nom_com,1.368915076515792e+26
jour_fin,2.051652139896984e+26
lat,2.2225276686312302e+26
typologie,4.715046677393575e+26
nom_station,8.576465324437116e+26
influence,2.284297884003751e+27
long,7.152309083980694e+27
