feature,shap_importance
CNIT_m10fatvp001p595,152908830889.37708
Type Variante Version (TVV)_198axa1bg00e,152908830889.376
Type Variante Version (TVV)_844axa1ag00f,109767194471.41373
CNIT_m10lncvp000r207,109767194471.41263
Type Variante Version (TVV)_fa10lfa10,104763214517.70715
Type Variante Version (TVV)_fcrafw,104763214517.70677
Type Variante Version (TVV)_awxgkw,100675407816.92006
Type Variante Version (TVV)_hal1,100675407816.91975
Type Variante Version (TVV)_263axg1b05b,86094897600.96709
CNIT_m10fatvp004m528,86094897600.96622
CNIT_m10pelvp095e628,63948271523.15307
Type Variante Version (TVV)_dkz111aacd7a9bda5,63948271523.15175
Type Variante Version (TVV)_f4,63912234978.27101
Type Variante Version (TVV)_aezghw,63912234978.27083
Type Variante Version (TVV)_199bxb1a03ar,54127951835.38444
CNIT_m10fatvp001k565,54127951835.38419
CNIT_m10fatvp007r335,50703160449.973045
Type Variante Version (TVV)_312pxa1ap0f,50703160449.97196
CNIT_m10mazvp0001437,50286529068.82638
Type Variante Version (TVV)_ghn9260e,50286529068.826294
Type Variante Version (TVV)_312pxg1ap1e,47747907670.25944
CNIT_m10fatvp008m682,47747907670.258736
CNIT_m10mcdvp324r062,45992567002.9761
Type Variante Version (TVV)_906ac35khg71350emce21wa9,45992567002.97599
Type Variante Version (TVV)_ala49,37947465351.83941
Type Variante Version (TVV)_ala49l,37947465351.83931
CNIT_m10fatvp001m592,37177765438.471954
Type Variante Version (TVV)_312axa1a00r,37177765438.47132
Type Variante Version (TVV)_a10,35796860264.47199
CNIT_m10mcdvp324s063,34322654992.731266
Type Variante Version (TVV)_906ac35khg71350nmce21wa9,34322654992.729446
CNIT_m10mazvp000b411,32986167425.097042
Type Variante Version (TVV)_gh69162w0,32986167425.096996
Type Variante Version (TVV)_312pxg1ap1d,29549421618.618702
CNIT_m10fatvp008l681,29549421618.61858
Type Variante Version (TVV)_fezrhw,22516420206.59565
Type Variante Version (TVV)_gh52762w0,20986720177.12818
CNIT_m10mazvp000z374,20986720177.128147
CNIT_m10fatvp0012159,19632696935.61221
