feature,shap_importance
Ind,120034562904.63768
Ind_40_54,24524453721.515007
Ind_25_39,22699292033.6706
Ind_65_79,16083944533.363525
Ind_55_64,14985501564.607094
Ind_11_17,10602963905.998655
Ind_6_10,7779284940.004344
Ind_18_24,6923037016.991667
Ind_80p,6881451914.553645
Ind_0_3,5916167415.816331
Ind_4_5,3156099820.7078567
Ind_inc,2869977354.7180214
Men_prop,0.7871639366763046
Men_mais,0.24348586842142544
Log_70_90,0.20974301224105912
Men,0.1803210927340454
Log_45_70,0.1510907903752107
Log_ap90,0.13892041440273387
Men_coll,0.10376504078299464
Log_av45,0.10287164354914419
Men_pauv,0.0946370440171091
Ind_snv,0.06938155019492905
Men_surf,0.06627284494588483
Men_fmp,0.02801071441137168
Men_5ind,0.011201400901846023
t_maille,0.00921326402068982
Log_inc,0.007963538804196485
Men_1ind,0.004070601721507108
I_pauv,1.1236993005598043e-05
