feature,mean_importance
Id_carr_n_crs3035res2000mn2874000e3346000,-1.3877787807814457e-17
Id_carr_n_crs3035res2000mn2872000e3624000,-1.1102230246251566e-17
Id_carr_n_crs3035res2000mn2874000e4178000,-1.1102230246251566e-17
Id_carr_n_crs3035res2000mn2872000e3828000,-1.1102230246251566e-17
Id_carr_n_crs3035res2000mn2872000e4012000,-1.1102230246251566e-17
Id_carr_n_crs3035res2000mn2874000e3370000,-1.1102230246251566e-17
Id_carr_n_crs3035res2000mn2874000e3356000,-1.1102230246251566e-17
I_pauv,-1.1102230246251566e-17
Id_carr_n_crs3035res2000mn2872000e4052000,-1.1102230246251566e-17
Id_carr_n_crs3035res2000mn2872000e3630000,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2872000e3832000,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2872000e3838000,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2872000e4034000,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2872000e4038000,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2872000e4046000,-8.326672684688674e-18
Ind,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2876000e3332000,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2874000e3318000,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2874000e3360000,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2874000e3368000,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2874000e3410000,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2874000e3476000,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2874000e4074000,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2874000e4076000,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2874000e4114000,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2872000e4128000,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2874000e3306000,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2874000e3254000,-8.326672684688674e-18
Ind_11_17,-8.326672684688674e-18
Ind_80p,-8.326672684688674e-18
Men_surf,-8.326672684688674e-18
Ind_65_79,-8.326672684688674e-18
Ind_25_39,-8.326672684688674e-18
Id_carr_n_crs3035res2000mn2874000e3404000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2872000e4074000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2872000e4094000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2874000e3402000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2874000e3396000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2874000e3390000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2874000e3376000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2874000e3244000,-5.551115123125783e-18
Log_ap90,-5.551115123125783e-18
Ind_snv,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2874000e3272000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2874000e3280000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2874000e3288000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2874000e3296000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2874000e3298000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2872000e4162000,-5.551115123125783e-18
Log_45_70,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2874000e3336000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2874000e3424000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2872000e3626000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2872000e3628000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2872000e3668000,-5.551115123125783e-18
Id_carr_n_crs3035res2000mn2874000e4166000,-5.551115123125783e-18
