feature,shap_importance
Men_fmp,0.2443851531452864
Men_prop,0.03247720833743104
Men_pauv,0.03124743012564156
Ind_4_5,0.007431025749864837
Ind_6_10,0.006951015400803718
Men_coll,0.003847098503815653
Men_5ind,0.0030284651410997
Log_av45,0.002430394782944939
Ind_18_24,0.002048488390475731
Ind_11_17,0.0016080627661255729
Ind_0_3,0.0014712097703176925
Log_70_90,0.0004767902371072356
Men_mais,0.00013702315434398736
Ind_80p,4.7096540191413605e-05
t_maille,3.6314179286997925e-05
Ind_65_79,0.0
Ind_55_64,0.0
Ind_40_54,0.0
Ind_25_39,0.0
Ind_inc,0.0
I_pauv,0.0
Ind,0.0
Log_inc,0.0
Men,0.0
Log_45_70,0.0
Men_surf,0.0
Ind_snv,0.0
Men_1ind,0.0
Log_ap90,0.0
